Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;1,196,950;1,717,865;409,959;935,885;1,971,479;417,411
Age ;;;;;;
    18 - 29;199,946;338,425;156,500;173,582;364,789;156,500
    30 - 39;282,638;470,360;64,859;222,726;520,824;74,306
    40 - 49;213,062;221,131;72,587;150,658;283,535;72,587
    50 - 59;230,560;249,095;63,271;186,966;294,685;61,275
    60 - 69;160,377;267,974;29,450;116,625;311,727;29,450
    70 - 79;104,615;125,687;21,259;81,538;148,764;21,259
    80 and above;5,752;45,193;2,034;3,791;47,154;2,034
Sex ;;;;;;
    Male;536,350;980,178;164,365;454,423;1,053,139;173,331
    Female;660,600;737,687;245,594;481,462;918,340;244,079
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);92,407;186,220;77,205;68,709;209,919;77,205
    White alone, not Hispanic;798,941;1,140,628;210,547;612,082;1,318,521;219,514
    Black alone, not Hispanic;30,182;95,829;48,036;30,464;95,547;48,036
    Asian alone, not Hispanic;143,894;186,113;59,371;105,615;224,392;59,371
    Two or more races + Other races, not Hispanic;131,526;109,075;14,800;119,017;123,099;13,285
Education ;;;;;;
    Less than high school;174,185;54,110;110,042;176,483;51,811;110,042
    High school or GED;217,343;486,297;88,925;133,833;558,556;100,176
    Some college/associate’s degree;326,844;464,669;134,859;285,927;507,871;132,574
    Bachelor’s degree or higher;478,578;712,789;76,134;339,642;853,240;74,619
Marital status ;;;;;;
    Married;646,971;876,211;120,144;492,175;1,033,292;117,860
    Widowed;32,003;62,354;8,491;21,334;73,024;8,491
    Divorced/separated;150,029;207,608;48,061;110,677;237,224;57,797
    Never married;354,566;568,313;228,486;299,314;623,564;228,486
    Did not report;13,381;3,379;4,777;12,386;4,374;4,777
Presence of children under 18 years old ;;;;;;
    Children in household;410,780;511,600;140,870;322,085;592,363;148,802
    No children;786,171;1,206,265;269,090;613,800;1,379,116;268,609
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;621,058;741,248;161,193;520,137;834,718;168,645
    No;575,892;975,616;240,094;415,748;1,135,760;240,094
    Did not report;-;1,001;8,672;-;1,001;8,672
Respondent currently employed ;;;;;;
    Yes;676,924;986,550;165,264;493,159;1,170,795;164,784
    No;518,283;728,451;236,023;440,983;797,819;243,955
    Did not report;1,744;2,864;8,672;1,744;2,864;8,672
Household income ;;;;;;
    Less than $25,000;152,075;162,581;-;129,281;174,123;11,251
    $25,000 - $34,999;80,839;170,644;-;76,340;175,143;-
    $35,000 - $49,999;61,628;119,467;-;59,419;121,676;-
    $50,000 - $74,999;146,054;211,308;1,804;123,082;236,085;-
    $75,000 - $99,999;195,443;234,485;481;161,374;269,034;-
    $100,000 - $149,999;226,130;349,781;-;151,679;424,231;-
    $150,000 - $199,999;116,905;123,946;-;82,174;158,677;-
    $200,000 and above;178,982;292,125;1,515;132,386;340,237;-
    Did not report;38,894;53,528;406,159;20,150;72,272;406,159
