Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;2,409,569;4,651,956;1,599,457;1,513,974;915,076;3,868,875;3,242,634;1,479,963;1,577,577;920,982
Age ;;;;;;;;;;
    18 - 29;143,032;1,159,651;475,612;301,152;187,227;770,742;534,564;479,833;294,309;187,227
    30 - 39;335,557;901,318;404,321;445,217;216,723;495,681;732,810;329,636;528,286;216,723
    40 - 49;455,316;683,201;124,914;324,318;194,994;584,465;719,047;88,299;195,939;194,994
    50 - 59;487,948;895,993;184,772;217,722;97,060;497,551;694,055;300,992;293,839;97,060
    60 - 69;686,374;727,957;255,716;179,790;164,283;1,076,830;368,758;172,203;232,046;164,283
    70 - 79;272,601;201,760;125,067;17,997;50,177;370,805;152,435;82,899;5,380;56,084
    80 and above;28,740;82,074;29,055;27,778;4,611;72,802;40,965;26,101;27,778;4,611
Sex ;;;;;;;;;;
    Male;1,312,838;2,127,917;960,056;591,470;412,042;1,705,680;1,664,829;908,617;713,154;412,042
    Female;1,096,731;2,524,039;639,401;922,504;503,034;2,163,195;1,577,805;571,346;864,423;508,941
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);870,754;1,875,338;794,409;773,232;424,038;1,435,168;1,347,074;750,708;780,782;424,038
    White alone, not Hispanic;671,302;1,726,560;398,593;380,891;239,146;1,375,709;1,047,528;427,574;320,629;245,053
    Black alone, not Hispanic;194,814;327,696;82,168;11,351;18,543;204,047;326,593;52,610;32,779;18,543
    Asian alone, not Hispanic;578,931;675,072;258,171;317,308;198,807;745,376;463,017;205,571;415,518;198,807
    Two or more races + Other races, not Hispanic;93,768;47,291;66,116;31,192;34,542;108,575;58,422;43,501;27,868;34,542
Education ;;;;;;;;;;
    Less than high school;481,782;737,197;60,651;183,242;155,059;723,224;350,701;60,651;328,296;155,059
    High school or GED;356,556;1,686,888;520,593;282,718;171,896;920,253;995,090;651,674;279,739;171,896
    Some college/associate’s degree;672,727;1,073,395;579,202;505,775;299,543;923,391;935,685;429,628;542,394;299,543
    Bachelor’s degree or higher;898,504;1,154,476;439,011;542,239;288,577;1,302,007;961,158;338,010;427,148;294,484
Marital status ;;;;;;;;;;
    Married;1,245,073;2,457,079;663,395;402,001;273,863;2,216,248;1,637,895;615,216;292,282;279,770
    Widowed;111,372;130,782;1,375;91,834;17,716;176,151;67,016;2,902;89,294;17,716
    Divorced/separated;398,078;495,451;167,779;252,546;154,435;485,720;303,428;108,523;416,184;154,435
    Never married;655,046;1,559,940;761,242;767,594;443,798;985,091;1,225,592;753,323;779,817;443,798
    Did not report;-;8,704;5,666;-;25,264;5,666;8,704;-;-;25,264
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;945,044;1,720,647;472,532;400,837;388,334;1,599,830;1,078,663;323,485;537,083;388,334
    No children;1,464,524;2,931,308;1,126,925;1,113,137;526,741;2,269,045;2,163,971;1,156,478;1,040,494;532,648
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;1,005,253;2,709,405;1,016,451;1,190,871;428,240;1,595,507;1,956,776;1,079,685;1,290,012;428,240
    No;1,387,590;1,942,551;583,007;323,103;461,572;2,256,642;1,285,858;400,278;287,566;467,479
    Did not report;16,726;-;-;-;25,264;16,726;-;-;-;25,264
Respondent currently employed ;;;;;;;;;;
    Yes;1,277,250;2,596,432;845,604;591,275;421,251;2,233,309;1,838,736;798,698;439,818;421,251
    No;1,132,319;2,055,524;724,037;922,699;468,561;1,631,511;1,403,898;681,265;1,111,998;474,468
    Did not report;-;-;29,816;-;25,264;4,055;-;-;25,762;25,264
Household income ;;;;;;;;;;
    Less than $25,000;202,652;459,896;110,334;721,061;-;277,069;477,817;104,519;634,538;-
    $25,000 - $34,999;401,201;485,430;156,014;38,130;-;313,276;332,245;119,358;315,897;-
    $35,000 - $49,999;250,313;447,716;522,919;299,779;-;542,895;197,537;501,556;278,740;-
    $50,000 - $74,999;231,607;1,096,933;137,109;145,645;-;642,079;695,981;187,989;85,246;-
    $75,000 - $99,999;199,994;1,166,182;256,040;85,003;-;638,642;771,822;170,632;126,123;-
    $100,000 - $149,999;331,770;414,157;234,482;43,338;-;396,238;285,642;294,229;41,731;5,907
    $150,000 - $199,999;253,867;141,336;26,924;106,067;-;277,107;158,506;44,947;47,633;-
    $200,000 and above;331,658;332,281;129,760;40,493;-;525,659;233,742;49,320;25,472;-
    Did not report;206,505;108,024;25,877;34,458;915,076;255,910;89,342;7,414;22,197;915,076
