Standard Error Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;193,326;97,758;140,076;122,007;96,812;182,094;108,406;123,352;121,838;97,889
Age ;;;;;;;;;;
    18 - 29;122,268;33,011;113,413;39,221;73,215;124,496;31,644;111,446;38,318;73,215
    30 - 39;76,951;51,731;27,209;74,498;43,642;88,622;29,640;18,824;73,006;43,643
    40 - 49;90,315;59,375;35,356;34,209;21,038;92,302;46,554;38,400;30,895;21,038
    50 - 59;45,680;72,989;54,153;40,105;23,824;43,929;88,490;49,169;46,266;23,854
    60 - 69;77,536;24,306;40,999;15,195;15,866;76,533;37,940;18,961;39,282;20,013
    70 - 79;22,429;14,817;12,929;17,037;15,268;22,823;10,981;19,175;9,872;15,458
    80 and above;10,729;22,179;7,161;67,268;1,893;13,096;23,712;5,067;63,374;1,893
Sex ;;;;;;;;;;
    Male;197,667;69,920;122,006;73,647;87,822;183,500;61,157;120,186;73,597;89,129
    Female;77,461;81,616;60,028;100,077;35,862;83,578;77,741;42,834;102,515;35,863
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);182,838;90,565;82,126;68,524;84,650;170,053;88,666;72,287;67,067;85,763
    White alone, not Hispanic;87,972;57,104;104,750;74,930;40,305;87,555;49,959;102,074;71,135;40,478
    Black alone, not Hispanic;21,226;10,297;36,414;58,735;14,281;20,963;13,222;7,714;64,083;14,544
    Asian alone, not Hispanic;41,948;15,398;9,292;17,224;27,588;39,676;19,595;7,739;20,851;27,568
    Two or more races + Other races, not Hispanic;42,019;30,612;8,379;4,677;23,266;44,632;27,591;2,155;7,648;23,266
Education ;;;;;;;;;;
    Less than high school;92,749;64,372;72,919;44,269;57,000;101,342;46,329;63,400;49,921;57,000
    High school or GED;174,535;86,077;107,250;90,799;64,519;170,162;87,794;108,951;87,719;65,814
    Some college/associate’s degree;39,888;49,309;29,043;32,712;39,977;46,878;38,041;20,166;35,292;39,944
    Bachelor’s degree or higher;44,488;27,270;20,210;56,402;10,802;32,749;30,030;21,291;57,021;10,559
Marital status ;;;;;;;;;;
    Married;143,099;71,432;52,339;73,261;44,844;135,465;67,565;59,131;74,120;44,803
    Widowed;11,278;17,479;31,233;63,439;4,588;12,672;15,455;31,257;63,416;1,699
    Divorced/separated;45,840;66,994;40,179;47,308;14,044;46,000;71,933;14,534;53,549;17,580
    Never married;141,154;46,073;109,775;50,557;81,287;143,577;47,128;107,013;39,550;81,287
    Did not report;14,008;6,175;1,637;-;8,778;13,980;6,175;-;1,637;9,535
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;149,234;78,967;70,338;76,500;72,987;138,882;51,412;66,264;81,317;73,121
    No children;103,088;80,233;113,994;99,821;66,386;107,137;98,390;110,796;95,318;67,813
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;148,517;84,775;124,595;103,667;71,592;156,115;107,571;111,347;109,759;72,279
    No;134,476;50,344;64,998;68,144;54,955;131,491;34,478;48,200;75,167;55,165
    Did not report;1,611;-;-;-;7,202;1,248;-;-;-;8,153
Respondent currently employed ;;;;;;;;;;
    Yes;154,637;78,699;116,196;74,955;46,182;154,715;58,758;107,159;68,371;46,844
    No;158,574;77,908;73,655;106,659;81,511;152,237;81,985;58,074;107,830;82,716
    Did not report;1,611;-;-;-;8,122;1,248;-;-;-;8,960
Household income ;;;;;;;;;;
    Less than $25,000;40,006;41,789;60,160;35,192;-;38,670;47,937;34,941;43,829;-
    $25,000 - $34,999;114,720;38,173;50,781;36,122;-;114,420;34,456;45,964;33,031;-
    $35,000 - $49,999;23,665;32,304;103,236;34,602;-;21,805;26,755;105,613;34,447;-
    $50,000 - $74,999;94,345;68,665;24,417;31,272;-;94,218;77,987;27,456;31,625;10,439
    $75,000 - $99,999;37,217;48,921;25,412;32,689;-;49,842;38,397;23,544;33,189;-
    $100,000 - $149,999;25,984;21,298;19,779;23,682;4,236;27,807;22,092;13,444;23,758;2,585
    $150,000 - $199,999;13,342;29,140;2,845;15,385;-;14,169;24,593;18,501;15,362;-
    $200,000 and above;15,771;6,573;3,204;52,617;519;15,463;6,741;180;52,995;519
    Did not report;104,767;17,911;8,708;64,803;97,217;105,405;18,469;6,463;65,977;97,280
