Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;151,226;283,784;100,595;68,752;95,672;228,191;242,806;102,251;31,109;95,672
    30 - 39;212,634;260,380;101,190;115,324;39,543;275,306;269,703;79,798;66,026;38,237
    40 - 49;118,334;216,307;73,264;68,073;40,511;193,847;191,099;58,080;32,952;40,511
    50 - 59;200,722;229,419;50,029;67,480;44,525;225,357;243,736;23,951;54,606;44,525
    60 - 69;121,365;232,004;94,373;43,571;42,988;170,678;219,688;87,294;13,653;42,988
    70 - 79;127,131;138,739;10,190;2,483;16,543;174,098;88,795;11,247;4,403;16,543
    80 and above;31,590;19,345;6,495;3,041;3,438;36,556;19,704;1,171;3,041;3,438
Sex ;;;;;;;;;;
    Male;558,975;723,447;226,008;129,049;141,372;723,090;647,134;170,437;98,124;140,066
    Female;404,025;656,531;210,129;239,676;141,847;580,942;628,397;193,355;107,668;141,847
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);149,510;144,673;102,682;76,262;82,571;193,283;184,522;53,738;41,585;82,571
    White alone, not Hispanic;384,377;690,739;231,470;189,895;74,237;638,279;552,743;217,178;88,282;74,237
    Black alone, not Hispanic;71,458;83,669;33,487;9,305;27,731;54,182;102,718;31,715;9,305;27,731
    Asian alone, not Hispanic;258,654;380,540;53,329;68,117;48,704;320,573;355,487;54,014;31,871;47,399
    Two or more races + Other races, not Hispanic;99,000;80,357;15,168;25,147;49,975;97,716;80,060;7,148;34,748;49,975
Education ;;;;;;;;;;
    Less than high school;11,728;54,689;26,419;-;33,292;16,152;58,448;18,237;-;33,292
    High school or GED;176,146;170,029;21,709;43,611;61,692;158,921;202,465;23,601;26,509;61,692
    Some college/associate’s degree;234,588;403,834;144,985;122,232;81,242;328,755;369,533;145,062;62,288;81,242
    Bachelor’s degree or higher;540,538;751,426;243,024;202,882;106,993;800,204;645,085;176,892;116,995;105,687
Marital status ;;;;;;;;;;
    Married;517,706;731,730;220,840;195,292;123,924;716,579;651,040;171,054;126,895;123,924
    Widowed;34,782;33,356;18,642;22,510;8,631;55,329;25,004;24,538;4,420;8,631
    Divorced/separated;82,034;133,753;24,524;32,178;27,217;113,918;110,617;26,667;21,287;27,217
    Never married;320,019;456,067;172,131;118,302;109,991;404,035;469,510;141,533;52,747;108,685
    Did not report;8,460;25,072;-;443;13,457;14,171;19,360;-;443;13,457
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;303,026;458,519;149,810;141,454;99,170;429,630;420,899;129,977;72,303;99,170
    No children;659,974;921,460;286,327;227,271;184,048;874,402;854,632;233,815;133,488;182,743
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;369,514;657,118;248,647;208,696;96,826;505,232;623,797;238,503;116,443;96,826
    No;591,514;722,406;187,490;160,029;171,932;796,373;651,733;125,289;89,348;170,627
    Did not report;1,972;455;-;-;14,461;2,427;-;-;-;14,461
Respondent currently employed ;;;;;;;;;;
    Yes;606,676;813,842;296,609;232,413;129,534;816,535;750,902;243,982;139,428;128,229
    No;356,324;566,136;139,528;135,207;139,224;487,497;523,523;119,810;66,364;139,224
    Did not report;-;-;-;1,106;14,461;-;1,106;-;-;14,461
Household income ;;;;;;;;;;
    Less than $25,000;45,131;76,247;67,640;24,387;-;66,762;76,302;52,949;17,392;-
    $25,000 - $34,999;45,215;85,244;39,693;4,340;-;56,695;76,391;36,056;5,352;-
    $35,000 - $49,999;94,756;86,023;16,207;29,868;-;83,687;106,064;18,076;19,027;-
    $50,000 - $74,999;128,561;153,709;45,165;28,118;-;176,776;141,257;31,107;6,412;-
    $75,000 - $99,999;65,051;169,274;41,468;44,673;-;104,930;164,963;30,034;20,538;-
    $100,000 - $149,999;155,982;305,550;70,148;89,062;-;232,801;247,429;67,985;72,528;-
    $150,000 - $199,999;87,234;167,727;53,371;25,944;-;128,270;160,696;31,691;13,620;-
    $200,000 and above;293,410;308,374;80,518;108,020;-;394,463;271,179;81,628;43,052;-
    Did not report;47,659;27,831;21,926;14,313;283,219;59,648;31,250;14,265;7,872;281,913
