Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;3,453,962;3,434,368;1,320,809;1,008,790;1,294,375;3,778,731;3,333,665;1,111,395;1,016,431;1,272,082
Age ;;;;;;;;;;
    18 - 29;435,457;359,536;434,218;297,936;443,776;403,950;460,310;369,670;293,217;443,776
    30 - 39;687,272;590,074;260,305;124,880;216,424;741,479;573,616;221,396;126,041;216,424
    40 - 49;647,341;779,168;194,817;87,643;124,456;709,686;687,711;250,515;62,214;123,300
    50 - 59;602,276;717,130;132,471;92,176;97,397;774,098;568,239;105,700;116,685;76,728
    60 - 69;636,710;480,105;209,049;107,235;150,792;620,322;580,367;133,444;98,967;150,792
    70 - 79;378,942;379,679;89,092;25,506;246,002;462,631;335,349;29,813;45,894;245,535
    80 and above;65,963;128,675;856;273,414;15,528;66,565;128,073;856;273,414;15,528
Sex ;;;;;;;;;;
    Male;1,976,561;1,459,457;769,367;287,649;601,769;2,035,311;1,463,747;691,441;322,484;581,819
    Female;1,477,401;1,974,912;551,442;721,141;692,607;1,743,420;1,869,918;419,954;693,947;690,264
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);1,108,149;1,576,029;822,137;453,632;409,726;1,253,012;1,585,837;692,985;447,206;390,634
    White alone, not Hispanic;1,261,316;984,876;222,021;312,710;507,700;1,477,830;843,100;214,327;247,993;505,373
    Black alone, not Hispanic;239,022;183,624;51,497;102,148;45,349;214,276;222,715;66,388;73,785;44,476
    Asian alone, not Hispanic;562,506;574,792;151,875;111,864;290,098;559,282;588,807;112,621;140,329;290,098
    Two or more races + Other races, not Hispanic;282,969;115,047;73,279;28,436;41,501;274,332;93,207;25,074;107,118;41,501
Education ;;;;;;;;;;
    Less than high school;264,882;751,744;338,114;324,412;257,018;423,648;690,659;247,196;336,741;237,926
    High school or GED;808,434;647,417;147,134;76,394;311,904;804,615;646,212;176,869;51,683;311,904
    Some college/associate’s degree;911,224;898,094;562,473;345,494;462,984;933,473;844,040;515,458;425,033;462,264
    Bachelor’s degree or higher;1,469,422;1,137,115;273,088;262,490;262,469;1,616,994;1,152,754;171,872;202,975;259,988
Marital status ;;;;;;;;;;
    Married;1,934,720;1,870,822;479,734;250,713;492,438;2,314,737;1,668,703;315,923;238,639;490,424
    Widowed;170,248;169,352;43,776;327,009;55,722;178,462;190,436;5,296;336,191;55,722
    Divorced/separated;402,019;347,241;172,709;101,357;107,650;405,581;326,997;201,856;90,080;106,463
    Never married;942,438;1,036,619;623,624;329,712;595,154;873,615;1,138,995;587,354;351,522;576,062
    Did not report;4,537;10,334;967;-;43,412;6,337;8,534;967;-;43,412
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;1,155,952;1,504,161;426,429;255,596;563,817;1,350,284;1,323,171;404,550;266,008;561,941
    No children;2,298,011;1,930,207;894,380;753,194;730,558;2,428,447;2,010,494;706,845;750,423;710,141
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;1,672,419;2,301,619;1,026,752;836,599;804,056;1,999,123;2,176,150;877,672;786,052;802,448
    No;1,778,823;1,130,663;294,057;172,191;464,963;1,776,889;1,155,429;233,723;230,379;444,277
    Did not report;2,720;2,086;-;-;25,357;2,720;2,086;-;-;25,357
Respondent currently employed ;;;;;;;;;;
    Yes;1,912,631;1,390,119;495,486;542,256;635,468;1,958,872;1,506,010;356,121;521,082;633,875
    No;1,540,082;2,044,250;823,866;466,534;627,963;1,818,609;1,827,656;753,817;495,349;607,263
    Did not report;1,250;-;1,457;-;30,944;1,250;-;1,457;-;30,944
Household income ;;;;;;;;;;
    Less than $25,000;395,372;477,939;420,085;429,782;-;358,968;514,525;413,594;436,091;-
    $25,000 - $34,999;364,173;472,341;193,132;89,716;-;357,596;508,226;156,639;96,901;-
    $35,000 - $49,999;261,801;452,028;161,671;88,768;467;366,825;374,581;116,136;107,193;-
    $50,000 - $74,999;458,669;447,102;138,330;97,783;22,066;444,640;451,404;133,452;132,199;2,254
    $75,000 - $99,999;430,150;393,673;151,324;135,490;-;555,000;403,467;83,422;68,749;-
    $100,000 - $149,999;547,400;543,343;123,148;56,434;-;692,914;462,210;51,495;63,707;-
    $150,000 - $199,999;401,315;120,266;44,710;43,850;1,731;366,584;182,491;50,203;12,593;-
    $200,000 and above;455,284;383,127;32,412;4,104;283;481,364;317,503;21,631;54,712;-
    Did not report;139,799;144,550;55,997;62,862;1,269,828;154,841;119,258;84,823;44,288;1,269,828
