Standard Error Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;260,099;223,180;157,225;145,160;203,847;252,119;281,660;155,234;109,578;203,847
Age ;;;;;;;;;;
    18 - 29;140,922;123,774;108,815;59,118;130,307;152,589;87,568;108,319;47,428;130,307
    30 - 39;100,894;83,615;65,646;47,141;51,509;107,128;108,903;54,315;54,227;51,509
    40 - 49;141,064;117,105;62,705;51,313;27,230;87,430;174,945;42,631;45,386;27,230
    50 - 59;61,196;114,590;67,278;51,743;107,782;117,912;96,871;55,273;62,581;107,782
    60 - 69;89,667;72,246;82,858;115,968;72,246;134,421;83,816;68,821;55,082;72,246
    70 - 79;63,402;93,978;8,998;12,329;18,725;60,423;89,266;20,359;26,267;18,725
    80 and above;9,078;9,087;8,187;906;50,120;14,525;5,138;1,329;-;50,120
Sex ;;;;;;;;;;
    Male;252,804;129,157;140,707;71,102;175,059;228,247;209,537;77,435;70,498;175,059
    Female;107,873;204,202;143,892;137,333;98,891;164,989;173,397;140,109;95,263;98,891
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);176,985;152,207;150,983;81,844;164,382;176,677;176,335;143,286;88,178;164,382
    White alone, not Hispanic;110,413;91,349;75,373;54,490;69,672;117,075;107,655;50,156;59,726;69,672
    Black alone, not Hispanic;56,851;51,276;5,259;107,079;13,000;104,094;54,729;16,266;38,675;13,000
    Asian alone, not Hispanic;112,401;150,311;32,394;54,802;22,824;120,339;180,120;41,985;54,127;22,824
    Two or more races + Other races, not Hispanic;34,425;59,144;10,474;26,217;71,746;28,615;58,121;12,014;28,176;71,746
Education ;;;;;;;;;;
    Less than high school;154,963;146,866;111,998;111,528;99,081;157,397;182,644;74,475;64,705;99,081
    High school or GED;137,357;155,236;108,031;48,633;122,348;134,340;160,001;110,219;49,408;122,348
    Some college/associate’s degree;85,501;119,188;67,152;93,799;79,758;113,766;120,643;74,953;84,735;79,758
    Bachelor’s degree or higher;89,234;103,936;61,300;45,430;47,321;83,770;104,372;57,656;49,419;47,321
Marital status ;;;;;;;;;;
    Married;137,983;198,546;101,627;58,635;99,385;153,903;190,238;94,208;55,266;99,385
    Widowed;33,714;19,918;13,332;103,208;7,481;103,997;11,472;22,100;27,872;7,481
    Divorced/separated;140,916;122,590;93,173;73,143;25,989;123,715;152,784;35,175;62,374;25,989
    Never married;185,238;142,854;112,114;86,151;196,953;186,132;135,464;130,016;84,678;196,953
    Did not report;3,347;1,043;-;6,950;7,414;3,347;1,043;6,950;-;7,414
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;200,553;159,756;120,745;69,043;122,635;144,082;218,886;84,531;59,209;122,635
    No children;177,854;183,893;114,590;141,728;153,492;222,761;142,659;129,388;99,566;153,492
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;217,806;179,601;145,533;137,349;147,908;198,224;204,546;113,519;96,691;147,908
    No;170,702;128,394;113,552;47,216;142,491;164,296;163,710;112,854;52,024;142,491
    Did not report;10,503;5,828;-;1,373;14,495;-;12,100;-;-;14,495
Respondent currently employed ;;;;;;;;;;
    Yes;178,451;171,313;103,374;75,028;114,532;198,446;144,747;95,287;73,877;114,532
    No;187,402;167,874;147,233;134,012;154,614;167,856;231,216;123,401;92,559;154,614
    Did not report;-;-;-;-;69,240;-;-;-;-;69,240
Household income ;;;;;;;;;;
    Less than $25,000;81,785;103,608;99,781;63,728;8,332;73,592;100,226;115,948;74,980;8,332
    $25,000 - $34,999;80,066;107,980;78,218;117,984;11,682;154,398;40,851;80,019;58,815;11,682
    $35,000 - $49,999;78,268;96,689;54,354;72,695;-;117,619;99,225;32,374;60,468;-
    $50,000 - $74,999;144,904;54,047;102,460;21,062;2,461;87,968;151,860;28,834;22,517;2,461
    $75,000 - $99,999;83,987;77,864;39,321;38,937;-;93,847;77,008;40,421;37,181;-
    $100,000 - $149,999;72,602;130,615;30,519;27,742;-;109,178;103,414;36,717;26,833;-
    $150,000 - $199,999;45,329;47,334;21,961;15,655;-;45,066;46,178;20,079;23,134;-
    $200,000 and above;60,219;54,472;8,786;22,102;-;58,956;55,535;15,447;22,200;-
    Did not report;103,618;32,072;30,649;25,654;200,482;80,799;86,317;20,597;16,780;200,482
