Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,488,082;1,328,956;519,339;618,633;468,637;1,797,026;1,100,473;399,918;659,642;466,589
Age ;;;;;;;;;;
    18 - 29;202,293;215,671;68,847;40,282;104,803;250,260;166,128;46,607;64,099;104,803
    30 - 39;299,209;315,552;123,963;205,525;113,642;376,313;303,892;72,090;191,955;113,642
    40 - 49;287,706;358,000;215,445;219,872;66,220;388,868;270,973;224,751;198,480;64,172
    50 - 59;199,979;236,504;67,085;130,478;151,285;253,865;174,726;27,321;178,134;151,285
    60 - 69;209,503;116,716;35,822;13,236;24,766;230,524;108,239;22,579;13,934;24,766
    70 - 79;233,068;76,023;7,496;5,880;6,987;242,857;64,041;6,570;8,999;6,987
    80 and above;56,324;10,490;681;3,359;934;54,339;12,474;-;4,040;934
Sex ;;;;;;;;;;
    Male;721,955;688,266;318,823;390,738;315,161;819,302;606,393;267,514;428,621;313,112
    Female;766,126;640,690;200,516;227,894;153,476;977,724;494,079;132,404;231,020;153,476
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);503,510;681,991;348,226;299,733;208,391;734,991;475,954;275,242;347,274;208,391
    White alone, not Hispanic;701,497;486,784;112,303;168,255;171,379;737,586;487,358;70,578;173,318;171,379
    Black alone, not Hispanic;155,450;76,124;13,859;115,324;44,559;199,920;39,213;9,108;112,515;44,559
    Asian alone, not Hispanic;80,349;65,833;27,898;11,310;-;79,884;69,597;25,828;10,081;-
    Two or more races + Other races, not Hispanic;47,275;18,224;17,053;24,011;44,308;44,644;28,351;19,162;16,454;42,259
Education ;;;;;;;;;;
    Less than high school;197,454;154,338;74,118;33,019;48,751;270,478;102,752;24,341;61,358;48,751
    High school or GED;378,723;526,485;207,620;386,156;205,011;467,014;441,146;183,695;407,130;205,011
    Some college/associate’s degree;554,221;452,948;166,581;127,198;155,250;720,182;334,481;137,135;109,151;155,250
    Bachelor’s degree or higher;357,683;195,184;71,021;72,259;59,625;339,352;222,094;54,747;82,004;57,577
Marital status ;;;;;;;;;;
    Married;838,784;837,010;162,420;186,687;290,414;1,031,106;691,257;116,700;187,888;288,366
    Widowed;108,440;20,328;10,006;53,757;2,369;112,368;20,751;4,974;54,438;2,369
    Divorced/separated;268,822;145,411;136,002;82,150;22,123;287,538;125,539;129,397;89,912;22,123
    Never married;272,036;326,206;206,947;190,780;152,744;366,014;262,926;144,883;222,145;152,744
    Did not report;-;-;3,964;105,259;987;-;-;3,964;105,259;987
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;828,685;653,528;310,248;439,854;220,198;998,183;508,372;296,231;431,579;218,150
    No children;659,396;675,428;209,091;178,779;248,439;798,843;592,101;103,687;228,063;248,439
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;793,548;1,002,605;355,769;455,816;164,647;1,016,059;853,539;251,537;486,603;164,647
    No;694,534;326,351;163,570;162,817;303,003;780,967;246,934;148,382;173,039;300,955
    Did not report;-;-;-;-;987;-;-;-;-;987
Respondent currently employed ;;;;;;;;;;
    Yes;709,689;689,801;220,608;102,888;250,311;841,240;564,379;207,061;112,355;248,263
    No;778,393;639,155;298,732;513,990;217,339;955,786;536,093;192,857;545,533;217,339
    Did not report;-;-;-;1,754;987;-;-;-;1,754;987
Household income ;;;;;;;;;;
    Less than $25,000;181,412;182,383;142,021;163,782;-;233,521;135,475;68,105;232,497;-
    $25,000 - $34,999;72,606;210,053;24,382;189,682;-;189,173;84,087;14,242;209,219;-
    $35,000 - $49,999;421,515;50,877;71,492;2,537;-;440,674;52,267;48,317;5,163;-
    $50,000 - $74,999;265,563;315,121;115,298;64,529;-;299,017;314,918;86,721;59,854;-
    $75,000 - $99,999;159,245;264,774;134,444;44,385;-;175,108;243,383;143,543;40,815;-
    $100,000 - $149,999;228,226;126,817;22,771;65,711;2,048;257,802;126,138;23,825;37,809;-
    $150,000 - $199,999;70,422;70,995;6,801;725;-;108,505;24,548;15,165;725;-
    $200,000 and above;35,611;18,799;2,131;15,107;-;38,374;18,167;-;15,107;-
    Did not report;53,483;89,137;-;72,177;466,589;54,852;101,491;-;58,454;466,589
