Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;211,419;182,604;84,449;47,268;57,151;231,647;165,043;62,571;66,479;57,151
    30 - 39;351,069;238,185;61,767;97,002;29,176;352,517;250,372;42,851;102,285;29,176
    40 - 49;247,025;142,035;49,237;40,855;23,631;232,153;164,013;49,953;34,371;22,292
    50 - 59;213,099;156,876;38,849;48,977;44,198;225,256;157,277;41,943;34,364;43,159
    60 - 69;209,577;142,372;28,546;21,847;39,169;230,364;121,836;37,458;16,101;35,754
    70 - 79;208,640;65,507;21,929;16,896;19,174;203,073;82,106;19,235;8,557;19,174
    80 and above;29,980;19,530;633;4,273;2,210;29,202;21,133;633;3,449;2,210
Sex ;;;;;;;;;;
    Male;889,987;451,469;115,090;137,062;97,634;917,403;471,959;85,471;120,622;95,787
    Female;580,823;495,641;170,320;140,056;117,075;586,809;489,822;169,172;144,982;113,129
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);149,654;93,192;27,446;21,144;19,337;182,414;52,126;37,226;20,709;18,299
    White alone, not Hispanic;935,024;637,443;150,502;197,533;146,011;937,777;653,571;147,116;184,079;143,969
    Black alone, not Hispanic;51,138;33,228;15,570;12,724;10,299;52,979;24,576;19,669;15,436;10,299
    Asian alone, not Hispanic;197,298;109,060;59,682;19,708;23,015;198,771;146,446;21,911;21,333;20,303
    Two or more races + Other races, not Hispanic;137,695;74,187;32,210;26,009;16,046;132,272;85,062;28,721;24,047;16,046
Education ;;;;;;;;;;
    Less than high school;67,985;27,852;23,891;14,355;5,131;68,693;27,852;11,919;25,619;5,131
    High school or GED;412,514;213,306;52,950;79,990;74,299;388,559;219,617;81,710;71,586;71,586
    Some college/associate’s degree;399,496;333,185;87,645;97,288;66,512;417,138;344,956;73,508;83,351;65,174
    Bachelor’s degree or higher;590,813;372,768;120,924;85,485;68,767;629,821;369,356;87,506;85,048;67,025
Marital status ;;;;;;;;;;
    Married;906,105;493,935;167,437;87,555;101,303;974,953;485,256;128,825;65,802;101,500
    Widowed;40,112;18,492;5,039;9,267;969;45,514;16,761;3,873;6,763;969
    Divorced/separated;194,060;150,752;51,210;51,506;26,914;181,372;179,168;39,262;51,002;23,637
    Never married;326,422;276,266;61,724;126,567;74,242;298,262;273,682;81,932;139,814;71,530
    Did not report;4,111;7,665;-;2,223;11,280;4,111;6,914;751;2,223;11,280
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;504,311;293,494;112,854;72,387;50,478;480,499;328,730;104,214;72,579;47,502
    No children;966,499;653,616;172,555;204,732;164,230;1,023,712;633,050;150,430;193,025;161,414
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;639,047;464,642;137,171;145,139;114,363;595,721;514,991;146,313;130,013;113,325
    No;818,893;482,468;148,239;131,980;93,539;895,621;446,789;108,331;135,591;88,784
    Did not report;12,870;-;-;-;6,806;12,870;-;-;-;6,806
Respondent currently employed ;;;;;;;;;;
    Yes;863,825;513,514;172,147;160,479;121,524;947,906;465,171;143,217;153,774;121,421
    No;606,984;433,596;113,263;116,640;85,773;556,306;496,610;111,426;111,830;80,084
    Did not report;-;-;-;-;7,411;-;-;-;-;7,411
Household income ;;;;;;;;;;
    Less than $25,000;99,552;72,821;29,118;35,983;4,651;97,000;71,163;32,030;41,932;-
    $25,000 - $34,999;70,316;65,291;17,495;34,245;-;65,271;65,312;15,982;40,781;-
    $35,000 - $49,999;140,095;95,144;41,046;40,947;-;154,575;84,463;32,864;45,330;-
    $50,000 - $74,999;282,856;151,075;55,521;42,364;969;296,845;144,914;44,309;46,717;-
    $75,000 - $99,999;170,031;107,130;26,503;53,299;-;174,664;110,689;37,176;34,435;-
    $100,000 - $149,999;302,373;178,734;62,216;26,836;1,339;323,653;176,666;45,308;25,871;-
    $150,000 - $199,999;136,225;103,843;15,747;21,781;-;143,736;106,598;16,623;10,640;-
    $200,000 and above;216,555;147,212;25,984;19,492;-;217,553;153,315;16,862;19,309;2,204
    Did not report;52,806;25,861;11,779;2,171;207,750;30,914;48,661;13,491;590;206,711
