Health Table 3. Current Health Insurance Status, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Age ;;;;;
    18 - 24;578,501;514,314;271,566;104,395;534,277
    25 - 34;1,774,674;1,465,931;369,643;371,664;251,742
    35 - 44;1,729,750;1,267,905;566,311;392,709;150,981
    45 - 64;2,513,774;2,225,496;597,301;447,672;501,451
    65 and over;1,701,677;1,138,527;1,537,232;1,367;119,770
Sex ;;;;;
    Male;4,377,447;3,742,431;1,559,037;646,802;655,612
    Female;3,920,930;2,869,742;1,783,017;671,005;902,608
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);3,125,531;2,640,087;1,341,386;953,867;899,817
    White alone, not Hispanic;2,981,402;2,222,037;1,255,339;93,861;413,921
    Black alone, not Hispanic;333,934;220,680;183,377;175,824;51,762
    Asian alone, not Hispanic;1,558,384;1,309,736;461,587;82,998;116,888
    Two or more races + Other races, not Hispanic;299,126;219,633;100,366;11,258;75,832
Education ;;;;;
    Less than high school;1,304,550;1,112,214;876,461;447,359;292,953
    High school or GED;1,740,111;1,078,866;833,862;469,382;357,457
    Some college/associate’s degree;2,053,609;1,549,950;915,545;289,032;681,515
    Bachelor’s degree or higher;3,200,107;2,871,143;716,185;112,034;226,295
Marital status ;;;;;
    Married;3,816,510;3,161,424;1,563,883;514,260;451,806
    Widowed;202,495;96,083;156,644;-;5,234
    Divorced/separated;1,069,634;665,219;580,773;120,450;190,225
    Never married;3,070,200;2,550,348;915,243;683,029;871,940
    Did not report;139,537;139,100;125,510;69;39,015
Presence of children under 18 years old ;;;;;
    Children in household;2,701,883;1,951,456;1,141,785;663,585;761,944
    No children;5,596,494;4,660,718;2,200,269;654,222;796,276
Respondent or household member experienced loss of employment income ;;;;;
    Yes;4,863,930;3,836,275;1,959,066;1,035,642;961,019
    No;3,432,423;2,773,934;1,381,229;282,165;560,440
    Did not report;2,025;1,965;1,758;-;36,761
Respondent currently employed ;;;;;
    Yes;4,038,307;3,622,816;800,248;614,990;761,491
    No;4,259,746;2,989,033;2,541,805;702,817;726,882
    Did not report;324;324;-;-;69,848
Household income ;;;;;
    Less than $25,000;1,242,299;641,760;980,660;160,852;47,620
    $25,000 - $34,999;869,209;688,828;292,940;752,028;20,669
    $35,000 - $49,999;733,686;527,861;335,557;93,267;3,396
    $50,000 - $74,999;1,132,267;813,957;489,626;53,366;621
    $75,000 - $99,999;1,413,947;1,325,139;571,154;171,639;4,918
    $100,000 - $149,999;1,062,904;922,321;263,187;25,881;59,461
    $150,000 - $199,999;561,294;512,632;120,052;8,336;-
    $200,000 and above;890,335;884,139;135,026;30,264;33,884
    Did not report;392,437;295,536;153,851;22,174;1,387,653
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
