Standard Error Health Table 3. Current Health Insurance Status, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured;Insured;Insured;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Total;310,684;293,604;263,154;118,720;255,703
Age ;;;;;
    18 - 24;111,200;95,732;64,471;100,270;126,057
    25 - 34;174,796;155,021;108,419;45,491;122,750
    35 - 44;114,912;114,567;58,681;84,348;26,828
    45 - 64;233,794;197,903;180,909;38,955;118,258
    65 and over;156,631;124,821;134,853;1,000;105,010
Sex ;;;;;
    Male;312,578;282,082;161,885;87,286;219,031
    Female;242,409;218,363;215,016;103,997;124,859
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);215,558;194,470;157,363;125,563;185,984
    White alone, not Hispanic;143,883;143,310;75,411;51,520;68,955
    Black alone, not Hispanic;122,078;66,941;102,577;3,068;14,535
    Asian alone, not Hispanic;170,878;153,414;121,283;15,023;83,811
    Two or more races + Other races, not Hispanic;67,524;46,832;61,913;10,909;72,367
Education ;;;;;
    Less than high school;204,593;153,953;168,258;83,619;162,084
    High school or GED;204,977;184,325;153,516;94,364;122,191
    Some college/associate’s degree;175,276;167,486;118,182;38,100;86,231
    Bachelor’s degree or higher;146,809;146,186;89,676;35,830;53,020
Marital status ;;;;;
    Married;225,765;191,841;175,614;74,622;121,436
    Widowed;113,068;30,066;111,391;10,424;8,037
    Divorced/separated;213,951;190,838;116,499;37,063;41,427
    Never married;263,482;210,073;129,569;99,054;238,826
    Did not report;8,098;8,098;7,808;-;7,414
Presence of children under 18 years old ;;;;;
    Children in household;214,736;201,987;146,303;85,901;178,979
    No children;273,114;219,880;211,287;110,833;155,095
Respondent or household member experienced loss of employment income ;;;;;
    Yes;275,590;257,670;214,777;104,056;170,051
    No;179,333;182,188;137,317;107,230;186,697
    Did not report;12,100;12,156;1,816;-;14,495
Respondent currently employed ;;;;;
    Yes;205,805;189,457;133,069;76,740;132,236
    No;272,746;222,202;207,779;126,003;204,396
    Did not report;-;-;-;-;69,240
Household income ;;;;;
    Less than $25,000;144,285;53,308;137,451;102,561;45,110
    $25,000 - $34,999;165,066;103,446;152,529;44,689;61,478
    $35,000 - $49,999;135,734;129,094;86,159;64,222;9,123
    $50,000 - $74,999;170,160;160,941;67,759;40,547;8,449
    $75,000 - $99,999;114,172;104,702;83,688;30,252;2,364
    $100,000 - $149,999;143,659;139,695;96,961;24,262;12,347
    $150,000 - $199,999;64,720;65,318;14,400;16,562;-
    $200,000 and above;82,957;82,208;39,100;3,536;19,753
    Did not report;85,034;83,981;22,316;24,320;234,926
