Health Table 3. Current Health Insurance Status, by Select Characteristics: Oregon;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Total;2,681,422;1,935,018;1,201,882;201,722;419,583
Age ;;;;;
    18 - 24;118,419;104,553;23,070;12,073;50,696
    25 - 34;554,147;414,730;200,426;100,426;99,979
    35 - 44;456,013;403,372;84,331;36,754;73,262
    45 - 64;860,012;675,226;253,350;51,386;127,312
    65 and over;692,832;337,139;640,705;1,083;68,333
Sex ;;;;;
    Male;1,252,675;914,673;505,149;112,866;248,605
    Female;1,428,747;1,020,346;696,732;88,856;170,978
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);312,360;179,828;155,523;42,601;23,960
    White alone, not Hispanic;2,118,809;1,563,298;955,271;132,367;312,383
    Black alone, not Hispanic;36,004;25,132;17,116;1,195;14,731
    Asian alone, not Hispanic;110,542;92,965;32,218;4,849;37,964
    Two or more races + Other races, not Hispanic;103,707;73,795;41,755;20,710;30,545
Education ;;;;;
    Less than high school;142,864;118,945;36,411;23,954;11,271
    High school or GED;658,956;373,690;375,946;83,210;170,219
    Some college/associate’s degree;957,083;680,493;506,431;71,834;138,804
    Bachelor’s degree or higher;922,518;761,890;283,093;22,724;99,288
Marital status ;;;;;
    Married;1,511,524;1,104,530;667,690;81,564;191,519
    Widowed;101,699;68,169;82,532;-;2,759
    Divorced/separated;406,575;283,264;195,932;21,854;66,929
    Never married;659,411;476,842;254,472;93,105;148,046
    Did not report;2,213;2,213;1,256;5,200;10,331
Presence of children under 18 years old ;;;;;
    Children in household;907,289;642,025;363,309;87,840;166,360
    No children;1,774,133;1,292,994;838,572;113,882;253,223
Respondent or household member experienced loss of employment income ;;;;;
    Yes;1,228,858;885,531;524,512;157,375;176,504
    No;1,452,564;1,049,487;677,370;44,347;235,330
    Did not report;-;-;-;-;7,749
Respondent currently employed ;;;;;
    Yes;1,383,936;1,240,604;285,695;115,727;244,082
    No;1,296,258;694,415;914,958;85,995;167,786
    Did not report;1,228;-;1,228;-;7,714
Household income ;;;;;
    Less than $25,000;387,142;148,017;325,160;43,008;2,770
    $25,000 - $34,999;336,913;151,539;240,280;38,392;11,385
    $35,000 - $49,999;271,957;202,569;136,242;45,050;3,240
    $50,000 - $74,999;425,247;335,344;170,921;41,142;-
    $75,000 - $99,999;429,875;377,996;116,762;10,099;2,734
    $100,000 - $149,999;395,742;361,635;98,040;11,261;-
    $150,000 - $199,999;199,601;149,096;71,628;2,162;420
    $200,000 and above;139,513;133,845;12,036;3,551;-
    Did not report;95,432;74,978;30,814;7,057;399,035
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
