Health Table 3. Current Health Insurance Status, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Age ;;;;;
    18 - 24;427,725;329,068;131,325;138,673;36,869
    25 - 34;497,804;394,342;165,629;120,742;62,914
    35 - 44;612,805;454,849;277,418;135,113;56,105
    45 - 64;1,220,797;1,117,100;447,972;135,580;154,841
    65 and over;885,462;506,770;677,944;6,909;84,791
Sex ;;;;;
    Male;1,838,952;1,495,505;697,693;333,672;180,233
    Female;1,805,640;1,306,624;1,002,594;203,345;215,288
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);1,490,095;1,049,196;619,349;339,862;208,848
    White alone, not Hispanic;1,440,491;1,138,184;779,787;166,518;160,796
    Black alone, not Hispanic;349,466;311,746;123,441;6,214;14,445
    Asian alone, not Hispanic;261,203;208,394;121,581;11,568;8,915
    Two or more races + Other races, not Hispanic;103,337;94,610;56,129;12,855;2,516
Education ;;;;;
    Less than high school;864,127;610,080;512,956;224,968;126,167
    High school or GED;939,683;738,799;425,752;127,570;115,219
    Some college/associate’s degree;1,116,152;860,087;520,294;163,815;101,128
    Bachelor’s degree or higher;724,629;593,164;241,286;20,664;53,007
Marital status ;;;;;
    Married;1,936,177;1,503,832;870,536;247,489;184,451
    Widowed;289,313;263,524;228,501;8,471;26,575
    Divorced/separated;508,535;350,993;251,962;38,505;90,401
    Never married;905,202;678,416;346,185;230,995;80,305
    Did not report;5,365;5,365;3,103;11,556;13,788
Presence of children under 18 years old ;;;;;
    Children in household;1,820,363;1,405,171;704,542;317,543;185,341
    No children;1,824,228;1,396,958;995,746;219,474;210,180
Respondent or household member experienced loss of employment income ;;;;;
    Yes;1,734,540;1,283,128;751,375;447,980;189,087
    No;1,906,527;1,516,740;947,649;89,037;181,732
    Did not report;3,525;2,261;1,264;-;24,702
Respondent currently employed ;;;;;
    Yes;1,623,062;1,400,513;481,747;118,534;178,162
    No;2,019,269;1,399,356;1,218,540;418,482;189,508
    Did not report;2,261;2,261;-;-;27,851
Household income ;;;;;
    Less than $25,000;499,243;169,146;388,104;57,584;30,886
    $25,000 - $34,999;510,300;347,881;272,324;71,548;9,983
    $35,000 - $49,999;700,105;588,272;376,709;123,306;2,614
    $50,000 - $74,999;470,870;375,360;209,290;134,489;-
    $75,000 - $99,999;543,745;501,583;143,677;105,305;1,571
    $100,000 - $149,999;524,991;458,784;190,826;26,627;-
    $150,000 - $199,999;137,153;126,726;36,044;4,275;-
    $200,000 and above;148,857;146,923;22,781;1,245;967
    Did not report;109,329;87,454;60,533;12,639;349,500
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
