Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Renter occupied;Did not respond to tenure
;;;Yes;No;Mortgage payment was deferred;Did not respond;;
;;;;;;;;
Age ;;;;;;;;
    18 - 24;164,016;-;164,016;-;-;-;722,534;142,606
    25 - 39;1,116,427;265,437;724,111;117,791;9,088;-;2,551,319;286,568
    40 - 54;1,171,634;123,074;936,562;50,286;53,182;8,530;1,280,791;327,344
    55 - 64;907,400;244,966;483,478;95,359;83,597;-;387,524;124,750
    65 and above;1,450,721;537,094;860,518;17,520;15,896;19,693;354,809;76,733
Sex ;;;;;;;;
    Male;2,319,121;660,259;1,502,151;89,732;66,979;-;2,711,773;367,385
    Female;2,491,077;510,311;1,666,534;191,224;94,785;28,223;2,585,203;590,616
Hispanic origin and Race ;;;;;;;;
    Hispanic or Latino (may be of any race);1,685,942;174,323;1,416,002;39,130;49,845;6,642;2,427,407;500,536
    White alone, not Hispanic;1,607,098;492,098;941,844;129,179;43,977;-;1,363,351;196,935
    Black alone, not Hispanic;195,759;52,682;72,121;43,277;19,150;8,530;434,714;96,348
    Asian alone, not Hispanic;1,143,524;381,346;642,682;57,653;48,792;13,051;870,297;155,725
    Two or more races + Other races, not Hispanic;177,873;70,120;96,036;11,717;-;-;201,208;8,458
Education ;;;;;;;;
    Less than high school;709,542;143,765;482,778;82,999;-;-;899,932;127,610
    High school or GED;823,615;144,519;572,299;55,714;44,441;6,642;1,424,809;298,355
    Some college/associate’s degree;1,229,814;297,198;773,578;74,844;62,615;21,580;1,708,266;320,388
    Bachelor’s degree or higher;2,047,226;585,089;1,340,030;67,399;54,708;-;1,263,969;211,649
Marital status ;;;;;;;;
    Married;3,260,740;651,341;2,301,167;177,641;123,949;6,642;1,706,773;430,181
    Widowed;183,414;70,149;103,347;-;1,389;8,530;29,562;28,503
    Divorced/separated;463,478;174,214;228,432;25,580;22,201;13,051;936,572;162,180
    Never married;853,942;270,036;491,946;77,734;14,225;-;2,570,158;302,045
    Did not report;48,623;4,830;43,792;-;-;-;53,911;35,092
Presence of children under 18 years old ;;;;;;;;
    Children in household;1,990,851;275,994;1,546,789;89,962;71,464;6,642;2,422,038;447,244
    No children;2,819,347;894,576;1,621,896;190,994;90,300;21,580;2,874,938;510,758
Respondent or household member experienced loss of employment income ;;;;;;;;
    Yes;2,358,537;474,552;1,471,320;242,512;154,980;15,172;3,476,297;593,911
    No;2,450,360;696,018;1,696,064;38,444;6,784;13,051;1,811,574;308,422
    Did not report;1,300;-;1,300;-;-;-;9,105;55,668
Respondent currently employed ;;;;;;;;
    Yes;2,870,334;595,010;2,065,147;149,172;52,475;8,530;2,772,151;368,983
    No;1,933,177;568,873;1,103,538;131,784;109,289;19,693;2,518,389;533,350
    Did not report;6,687;6,687;-;-;-;-;6,436;55,668
Household income ;;;;;;;;
    Less than $25,000;373,969;70,496;222,540;75,399;5,533;-;1,312,192;-
    $25,000 - $34,999;366,474;124,608;176,396;24,484;40,987;-;765,538;-
    $35,000 - $49,999;462,875;103,371;321,655;15,500;2,654;19,693;683,112;-
    $50,000 - $74,999;811,275;149,772;531,112;95,883;34,508;-;931,204;2,908
    $75,000 - $99,999;576,578;74,534;472,904;29,140;-;-;639,823;-
    $100,000 - $149,999;745,996;188,764;495,776;33,932;27,525;-;463,894;-
    $150,000 - $199,999;594,741;163,011;407,630;6,619;17,481;-;202,849;-
    $200,000 and above;791,963;265,027;493,859;-;33,076;-;81,728;-
    Did not report;86,327;30,986;46,812;-;-;8,530;216,636;955,093
