Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;2,119,126;657,471;1,390,482;44,303;26,870;-;199,926
Age ;;;;;;;
    18 - 24;58,120;-;58,120;-;-;-;45,753
    25 - 39;517,516;75,326;419,781;9,526;12,883;-;49,022
    40 - 54;452,989;58,440;366,174;21,487;6,887;-;27,807
    55 - 64;440,113;129,912;303,756;2,970;3,474;-;59,689
    65 and above;650,388;393,792;242,651;10,320;3,625;-;17,655
Sex ;;;;;;;
    Male;1,081,727;314,042;730,507;19,430;17,747;-;96,224
    Female;1,037,399;343,429;659,974;24,873;9,123;-;103,702
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);208,677;53,811;148,853;6,014;-;-;3,866
    White alone, not Hispanic;1,744,124;537,637;1,150,854;28,763;26,870;-;153,775
    Black alone, not Hispanic;-;-;-;-;-;-;3,327
    Asian alone, not Hispanic;67,610;38,354;29,257;-;-;-;2,787
    Two or more races + Other races, not Hispanic;98,714;27,670;61,518;9,526;-;-;36,171
Education ;;;;;;;
    Less than high school;29,826;18,678;11,149;-;-;-;17,074
    High school or GED;543,965;228,241;299,697;10,279;5,748;-;80,595
    Some college/associate’s degree;742,285;190,010;509,067;29,549;13,659;-;77,667
    Bachelor’s degree or higher;803,049;220,543;570,568;4,475;7,463;-;24,590
Marital status ;;;;;;;
    Married;1,405,145;455,336;918,306;12,574;18,929;-;103,504
    Widowed;60,168;41,687;18,481;-;-;-;4,874
    Divorced/separated;291,798;54,704;213,324;15,829;7,941;-;26,249
    Never married;352,458;99,630;236,928;15,900;-;-;64,497
    Did not report;9,557;6,115;3,442;-;-;-;802
Presence of children under 18 years old ;;;;;;;
    Children in household;608,529;102,131;480,133;9,148;17,117;-;88,837
    No children;1,510,597;555,340;910,348;35,155;9,753;-;111,089
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;980,334;202,838;710,394;40,232;26,870;-;106,528
    No;1,138,792;454,633;680,087;4,072;-;-;92,597
    Did not report;-;-;-;-;-;-;802
Respondent currently employed ;;;;;;;
    Yes;1,011,014;198,202;792,667;3,788;16,357;-;70,800
    No;1,108,111;459,269;597,815;40,515;10,512;-;128,324
    Did not report;-;-;-;-;-;-;802
Household income ;;;;;;;
    Less than $25,000;77,193;40,364;36,830;-;-;-;5,751
    $25,000 - $34,999;145,950;78,970;64,913;2,067;-;-;-
    $35,000 - $49,999;258,753;116,236;118,394;16,183;7,941;-;-
    $50,000 - $74,999;402,962;99,376;278,003;14,156;11,428;-;-
    $75,000 - $99,999;476,685;151,931;318,692;1,405;4,657;-;-
    $100,000 - $149,999;386,987;68,528;311,707;4,478;2,273;-;-
    $150,000 - $199,999;157,935;55,911;96,010;6,014;-;-;-
    $200,000 and above;172,912;28,381;143,961;-;571;-;-
    Did not report;39,748;17,775;21,973;-;-;-;194,175
