Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Renter occupied;Did not respond to tenure
;;;Yes;No;Mortgage payment was deferred;Did not respond;;
;;;;;;;;
Age ;;;;;;;;
    18 - 24;93,079;3,060;88,335;1,225;-;459;42,225;45,853
    25 - 39;409,474;72,724;306,102;18,072;12,185;390;530,287;104,072
    40 - 54;471,266;57,663;394,821;7,266;11,516;-;234,229;59,711
    55 - 64;468,431;162,486;290,546;10,466;4,646;287;48,209;20,680
    65 and above;594,138;306,453;274,084;7,862;4,650;1,088;139,807;41,266
Sex ;;;;;;;;
    Male;1,100,020;262,724;791,258;30,515;15,522;-;385,636;128,490
    Female;936,368;339,664;562,630;14,375;17,475;2,224;609,121;143,092
Hispanic origin and Race ;;;;;;;;
    Hispanic or Latino (may be of any race);170,536;44,875;122,761;2,369;531;-;160,384;48,001
    White alone, not Hispanic;1,681,038;515,321;1,104,278;30,997;28,770;1,671;698,628;183,893
    Black alone, not Hispanic;7,254;97;7,157;-;-;-;42,132;4,096
    Asian alone, not Hispanic;64,143;14,922;45,470;-;3,293;459;36,868;6,503
    Two or more races + Other races, not Hispanic;113,416;27,172;74,223;11,524;402;94;56,746;29,089
Education ;;;;;;;;
    Less than high school;158,904;13,743;135,997;5,980;3,185;-;122,308;42,721
    High school or GED;370,044;143,338;218,516;2,515;4,811;864;309,533;85,910
    Some college/associate’s degree;724,313;224,637;445,085;34,380;19,049;1,162;349,249;94,694
    Bachelor’s degree or higher;783,126;220,670;554,289;2,016;5,952;198;213,667;48,257
Marital status ;;;;;;;;
    Married;1,289,681;414,148;838,335;18,090;17,915;1,192;343,927;106,478
    Widowed;50,068;24,448;25,061;436;122;-;26,938;4,859
    Divorced/separated;323,911;63,498;232,307;13,753;13,874;479;188,294;28,294
    Never married;358,784;93,727;250,896;12,611;996;553;435,445;125,880
    Did not report;13,944;6,567;7,288;-;89;-;154;6,070
Presence of children under 18 years old ;;;;;;;;
    Children in household;645,117;123,307;489,001;16,312;15,648;849;459,271;76,507
    No children;1,391,270;479,081;864,888;28,578;17,349;1,375;535,486;195,075
Respondent or household member experienced loss of employment income ;;;;;;;;
    Yes;991,940;188,619;733,291;38,357;31,100;573;640,472;107,195
    No;1,041,892;413,629;619,045;6,534;1,897;787;354,286;159,867
    Did not report;2,555;140;1,551;-;-;864;-;4,520
Respondent currently employed ;;;;;;;;
    Yes;1,027,704;215,694;775,373;18,601;17,750;286;471,962;157,408
    No;1,006,144;385,243;577,427;26,289;15,247;1,938;522,796;109,654
    Did not report;2,539;1,450;1,088;-;-;-;-;4,520
Household income ;;;;;;;;
    Less than $25,000;108,267;48,498;55,136;3,546;1,086;-;318,284;766
    $25,000 - $34,999;128,355;74,508;48,456;872;4,519;-;163,788;-
    $35,000 - $49,999;251,480;88,080;127,119;27,360;8,923;-;155,935;233
    $50,000 - $74,999;369,626;151,925;191,532;10,385;14,921;864;140,512;268
    $75,000 - $99,999;395,407;95,863;297,287;1,224;1,032;-;104,585;144
    $100,000 - $149,999;444,632;70,675;371,470;1,283;1,101;104;59,965;398
    $150,000 - $199,999;126,187;38,102;87,701;-;384;-;26,660;-
    $200,000 and above;142,225;19,777;121,535;104;809;-;12,563;41
    Did not report;70,208;14,961;53,652;116;222;1,256;12,465;269,733
