Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;2,371,043;362,194;1,749,839;156,172;84,056;18,781;567,144
Age ;;;;;;;
    18 - 24;181,449;46,975;102,066;14,762;7,116;10,531;136,199
    25 - 39;561,388;32,644;455,593;38,827;28,949;5,375;155,472
    40 - 54;715,603;46,193;582,615;62,077;23,314;1,404;101,277
    55 - 64;348,307;64,949;246,974;34,539;995;850;67,669
    65 and above;564,295;171,433;362,591;5,967;23,682;622;106,526
Sex ;;;;;;;
    Male;1,128,136;215,837;806,529;61,653;40,029;4,086;296,151
    Female;1,242,907;146,357;943,310;94,519;44,026;14,695;270,993
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);1,303,381;124,152;1,017,192;113,417;39,420;9,199;302,130
    White alone, not Hispanic;758,642;197,875;488,361;32,257;37,411;2,737;143,142
    Black alone, not Hispanic;167,312;8,821;154,125;-;4,213;153;40,199
    Asian alone, not Hispanic;99,435;26,694;63,218;5,279;3,012;1,233;57,772
    Two or more races + Other races, not Hispanic;42,273;4,653;26,943;5,219;-;5,458;23,901
Education ;;;;;;;
    Less than high school;449,637;41,641;366,739;24,176;15,769;1,313;139,333
    High school or GED;639,002;81,818;490,704;51,082;4,866;10,531;207,911
    Some college/associate’s degree;724,885;134,438;480,345;59,980;48,167;1,955;148,591
    Bachelor’s degree or higher;557,519;104,298;412,052;20,933;15,254;4,982;71,308
Marital status ;;;;;;;
    Married;1,406,357;176,851;1,092,622;86,960;48,255;1,670;219,312
    Widowed;83,769;30,642;51,297;1,109;721;-;21,094
    Divorced/separated;261,282;58,379;174,958;20,085;5,223;2,637;81,121
    Never married;616,567;93,254;430,963;48,018;29,857;14,474;235,281
    Did not report;3,068;3,068;-;-;-;-;10,336
Presence of children under 18 years old ;;;;;;;
    Children in household;915,853;74,189;681,142;90,786;55,499;14,237;294,222
    No children;1,455,190;288,006;1,068,697;65,386;28,557;4,544;272,922
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;1,407,434;164,395;1,014,497;141,226;71,702;15,614;333,267
    No;962,986;197,799;735,342;14,946;12,354;2,545;224,692
    Did not report;622;-;-;-;-;622;9,185
Respondent currently employed ;;;;;;;
    Yes;1,102,666;120,282;864,012;77,630;37,317;3,425;234,704
    No;1,268,376;241,913;885,827;78,541;46,739;15,356;322,179
    Did not report;-;-;-;-;-;-;10,260
Household income ;;;;;;;
    Less than $25,000;253,124;47,428;157,513;13,537;34,646;-;1,654
    $25,000 - $34,999;403,187;48,710;338,858;4,307;11,312;-;180
    $35,000 - $49,999;195,901;54,709;111,332;22,103;7,758;-;-
    $50,000 - $74,999;422,558;54,472;304,782;50,662;11,239;1,404;-
    $75,000 - $99,999;395,581;67,970;317,389;6,434;3,788;-;1,762
    $100,000 - $149,999;309,406;35,592;221,452;46,166;6,196;-;-
    $150,000 - $199,999;220,449;16,639;196,022;2,250;5,538;-;-
    $200,000 and above;95,223;17,122;71,349;4,254;2,498;-;-
    Did not report;75,614;19,552;31,144;6,460;1,081;17,377;563,548
