Standard Error Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;159,509;97,007;128,900;36,376;23,870;23,841;119,476
Age ;;;;;;;
    18 - 24;65,378;56,150;31,381;-;10,936;-;69,204
    25 - 39;74,798;7,770;66,602;27,372;5,588;3,781;48,089
    40 - 54;93,129;20,627;86,382;19,299;12,712;23,818;47,479
    55 - 64;74,648;72,498;45,333;4,189;9,944;-;15,835
    65 and above;79,003;32,552;70,767;9,599;15,951;683;53,109
Sex ;;;;;;;
    Male;147,861;70,513;121,401;29,150;15,572;683;96,697
    Female;104,609;74,828;61,468;24,156;17,631;23,816;59,976
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);166,067;94,355;126,269;34,633;19,302;23,816;96,239
    White alone, not Hispanic;65,545;38,617;42,877;7,386;8,755;-;41,364
    Black alone, not Hispanic;53,966;12,342;52,319;4,354;-;-;16,264
    Asian alone, not Hispanic;32,684;20,627;23,155;2,253;10,725;-;40,174
    Two or more races + Other races, not Hispanic;30,523;10,932;26,360;5,525;6,734;683;23,266
Education ;;;;;;;
    Less than high school;100,103;14,336;98,432;25,875;6,368;-;64,239
    High school or GED;113,204;86,230;79,839;11,445;20,499;23,727;73,957
    Some college/associate’s degree;60,140;27,982;50,968;10,982;11,750;2,576;41,393
    Bachelor’s degree or higher;75,875;40,194;64,177;16,015;8,205;683;9,918
Marital status ;;;;;;;
    Married;130,986;44,256;117,919;28,415;14,826;3,109;46,186
    Widowed;26,145;8,686;12,822;5,480;15,181;-;1,967
    Divorced/separated;81,496;69,680;26,326;21,929;9,584;23,818;15,828
    Never married;71,357;56,602;41,466;9,583;10,901;2,576;110,127
    Did not report;15,119;13,455;6,760;-;-;-;9,114
Presence of children under 18 years old ;;;;;;;
    Children in household;134,626;21,411;124,040;32,534;21,793;23,727;87,542
    No children;113,648;93,998;79,301;10,722;13,416;2,704;77,572
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;125,440;73,670;98,057;28,221;23,775;23,816;98,419
    No;111,497;63,928;106,561;18,957;1,567;683;55,600
    Did not report;-;-;-;-;-;-;7,580
Respondent currently employed ;;;;;;;
    Yes;104,080;41,411;101,936;15,654;14,675;-;51,781
    No;130,962;88,504;98,336;31,675;21,507;23,841;105,542
    Did not report;-;-;-;-;-;-;8,454
Household income ;;;;;;;
    Less than $25,000;31,490;17,460;22,702;5,742;6,396;2,576;-
    $25,000 - $34,999;93,644;14,246;98,028;17,157;10,936;-;-
    $35,000 - $49,999;44,166;18,590;33,385;10,283;821;-;-
    $50,000 - $74,999;104,766;92,079;71,915;4,775;17,588;-;-
    $75,000 - $99,999;53,769;30,990;37,356;22,018;2,326;23,818;-
    $100,000 - $149,999;39,408;20,132;33,321;8,352;7,515;683;806
    $150,000 - $199,999;36,891;5,017;30,864;15,596;10,869;-;-
    $200,000 and above;53,278;6,462;52,979;-;3,449;-;-
    Did not report;13,862;6,995;11,646;2,859;-;3,062;119,553
