Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;1,777,883;534,665;1,100,737;82,191;58,255;2,035;218,977
Age ;;;;;;;
    18 - 24;60,280;49,252;11,027;-;-;-;20,568
    25 - 39;509,674;112,347;320,414;74,177;2,735;-;131,358
    40 - 54;435,105;32,122;365,535;1,616;35,833;-;38,659
    55 - 64;384,762;104,116;270,612;6,398;1,601;2,035;18,057
    65 and above;388,062;236,828;133,149;-;18,086;-;10,334
Sex ;;;;;;;
    Male;881,608;304,441;521,030;17,688;38,448;-;151,338
    Female;896,275;230,224;579,706;64,503;19,806;2,035;67,638
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);137,986;39,564;84,262;14,160;-;-;57,883
    White alone, not Hispanic;1,158,791;360,394;750,133;17,374;30,890;-;116,006
    Black alone, not Hispanic;55,571;784;27,738;25,015;-;2,035;885
    Asian alone, not Hispanic;282,271;100,535;150,366;4,006;27,364;-;28,319
    Two or more races + Other races, not Hispanic;143,263;33,388;88,238;21,637;-;-;15,882
Education ;;;;;;;
    Less than high school;59,301;24,644;34,657;-;-;-;-
    High school or GED;311,041;107,646;177,429;14,160;11,806;-;87,557
    Some college/associate’s degree;568,004;176,699;301,012;45,448;42,810;2,035;44,379
    Bachelor’s degree or higher;839,537;225,676;587,638;22,584;3,638;-;87,041
Marital status ;;;;;;;
    Married;1,158,813;262,932;795,519;45,392;52,934;2,035;118,302
    Widowed;48,505;24,239;24,267;-;-;-;631
    Divorced/separated;202,799;56,037;135,641;5,801;5,320;-;19,512
    Never married;366,298;189,990;145,310;30,998;-;-;72,231
    Did not report;1,467;1,467;-;-;-;-;8,300
Presence of children under 18 years old ;;;;;;;
    Children in household;578,573;54,563;434,866;54,334;34,810;-;52,947
    No children;1,199,310;480,102;665,870;27,858;23,445;2,035;166,029
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;762,438;223,110;422,013;66,449;50,864;-;84,367
    No;1,015,445;311,555;678,723;15,742;7,390;2,035;129,600
    Did not report;-;-;-;-;-;-;5,009
Respondent currently employed ;;;;;;;
    Yes;971,801;181,130;713,289;43,174;34,207;-;180,935
    No;806,082;353,535;387,447;39,017;24,047;2,035;33,032
    Did not report;-;-;-;-;-;-;5,009
Household income ;;;;;;;
    Less than $25,000;111,864;77,938;26,077;404;7,445;-;40,286
    $25,000 - $34,999;84,288;53,312;25,656;-;5,320;-;-
    $35,000 - $49,999;110,396;36,255;64,696;9,445;-;-;-
    $50,000 - $74,999;281,598;124,488;120,935;36,175;-;-;13,660
    $75,000 - $99,999;171,867;29,508;140,289;-;2,070;-;-
    $100,000 - $149,999;314,473;64,681;241,305;1,392;7,096;-;-
    $150,000 - $199,999;266,428;80,074;159,396;21,637;5,320;-;-
    $200,000 and above;404,082;63,808;297,939;11,332;31,003;-;-
    Did not report;32,887;4,600;24,445;1,806;-;2,035;165,031
