Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Owner occupied;Did not respond to tenure
;;;Yes;No;Rent was deferred;Did not respond;;
;;;;;;;;
Age ;;;;;;;;
    18 - 24;722,534;-;536,817;60,555;125,162;-;164,016;142,606
    25 - 39;2,551,319;106,226;1,996,629;334,519;113,945;-;1,116,427;286,568
    40 - 54;1,280,791;105,381;907,972;202,802;59,661;4,975;1,171,634;327,344
    55 - 64;387,524;15,426;323,289;44,141;4,667;-;907,400;124,750
    65 and above;354,809;7,388;262,621;3,607;11,529;69,664;1,450,721;76,733
Sex ;;;;;;;;
    Male;2,711,773;202,434;2,077,052;265,709;166,579;-;2,319,121;367,385
    Female;2,585,203;31,988;1,950,276;379,915;148,385;74,639;2,491,077;590,616
Hispanic origin and Race ;;;;;;;;
    Hispanic or Latino (may be of any race);2,427,407;83,561;1,850,062;242,023;233,502;18,260;1,685,942;500,536
    White alone, not Hispanic;1,363,351;38,815;1,035,169;183,385;49,602;56,380;1,607,098;196,935
    Black alone, not Hispanic;434,714;82,647;227,330;106,297;18,441;-;195,759;96,348
    Asian alone, not Hispanic;870,297;26,155;771,783;58,940;13,419;-;1,143,524;155,725
    Two or more races + Other races, not Hispanic;201,208;3,244;142,985;54,979;-;-;177,873;8,458
Education ;;;;;;;;
    Less than high school;899,932;114,611;537,743;167,393;23,804;56,380;709,542;127,610
    High school or GED;1,424,809;32,090;1,070,701;189,059;119,675;13,284;823,615;298,355
    Some college/associate’s degree;1,708,266;31,493;1,286,243;240,674;144,880;4,975;1,229,814;320,388
    Bachelor’s degree or higher;1,263,969;56,227;1,132,640;48,498;26,604;-;2,047,226;211,649
Marital status ;;;;;;;;
    Married;1,706,773;37,969;1,415,245;199,574;40,701;13,284;3,260,740;430,181
    Widowed;29,562;-;29,562;-;-;-;183,414;28,503
    Divorced/separated;936,572;21,850;667,155;134,440;56,747;56,380;463,478;162,180
    Never married;2,570,158;142,513;1,893,545;311,610;217,515;4,975;853,942;302,045
    Did not report;53,911;32,090;21,821;-;-;-;48,623;35,092
Presence of children under 18 years old ;;;;;;;;
    Children in household;2,422,038;175,426;1,792,052;384,286;70,274;-;1,990,851;447,244
    No children;2,874,938;58,995;2,235,276;261,338;244,689;74,639;2,819,347;510,758
Respondent or household member experienced loss of employment income ;;;;;;;;
    Yes;3,476,297;45,333;2,594,965;563,145;211,498;61,355;2,358,537;593,911
    No;1,811,574;189,088;1,423,258;82,479;103,465;13,284;2,450,360;308,422
    Did not report;9,105;-;9,105;-;-;-;1,300;55,668
Respondent currently employed ;;;;;;;;
    Yes;2,772,151;49,304;2,371,676;221,291;124,905;4,975;2,870,334;368,983
    No;2,518,389;185,118;1,649,216;424,333;190,058;69,664;1,933,177;533,350
    Did not report;6,436;-;6,436;-;-;-;6,687;55,668
Household income ;;;;;;;;
    Less than $25,000;1,312,192;127,333;729,205;322,776;132,878;-;373,969;-
    $25,000 - $34,999;765,538;33,557;564,302;59,560;108,119;-;366,474;-
    $35,000 - $49,999;683,112;9,849;628,255;36,805;8,203;-;462,875;-
    $50,000 - $74,999;931,204;40,780;756,379;96,115;37,929;-;811,275;2,908
    $75,000 - $99,999;639,823;8,283;569,569;61,971;-;-;576,578;-
    $100,000 - $149,999;463,894;-;381,077;15,673;10,764;56,380;745,996;-
    $150,000 - $199,999;202,849;6,685;180,393;9,153;6,619;-;594,741;-
    $200,000 and above;81,728;4,072;77,656;-;-;-;791,963;-
    Did not report;216,636;3,862;140,492;43,571;10,451;18,260;86,327;955,093
