Standard Error Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;210,295;45,288;210,357;129,805;14,724;11,712;239,538
Age ;;;;;;;
    18 - 24;74,581;21,654;70,712;28,259;-;-;130,156
    25 - 39;177,297;21,749;138,079;102,851;11,419;-;123,663
    40 - 54;149,946;20,255;130,114;112,856;6,646;277;81,954
    55 - 64;151,284;17,413;147,899;12,184;7,185;11,682;69,380
    65 and above;89,129;8,778;85,669;25,821;554;-;88,014
Sex ;;;;;;;
    Male;199,043;24,808;166,987;86,932;9,420;11,682;212,576
    Female;177,012;37,951;166,207;109,347;11,644;277;102,586
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);181,132;35,921;175,089;123,407;6,409;-;168,892
    White alone, not Hispanic;122,641;20,688;119,215;19,460;7,226;11,712;66,514
    Black alone, not Hispanic;120,470;3,876;112,200;39,765;1,564;-;14,500
    Asian alone, not Hispanic;86,594;10,268;88,039;28,373;3,605;-;83,381
    Two or more races + Other races, not Hispanic;57,245;-;34,693;42,238;10,022;-;71,746
Education ;;;;;;;
    Less than high school;180,472;22,525;155,727;102,960;7,905;11,682;139,067
    High school or GED;121,504;23,317;117,551;39,374;-;-;124,368
    Some college/associate’s degree;152,148;23,232;126,197;88,930;9,727;277;81,965
    Bachelor’s degree or higher;111,801;11,479;112,896;14,125;7,782;-;47,275
Marital status ;;;;;;;
    Married;147,179;14,208;127,168;103,944;9,469;11,682;96,372
    Widowed;110,678;7,497;103,670;24,007;-;-;7,481
    Divorced/separated;157,946;4,013;128,807;63,647;8,068;277;26,132
    Never married;176,675;38,342;155,854;79,573;8,772;-;242,823
    Did not report;1,043;-;1,043;-;-;-;7,414
Presence of children under 18 years old ;;;;;;;
    Children in household;188,062;10,679;155,209;120,825;10,320;-;175,357
    No children;213,716;42,451;196,074;78,915;10,119;11,712;149,830
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;195,098;41,431;176,241;129,534;14,588;277;149,871
    No;112,164;17,646;114,945;27,030;2,054;-;185,875
    Did not report;15,885;-;10,408;-;-;11,682;9,615
Respondent currently employed ;;;;;;;
    Yes;192,939;34,015;155,295;93,923;2,321;-;121,809
    No;184,748;24,362;166,371;101,163;14,557;277;196,250
    Did not report;11,682;-;-;-;-;11,682;66,755
Household income ;;;;;;;
    Less than $25,000;123,387;29,639;103,417;90,860;8,206;277;8,415
    $25,000 - $34,999;150,053;7,512;152,685;45,486;6,456;11,682;-
    $35,000 - $49,999;90,403;13,271;87,084;45,813;6,289;-;-
    $50,000 - $74,999;111,814;11,649;87,527;35,588;3,626;-;-
    $75,000 - $99,999;95,029;5,134;94,527;11,170;6,924;-;-
    $100,000 - $149,999;100,580;2,192;71,696;67,028;2,054;-;-
    $150,000 - $199,999;36,479;2,402;36,662;-;-;-;1,244
    $200,000 and above;32,546;-;32,546;-;-;-;-
    Did not report;39,262;21,654;14,924;28,626;-;-;238,080
