Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;1,077,843;18,040;906,800;119,526;25,162;8,315;414,052
Age ;;;;;;;
    18 - 24;73,023;-;69,890;3,133;-;-;55,000
    25 - 39;574,877;5,518;468,377;86,973;14,009;-;141,348
    40 - 54;220,886;3,790;187,467;25,057;4,571;-;92,754
    55 - 64;119,246;1,675;98,618;4,056;6,582;8,315;49,969
    65 and above;89,811;7,056;82,448;307;-;-;74,982
Sex ;;;;;;;
    Male;513,639;9,093;448,772;45,497;1,963;8,315;247,343
    Female;564,204;8,947;458,028;74,030;23,199;-;166,710
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);205,490;2,031;179,664;23,795;-;-;25,213
    White alone, not Hispanic;733,326;13,142;635,301;71,935;4,633;8,315;308,525
    Black alone, not Hispanic;29,149;-;21,644;7,505;-;-;16,043
    Asian alone, not Hispanic;37,682;-;37,682;-;-;-;34,196
    Two or more races + Other races, not Hispanic;72,196;2,867;32,508;16,292;20,530;-;30,076
Education ;;;;;;;
    Less than high school;62,371;1,757;47,621;12,993;-;-;8,346
    High school or GED;343,597;-;293,123;32,725;9,433;8,315;162,445
    Some college/associate’s degree;399,621;11,746;305,092;67,159;15,624;-;142,885
    Bachelor’s degree or higher;272,254;4,536;260,964;6,648;105;-;100,377
Marital status ;;;;;;;
    Married;394,457;5,846;342,286;39,000;7,325;-;195,400
    Widowed;23,220;3,386;18,931;903;-;-;2,759
    Divorced/separated;187,227;1,991;160,365;14,322;2,234;8,315;63,075
    Never married;472,253;6,817;384,622;65,211;15,603;-;143,128
    Did not report;686;-;595;90;-;-;9,691
Presence of children under 18 years old ;;;;;;;
    Children in household;389,305;4,396;327,172;51,618;6,119;-;165,639
    No children;688,538;13,644;579,628;67,908;19,043;8,315;248,414
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;640,767;9,272;501,033;106,252;24,210;-;158,505
    No;437,075;8,768;405,767;13,274;952;8,315;247,798
    Did not report;-;-;-;-;-;-;7,749
Respondent currently employed ;;;;;;;
    Yes;577,934;6,639;515,164;53,215;2,915;-;240,962
    No;499,908;11,400;391,636;66,311;22,247;8,315;166,719
    Did not report;-;-;-;-;-;-;6,372
Household income ;;;;;;;
    Less than $25,000;282,062;6,163;224,145;50,630;1,125;-;-
    $25,000 - $34,999;239,834;4,378;198,843;35,173;1,440;-;-
    $35,000 - $49,999;140,509;1,401;109,473;13,820;7,500;8,315;-
    $50,000 - $74,999;173,906;2,342;143,960;15,463;12,142;-;-
    $75,000 - $99,999;117,287;1,367;114,944;976;-;-;-
    $100,000 - $149,999;67,057;358;61,176;2,567;2,956;-;-
    $150,000 - $199,999;12,527;-;12,527;-;-;-;350
    $200,000 and above;19,782;-;19,782;-;-;-;-
    Did not report;24,879;2,031;21,951;897;-;-;413,702
