Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;1,673,680;20,411;1,503,205;119,700;29,375;989;287,442
Age ;;;;;;;
    18 - 24;107,049;-;73,547;10,880;22,622;-;24,597
    25 - 39;854,473;10,997;788,637;50,745;3,106;989;94,792
    40 - 54;324,172;3,115;269,837;51,221;-;-;76,487
    55 - 64;339,397;592;329,070;6,087;3,647;-;27,424
    65 and above;48,588;5,707;42,114;766;-;-;64,141
Sex ;;;;;;;
    Male;673,093;1,433;617,392;53,082;1,186;-;154,247
    Female;1,000,587;18,978;885,814;66,618;28,189;989;133,195
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);455,363;3,115;419,033;30,699;2,517;-;58,522
    White alone, not Hispanic;641,519;15,369;558,240;66,135;1,775;-;124,549
    Black alone, not Hispanic;278,962;-;257,501;21,462;-;-;20,275
    Asian alone, not Hispanic;207,291;1,433;178,382;1,405;25,083;989;50,133
    Two or more races + Other races, not Hispanic;90,545;494;90,050;-;-;-;33,963
Education ;;;;;;;
    Less than high school;290,144;-;250,510;39,634;-;-;30,513
    High school or GED;340,803;3,388;320,793;16,622;-;-;72,789
    Some college/associate’s degree;394,862;13,617;314,425;43,013;23,807;-;49,463
    Bachelor’s degree or higher;647,871;3,406;617,478;20,430;5,568;989;134,677
Marital status ;;;;;;;
    Married;578,523;15,915;535,124;25,906;589;989;103,106
    Widowed;8,844;-;8,844;-;-;-;3,388
    Divorced/separated;199,250;4,001;165,723;27,064;2,461;-;73,248
    Never married;887,063;494;793,514;66,730;26,324;-;104,514
    Did not report;-;-;-;-;-;-;3,187
Presence of children under 18 years old ;;;;;;;
    Children in household;620,371;10,997;586,387;21,999;-;989;131,061
    No children;1,053,308;9,414;916,818;97,701;29,375;-;156,381
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;932,464;13,617;776,050;114,011;28,786;-;122,786
    No;740,513;6,794;726,453;5,689;589;989;160,883
    Did not report;702;-;702;-;-;-;3,773
Respondent currently employed ;;;;;;;
    Yes;971,839;12,475;924,961;33,813;589;-;169,774
    No;701,138;7,935;577,542;85,887;28,786;989;113,895
    Did not report;702;-;702;-;-;-;3,773
Household income ;;;;;;;
    Less than $25,000;359,683;592;305,544;30,926;22,622;-;4,475
    $25,000 - $34,999;143,359;3,115;137,934;1,125;1,186;-;-
    $35,000 - $49,999;232,360;4,274;211,632;11,476;4,978;-;-
    $50,000 - $74,999;118,653;494;111,757;6,402;-;-;-
    $75,000 - $99,999;171,105;10,502;96,394;64,208;-;-;-
    $100,000 - $149,999;256,204;-;255,615;-;589;-;-
    $150,000 - $199,999;112,107;-;111,691;416;-;-;1,366
    $200,000 and above;247,235;1,433;245,802;-;-;-;-
    Did not report;32,973;-;26,838;5,147;-;989;281,601
