Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;1,109,070;37,318;955,091;65,602;46,107;4,951;218,977
Age ;;;;;;;
    18 - 24;73,313;-;73,313;-;-;-;20,568
    25 - 39;639,109;35,761;560,080;2,784;39,594;889;131,358
    40 - 54;219,275;-;198,556;16,656;-;4,062;38,659
    55 - 64;89,893;1,557;67,686;20,650;-;-;18,057
    65 and above;87,481;-;55,456;25,511;6,513;-;10,334
Sex ;;;;;;;
    Male;505,734;35,397;420,951;3,853;44,644;889;151,338
    Female;603,336;1,921;534,141;61,748;1,463;4,062;67,638
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);160,550;29,281;94,979;29,777;6,513;-;57,883
    White alone, not Hispanic;705,696;1,921;665,896;31,465;1,463;4,951;116,006
    Black alone, not Hispanic;26,816;-;25,857;959;-;-;885
    Asian alone, not Hispanic;133,185;6,116;123,668;3,401;-;-;28,319
    Two or more races + Other races, not Hispanic;82,823;-;44,692;-;38,131;-;15,882
Education ;;;;;;;
    Less than high school;88,910;-;45,381;43,529;-;-;-
    High school or GED;249,034;-;239,594;5,378;-;4,062;87,557
    Some college/associate’s degree;396,209;37,318;306,610;7,636;44,644;-;44,379
    Bachelor’s degree or higher;374,917;-;363,506;9,059;1,463;889;87,041
Marital status ;;;;;;;
    Married;480,793;6,116;403,022;31,172;39,594;889;118,302
    Widowed;15,408;1,557;13,851;-;-;-;631
    Divorced/separated;171,099;364;139,766;24,456;6,513;-;19,512
    Never married;438,167;29,281;394,849;9,974;-;4,062;72,231
    Did not report;3,603;-;3,603;-;-;-;8,300
Presence of children under 18 years old ;;;;;;;
    Children in household;304,884;6,480;235,899;61,042;1,463;-;52,947
    No children;804,186;30,838;719,192;4,560;44,644;4,951;166,029
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;568,827;35,761;435,431;55,442;38,131;4,062;84,367
    No;540,243;1,557;519,660;10,160;7,976;889;129,600
    Did not report;-;-;-;-;-;-;5,009
Respondent currently employed ;;;;;;;
    Yes;687,202;30,838;591,555;17,812;46,107;889;180,935
    No;421,868;6,480;363,536;47,790;-;4,062;33,032
    Did not report;-;-;-;-;-;-;5,009
Household income ;;;;;;;
    Less than $25,000;86,601;-;57,043;29,558;-;-;40,286
    $25,000 - $34,999;210,498;6,480;201,130;2,887;-;-;-
    $35,000 - $49,999;123,299;29,281;89,657;4,361;-;-;-
    $50,000 - $74,999;207,180;1,557;180,228;25,395;-;-;13,660
    $75,000 - $99,999;144,182;-;104,587;-;39,594;-;-
    $100,000 - $149,999;213,813;-;210,412;3,401;-;-;-
    $150,000 - $199,999;68,240;-;67,350;-;-;889;-
    $200,000 and above;42,523;-;42,523;-;-;-;-
    Did not report;12,735;-;2,160;-;6,513;4,062;165,031
