Standard Error Housing Table 2a. Confidence in Ability to Make Next Month's Payment for Owner-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;;
Select characteristics;Total;Owned free and clear;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Did not report to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not report;
;;;;;;;;;
Total;255,213;140,966;58,962;105,093;149,492;159,748;19,392;11,028;239,538
Age ;;;;;;;;;
    18 - 24;122,006;102,964;-;7,815;75,200;64,798;-;-;130,156
    25 - 39;117,135;51,569;20,798;24,246;42,975;88,808;14,444;9,704;123,663
    40 - 54;163,879;71,784;39,646;34,254;121,357;57,298;1,165;4,874;81,954
    55 - 64;113,481;68,018;39,455;41,290;36,189;64,454;9,226;-;69,380
    65 and above;143,924;60,057;1,568;83,604;59,953;85,865;9,829;-;88,014
Sex ;;;;;;;;;
    Male;235,080;85,545;51,753;36,658;144,065;131,868;7,911;3,681;212,576
    Female;198,013;123,623;29,254;100,067;68,879;102,535;17,117;10,073;102,586
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);191,788;124,049;37,731;51,999;132,525;97,687;12,067;8,873;168,892
    White alone, not Hispanic;126,592;55,053;37,633;23,845;54,319;88,011;13,108;4,874;66,514
    Black alone, not Hispanic;56,246;47,801;-;5,198;6,587;20,677;6,931;-;14,500
    Asian alone, not Hispanic;144,260;50,642;14,996;87,548;83,623;85,077;-;3,461;83,381
    Two or more races + Other races, not Hispanic;38,006;12,959;20,388;10,272;18,136;26,979;-;-;71,746
Education ;;;;;;;;;
    Less than high school;158,063;20,110;39,604;35,796;139,749;70,739;-;-;139,067
    High school or GED;179,895;108,229;3,193;87,710;44,991;91,395;12,813;-;124,368
    Some college/associate’s degree;119,342;86,386;39,876;24,426;62,425;99,094;7,399;-;81,965
    Bachelor’s degree or higher;113,368;85,135;14,009;25,070;41,944;76,650;11,661;11,028;47,275
Marital status ;;;;;;;;;
    Married;179,895;84,108;22,050;95,211;73,392;115,227;18,679;4,874;96,372
    Widowed;30,279;14,428;11,618;-;15,979;21,049;-;-;7,481
    Divorced/separated;141,519;39,344;7,127;37,758;119,125;36,809;2,903;-;26,132
    Never married;201,927;131,569;54,253;22,969;80,726;111,837;2,542;9,704;242,823
    Did not report;7,808;-;6,950;-;-;3,347;-;-;7,414
Presence of children under 18 years old ;;;;;;;;;
    Children in household;184,571;76,275;21,550;33,208;147,349;109,776;14,479;4,648;175,357
    No children;197,844;126,089;55,906;98,736;51,518;134,362;12,838;9,784;149,830
Respondent or household member experienced loss of employment income ;;;;;;;;;
    Yes;257,137;97,887;56,944;54,065;152,098;137,483;12,496;8,873;149,871
    No;170,758;124,941;14,845;85,029;40,290;89,062;14,456;6,190;185,875
    Did not report;6,075;2,261;-;-;-;5,828;-;-;9,615
Respondent currently employed ;;;;;;;;;
    Yes;190,247;99,068;39,803;28,615;64,480;142,790;18,248;11,028;121,809
    No;249,112;121,766;42,075;101,357;139,012;98,027;5,703;-;196,250
    Did not report;-;-;-;-;-;-;-;-;66,755
Household income ;;;;;;;;;
    Less than $25,000;121,838;108,098;17,329;6,951;18,982;52,103;-;-;8,415
    $25,000 - $34,999;81,707;29,645;33,837;17,314;23,562;60,799;5,117;-;-
    $35,000 - $49,999;135,177;48,103;42,241;37,988;33,573;86,514;-;8,873;-
    $50,000 - $74,999;141,483;40,067;5,924;19,171;124,497;53,216;-;-;-
    $75,000 - $99,999;96,683;62,056;7,123;25,201;47,748;52,633;12,067;3,461;-
    $100,000 - $149,999;117,842;45,671;7,718;89,207;53,102;62,268;8,383;-;-
    $150,000 - $199,999;55,188;19,973;2,839;19,880;15,204;51,280;361;-;1,244
    $200,000 and above;79,283;45,247;-;1,746;9,076;61,740;10,409;-;-
    Did not report;77,049;26,565;-;2,217;66,130;30,843;-;4,874;238,080
