Housing Table 2a. Confidence in Ability to Make Next Month's Payment for Owner-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;;;
Select characteristics;Total;Owned free and clear;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Renter occupied;Did not respond to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not respond;;
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 24;93,079;3,060;-;1,415;13,671;74,233;-;699;42,225;45,853
    25 - 39;409,474;72,724;40,104;19,444;47,645;227,550;1,721;286;530,287;104,072
    40 - 54;471,266;57,663;6,327;37,718;47,295;315,258;7,005;-;234,229;59,711
    55 - 64;468,431;162,486;14,648;3,285;32,326;255,025;372;287;48,209;20,680
    65 and above;594,138;306,453;832;6,223;43,861;231,447;5,321;-;139,807;41,266
Sex ;;;;;;;;;;
    Male;1,100,020;262,724;16,933;46,803;115,901;656,533;1,125;-;385,636;128,490
    Female;936,368;339,664;44,979;21,281;68,898;446,979;13,294;1,272;609,121;143,092
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);170,536;44,875;1,043;19,312;36,060;68,932;314;-;160,384;48,001
    White alone, not Hispanic;1,681,038;515,321;29,706;35,337;134,334;951,566;13,595;1,178;698,628;183,893
    Black alone, not Hispanic;7,254;97;-;582;400;6,175;-;-;42,132;4,096
    Asian alone, not Hispanic;64,143;14,922;4,569;11,027;6,842;26,675;109;-;36,868;6,503
    Two or more races + Other races, not Hispanic;113,416;27,172;26,594;1,826;7,162;50,165;402;94;56,746;29,089
Education ;;;;;;;;;;
    Less than high school;158,904;13,743;10,548;13,031;45,871;75,712;-;-;122,308;42,721
    High school or GED;370,044;143,338;2,051;12,260;27,471;184,924;-;-;309,533;85,910
    Some college/associate’s degree;724,313;224,637;46,516;22,273;54,169;367,310;8,929;479;349,249;94,694
    Bachelor’s degree or higher;783,126;220,670;2,796;20,520;57,289;475,567;5,491;793;213,667;48,257
Marital status ;;;;;;;;;;
    Married;1,289,681;414,148;25,155;35,486;107,894;703,290;3,707;-;343,927;106,478
    Widowed;50,068;24,448;-;832;4,615;19,966;207;-;26,938;4,859
    Divorced/separated;323,911;63,498;191;19,463;32,132;197,974;10,173;479;188,294;28,294
    Never married;358,784;93,727;36,565;12,303;36,579;178,573;243;793;435,445;125,880
    Did not report;13,944;6,567;-;-;3,578;3,710;89;-;154;6,070
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;645,117;123,307;40,775;19,634;115,290;343,357;2,468;286;459,271;76,507
    No children;1,391,270;479,081;21,136;48,450;69,509;760,156;11,952;986;535,486;195,075
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;991,940;188,619;56,770;44,915;134,407;555,339;11,317;573;640,472;107,195
    No;1,041,892;413,629;5,142;23,169;50,083;546,067;3,103;699;354,286;159,867
    Did not report;2,555;140;-;-;309;2,106;-;-;-;4,520
Respondent currently employed ;;;;;;;;;;
    Yes;1,027,704;215,694;11,210;34,016;127,028;637,499;1,971;286;471,962;157,408
    No;1,006,144;385,243;50,701;34,068;57,771;464,926;12,449;986;522,796;109,654
    Did not report;2,539;1,450;-;-;-;1,088;-;-;-;4,520
Household income ;;;;;;;;;;
    Less than $25,000;108,267;48,498;1,796;7,793;17,079;32,598;503;-;318,284;766
    $25,000 - $34,999;128,355;74,508;3,107;10,783;7,486;30,980;1,491;-;163,788;-
    $35,000 - $49,999;251,480;88,080;13,010;22,849;43,965;75,650;7,927;-;155,935;233
    $50,000 - $74,999;369,626;151,925;14,852;6,572;48,615;146,403;1,259;-;140,512;268
    $75,000 - $99,999;395,407;95,863;975;5,515;40,504;251,930;620;-;104,585;144
    $100,000 - $149,999;444,632;70,675;1,479;12,701;14,556;344,425;797;-;59,965;398
    $150,000 - $199,999;126,187;38,102;98;477;1,978;84,973;559;-;26,660;-
    $200,000 and above;142,225;19,777;-;-;8,961;112,331;1,156;-;12,563;41
    Did not report;70,208;14,961;26,594;1,394;1,655;24,223;109;1,272;12,465;269,733
