Housing Table 2b. Confidence in Ability to Make Next Month's Payment for Renter-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;;;
Select characteristics;Total;Occupied without rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Owner occupied;Did not respond to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not respond;;
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 24;512,147;997;27,223;96,724;187,136;200,068;-;-;174,638;530,388
    25 - 39;2,099,151;1,925;752,662;220,387;346,486;769,430;6,860;1,401;1,098,478;304,687
    40 - 54;1,461,727;47,508;338,598;315,313;334,033;379,567;46,708;-;1,347,439;305,152
    55 - 64;475,227;716;133,492;15,206;191,502;133,934;376;-;878,229;164,326
    65 and above;491,135;42,318;28,460;5,897;97,073;312,016;3,690;1,681;1,216,502;115,178
Sex ;;;;;;;;;;
    Male;2,468,107;13,496;800,055;306,400;602,904;732,612;11,237;1,401;2,661,503;550,251
    Female;2,571,281;79,968;480,380;347,127;553,327;1,062,402;46,397;1,681;2,053,782;869,479
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);2,415,646;23,816;895,608;435,016;540,007;505,058;13,060;3,082;1,775,467;788,102
    White alone, not Hispanic;1,534,817;29,940;174,702;123,970;417,618;779,495;9,090;-;1,573,135;381,233
    Black alone, not Hispanic;369,655;1,518;160,882;23,519;64,444;119,292;-;-;136,386;55,478
    Asian alone, not Hispanic;627,576;37,060;19,316;61,818;116,828;357,070;35,484;-;994,160;136,534
    Two or more races + Other races, not Hispanic;91,694;1,131;29,927;9,203;17,333;34,099;-;-;236,138;58,384
Education ;;;;;;;;;;
    Less than high school;1,042,078;45,377;421,338;168,591;174,124;223,704;8,943;-;747,258;255,527
    High school or GED;1,394,497;37,385;448,442;320,951;351,691;236,028;-;-;820,443;352,010
    Some college/associate’s degree;1,251,373;3,343;272,105;86,346;386,860;457,203;43,836;1,681;1,154,260;618,522
    Bachelor’s degree or higher;1,351,440;7,359;138,550;77,639;243,556;878,079;4,855;1,401;1,993,325;193,671
Marital status ;;;;;;;;;;
    Married;1,561,079;8,441;374,214;178,018;403,820;557,844;35,661;3,082;2,822,463;399,034
    Widowed;93,024;-;19,516;9,170;27,729;36,610;-;-;107,258;7,447
    Divorced/separated;748,785;67,925;121,811;108,877;262,640;170,439;17,093;-;462,763;168,761
    Never married;2,498,178;17,099;764,825;357,463;450,422;903,489;4,881;-;1,320,339;806,653
    Did not report;138,321;-;69;-;11,620;126,633;-;-;2,463;37,836
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;1,890,664;18,698;552,141;427,041;493,860;348,486;49,037;1,401;1,504,377;732,371
    No children;3,148,724;74,766;728,294;226,487;662,370;1,446,528;8,597;1,681;3,210,908;687,360
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;3,282,919;12,604;1,273,461;385,761;796,710;763,848;49,133;1,401;2,755,424;822,247
    No;1,755,736;80,860;6,301;267,706;359,521;1,031,166;8,501;1,681;1,958,836;560,455
    Did not report;733;-;673;60;-;-;-;-;1,025;37,028
Respondent currently employed ;;;;;;;;;;
    Yes;2,367,110;12,230;391,382;415,986;515,594;1,023,298;5,538;3,082;2,392,268;655,409
    No;2,672,220;81,234;889,053;237,542;640,579;771,716;52,096;-;2,323,018;694,207
    Did not report;57;-;-;-;57;-;-;-;-;70,115
Household income ;;;;;;;;;;
    Less than $25,000;1,154,277;35,428;221,450;243,909;384,065;265,563;3,863;-;296,294;200
    $25,000 - $34,999;1,232,720;4,435;622,762;255,032;87,904;248,811;13,775;-;409,185;-
    $35,000 - $49,999;435,928;38,227;123,845;18,707;148,156;104,319;2,674;-;374,951;19,470
    $50,000 - $74,999;720,092;348;66,543;69,318;282,434;296,755;3,014;1,681;466,027;133
    $75,000 - $99,999;529,355;288;163,094;35,958;61,423;268,575;17;-;1,061,016;133
    $100,000 - $149,999;479,656;1,227;6,414;9,856;61,477;368,684;31,998;-;668,589;-
    $150,000 - $199,999;180,887;1,106;847;199;54,320;122,648;1,767;-;388,743;-
    $200,000 and above;151,483;12,404;15,053;14,735;12,827;95,938;526;-;803,000;-
    Did not report;154,990;-;60,428;5,813;63,625;23,722;-;1,401;247,480;1,399,794
