Housing Table 2b. Confidence in Ability to Make Next Month's Payment for Renter-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;;
Select characteristics;Total;Occupied without rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Did not report to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not report;
;;;;;;;;;
Total;4,643,155;352,215;432,865;1,052,284;1,081,774;1,689,736;22,597;11,683;1,434,781
Age ;;;;;;;;;
    18 - 24;531,704;-;519;290,433;156,326;83,808;618;-;290,494
    25 - 39;1,497,390;20,017;145,924;267,864;311,352;731,890;8,660;11,683;486,604
    40 - 54;1,471,329;24,439;221,120;314,015;461,911;441,889;7,956;-;193,191
    55 - 64;421,358;19,593;43,136;89,336;99,196;164,877;5,220;-;141,080
    65 and above;721,375;288,166;22,166;90,637;52,990;267,272;144;-;323,412
Sex ;;;;;;;;;
    Male;2,180,021;33,280;147,649;633,981;480,959;863,428;20,725;-;643,870
    Female;2,463,135;318,934;285,216;418,304;600,816;826,309;1,873;11,683;790,911
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);2,418,569;288,782;284,918;693,184;660,461;477,158;2,383;11,683;425,142
    White alone, not Hispanic;1,217,555;17,673;26,131;139,549;253,122;765,886;15,194;-;531,085
    Black alone, not Hispanic;345,261;25,492;99,117;22,087;31,485;167,080;-;-;88,682
    Asian alone, not Hispanic;466,795;18,146;22,180;68,219;127,521;225,709;5,020;-;347,598
    Two or more races + Other races, not Hispanic;194,975;2,122;519;129,244;9,186;53,904;-;-;42,273
Education ;;;;;;;;;
    Less than high school;1,191,294;275,461;244,022;202,632;299,846;157,650;-;11,683;276,525
    High school or GED;855,839;3,139;90,027;237,338;255,622;269,714;-;-;315,003
    Some college/associate’s degree;1,370,167;38,955;61,433;537,101;276,299;442,237;14,142;-;514,195
    Bachelor’s degree or higher;1,225,855;34,660;37,384;75,213;250,008;820,135;8,455;-;329,058
Marital status ;;;;;;;;;
    Married;1,779,304;27,577;171,222;263,567;471,502;819,836;13,918;11,683;526,747
    Widowed;496,200;274,855;27,936;11,150;43,756;138,504;-;-;55,722
    Divorced/separated;653,848;9,989;95,840;186,458;140,133;220,472;957;-;110,266
    Never married;1,704,535;39,794;137,867;581,842;426,384;510,925;7,723;-;698,633
    Did not report;9,268;-;-;9,268;-;-;-;-;43,412
Presence of children under 18 years old ;;;;;;;;;
    Children in household;1,747,430;12,769;250,610;409,141;558,515;491,856;12,857;11,683;645,633
    No children;2,895,725;339,446;182,256;643,143;523,260;1,197,881;9,740;-;789,148
Respondent or household member experienced loss of employment income ;;;;;;;;;
    Yes;3,245,333;334,475;393,691;893,936;755,066;857,709;10,456;-;906,748
    No;1,393,016;17,740;37,088;158,348;326,708;829,308;12,142;11,683;502,676
    Did not report;4,806;-;2,086;-;-;2,720;-;-;25,357
Respondent currently employed ;;;;;;;;;
    Yes;2,187,058;297,052;183,058;156,741;491,744;1,044,083;14,380;-;674,515
    No;2,453,390;55,163;249,807;895,543;588,574;644,404;8,217;11,683;729,322
    Did not report;2,707;-;-;-;1,457;1,250;-;-;30,944
Household income ;;;;;;;;;
    Less than $25,000;1,440,473;303,286;196,916;409,174;322,143;195,697;1,574;11,683;234
    $25,000 - $34,999;748,215;8,348;153,737;348,997;123,306;112,308;1,519;-;-
    $35,000 - $49,999;472,254;8,854;15,742;162,300;157,891;120,104;7,363;-;-
    $50,000 - $74,999;595,524;6,364;45,968;97,120;163,791;282,280;-;-;-
    $75,000 - $99,999;483,682;9,132;13,934;12,843;197,732;238,503;11,538;-;1,529
    $100,000 - $149,999;468,998;1,212;2,402;17,646;88,489;358,789;459;-;-
    $150,000 - $199,999;208,249;2,761;2,080;-;7,816;195,448;144;-;-
    $200,000 and above;154,077;12,258;-;4,204;1,654;135,961;-;-;-
    Did not report;71,683;-;2,086;-;18,952;50,645;-;-;1,433,017
