Housing Table 2b. Confidence in Ability to Make Next Month's Payment for Renter-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;;;
Select characteristics;Total;Occupied without rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Owner occupied;Did not respond to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not respond;;
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 24;102,858;20,403;-;33,002;13,924;32,265;-;3,265;72,226;8,303
    25 - 39;440,470;8,077;34,924;88,216;102,352;206,753;146;-;467,247;94,328
    40 - 54;239,538;9,252;18,711;49,597;54,041;104,845;-;3,092;545,218;36,204
    55 - 64;89,061;7,867;10,648;16,851;19,201;34,493;-;-;377,822;60,080
    65 and above;101,173;2,668;764;470;32,709;63,843;720;-;606,307;61,892
Sex ;;;;;;;;;;
    Male;480,033;29,166;51,803;74,912;98,013;222,154;720;3,265;1,045,960;88,153
    Female;493,067;19,102;13,244;113,223;124,215;220,044;146;3,092;1,022,861;172,654
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);163,408;10,451;3,300;64,147;35,052;47,193;-;3,265;178,989;36,524
    White alone, not Hispanic;672,974;34,405;48,479;85,222;170,137;330,774;866;3,092;1,685,371;205,214
    Black alone, not Hispanic;35,974;-;3,675;20,387;4,036;7,876;-;-;9,274;6,968
    Asian alone, not Hispanic;33,036;660;2,212;14,254;2,591;13,320;-;-;77,542;6,513
    Two or more races + Other races, not Hispanic;67,706;2,752;7,381;4,126;10,412;43,035;-;-;117,644;5,589
Education ;;;;;;;;;;
    Less than high school;36,402;-;11,195;13,653;5,238;6,317;-;-;49,345;17,256
    High school or GED;319,861;22,973;24,607;68,173;61,259;139,756;-;3,092;556,271;110,849
    Some college/associate’s degree;358,691;12,961;23,194;92,019;103,913;126,458;146;-;731,299;77,893
    Bachelor’s degree or higher;258,145;12,334;6,051;14,291;51,818;169,667;720;3,265;731,906;54,809
Marital status ;;;;;;;;;;
    Married;318,980;26,401;13,473;16,854;89,357;169,082;720;3,092;1,336,569;119,281
    Widowed;29,920;470;-;10,366;5,710;13,374;-;-;126,172;9,779
    Divorced/separated;184,150;16,527;17,924;35,499;37,324;76,875;-;-;263,217;52,325
    Never married;440,050;4,869;33,650;125,416;89,836;182,867;146;3,265;335,216;68,967
    Did not report;-;-;-;-;-;-;-;-;7,647;10,455
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;329,648;11,440;24,213;86,183;70,100;137,565;146;-;674,430;93,332
    No children;643,452;36,827;40,834;101,953;152,128;304,633;720;6,357;1,394,391;167,475
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;514,705;20,549;51,731;116,576;125,115;197,323;146;3,265;906,092;102,931
    No;458,394;27,719;13,317;71,560;97,112;244,875;720;3,092;1,161,226;147,343
    Did not report;-;-;-;-;-;-;-;-;1,503;10,533
Respondent currently employed ;;;;;;;;;;
    Yes;632,265;34,486;34,945;135,044;108,560;312,873;-;6,357;998,070;124,203
    No;339,361;13,782;30,102;51,619;113,668;129,325;866;-;1,070,007;126,071
    Did not report;1,473;-;-;1,473;-;-;-;-;744;10,533
Household income ;;;;;;;;;;
    Less than $25,000;263,820;7,244;23,962;54,910;66,264;110,719;720;-;164,227;-
    $25,000 - $34,999;152,861;13,462;20,880;37,145;37,442;43,785;146;-;143,011;476
    $35,000 - $49,999;120,354;8,164;4,623;23,719;37,847;46,002;-;-;195,578;-
    $50,000 - $74,999;200,288;6,159;8,807;43,752;42,588;98,983;-;-;489,988;-
    $75,000 - $99,999;96,602;1,038;6,775;13,951;16,518;58,320;-;-;401,029;-
    $100,000 - $149,999;82,160;6,020;-;11,871;11,567;52,702;-;-;342,236;-
    $150,000 - $199,999;15,938;375;-;-;1,570;13,994;-;-;137,906;-
    $200,000 and above;10,977;5,806;-;-;-;5,171;-;-;161,343;-
    Did not report;30,099;-;-;2,788;8,432;12,523;-;6,357;33,502;260,331
