Housing Table 2b. Confidence in Ability to Make Next Month's Payment for Renter-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;;
Select characteristics;Total;Occupied without rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Did not report to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not report;
;;;;;;;;;
Total;983,676;10,620;96,514;156,673;297,568;366,293;6,202;49,807;199,926
Age ;;;;;;;;;
    18 - 24;90,131;-;4,093;19,812;16,419;-;-;49,807;45,753
    25 - 39;463,582;5,445;52,472;85,142;107,467;208,167;4,888;-;49,022
    40 - 54;291,158;1,346;37,374;50,191;116,891;85,356;-;-;27,807
    55 - 64;59,298;3,428;2,575;1,529;27,817;22,636;1,314;-;59,689
    65 and above;79,507;401;-;-;28,973;50,133;-;-;17,655
Sex ;;;;;;;;;
    Male;436,196;1,112;28,530;67,845;109,116;179,786;-;49,807;96,224
    Female;547,480;9,508;67,984;88,828;188,452;186,507;6,202;-;103,702
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);217,619;-;7,012;38,357;33,517;84,040;4,888;49,807;3,866
    White alone, not Hispanic;665,660;10,620;69,263;114,178;218,327;251,958;1,314;-;153,775
    Black alone, not Hispanic;24,061;-;8,365;2,069;-;13,626;-;-;3,327
    Asian alone, not Hispanic;29,063;-;8,365;-;14,634;6,063;-;-;2,787
    Two or more races + Other races, not Hispanic;47,273;-;3,508;2,069;31,090;10,606;-;-;36,171
Education ;;;;;;;;;
    Less than high school;41,934;-;2,326;18,209;-;21,400;-;-;17,074
    High school or GED;377,446;7,455;32,839;87,004;93,335;107,007;-;49,807;80,595
    Some college/associate’s degree;347,668;-;39,310;33,391;148,892;124,761;1,314;-;77,667
    Bachelor’s degree or higher;216,628;3,165;22,040;18,070;55,341;113,124;4,888;-;24,590
Marital status ;;;;;;;;;
    Married;316,999;-;33,686;45,106;108,249;125,070;4,888;-;103,504
    Widowed;27,029;-;-;-;16,561;9,155;1,314;-;4,874
    Divorced/separated;196,912;8,090;20,206;51,138;54,501;62,979;-;-;26,249
    Never married;442,735;2,530;42,622;60,429;118,257;169,089;-;49,807;64,497
    Did not report;-;-;-;-;-;-;-;-;802
Presence of children under 18 years old ;;;;;;;;;
    Children in household;352,432;5,373;65,299;81,481;88,583;106,808;4,888;-;88,837
    No children;631,243;5,247;31,215;75,192;208,985;259,485;1,314;49,807;111,089
Respondent or household member experienced loss of employment income ;;;;;;;;;
    Yes;620,546;6,791;96,514;118,567;167,230;176,750;4,888;49,807;106,528
    No;363,129;3,829;-;38,106;130,338;189,543;1,314;-;92,597
    Did not report;-;-;-;-;-;-;-;-;802
Respondent currently employed ;;;;;;;;;
    Yes;547,236;3,428;17,694;65,256;172,962;231,888;6,202;49,807;70,800
    No;436,439;7,192;78,820;91,417;124,605;134,405;-;-;128,324
    Did not report;-;-;-;-;-;-;-;-;802
Household income ;;;;;;;;;
    Less than $25,000;358,496;7,689;47,254;75,584;77,752;100,411;-;49,807;5,751
    $25,000 - $34,999;155,606;-;-;41,354;74,373;38,565;1,314;-;-
    $35,000 - $49,999;149,300;1,819;18,197;14,175;37,879;77,231;-;-;-
    $50,000 - $74,999;150,735;-;12,863;23,308;61,912;52,652;-;-;-
    $75,000 - $99,999;70,242;1,112;10,145;2,252;25,199;31,534;-;-;-
    $100,000 - $149,999;71,871;-;8,054;-;12,412;51,405;-;-;-
    $150,000 - $199,999;13,223;-;-;-;-;8,335;4,888;-;-
    $200,000 and above;14,201;-;-;-;8,042;6,159;-;-;-
    Did not report;-;-;-;-;-;-;-;-;194,175
