									2018 Outcome														2016 Outcome														2014 Outcome														2012 Outcome														2010 Outcome													
2018										Democrat		Republican		Margin of Victory			Base Color			Height in mm				Democrat		Republican		Margin of Victory			Base Color			Height in mm				Democrat		Republican		Margin of Victory			Base Color			Height in mm				Democrat		Republican		Margin of Victory			Base Color			Height in mm				Democrat		Republican		Margin of Victory			Base Color			Height in mm		
Index	FIPS	County	State	Index	CD	FIPS	County	State	Tot Vote	Dem Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.	Tot Vote	Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.	Tot Vote	Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.	Tot Vote	Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.	Tot Vote	Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.
1	1001	Autauga	AL	1	2	1001	Autauga	AL	19665	6,221	31.60%	13,400	68.10%	7,179	36.50%	R	R2		ff9999	0.618	1	1.6	24,117	7,544	31.30%	14,315	59.40%	6,771	28.10%	R	R2		ff9999	0.618	1	1.6	13,057	3,019	23.10%	10,020	76.70%	7,001	53.60%	R	R3		ff7878	0.618	1	1.6	23,476	6,210	26.50%	17,255	73.50%	11,045	47.00%	R	R3		ff7878	0.618	1	1.6	17,982	6,326	35.20%	11,627	64.70%	5,301	29.50%	R	R2		ff9999	0.618	1	1.6
2	1003	Baldwin	AL	2	1	1003	Baldwin	AL	77829	17,779	22.80%	59,992	77.10%	42,213	54.20%	R	R3		ff7878	0.618	2	2.6	78,986	0	0.00%	76,995	97.50%	75,004	97.50%	R	R5		990000	0.618	2	2.6	46,065	7,291	15.80%	38,685	84.00%	31,394	68.20%	R	R4		ff0000	0.618	1	1.6	70,236	0	0.00%	69,161	98.50%	69,161	98.50%	R	R5		990000	0.618	2	2.6	53,255	0	0.00%	43,047	80.80%	43,047	80.80%	R	R5		990000	0.618	1	1.6
3	1005	Barbour	AL	3	2	1005	Barbour	AL	8354	4,162	49.80%	4,191	50.20%	29	0.30%	R	P		ff00ff	0.618	1	1.6	10,046	5,297	52.70%	4,286	42.70%	1,011	-10.10%	D	B1		cce5ff	0.618	1	1.6	6,762	3,398	50.30%	3,363	49.70%	35	-0.50%	D	P		ff00ff	0.618	1	1.6	11,169	5,760	51.60%	5,395	48.30%	365	-3.30%	D	B1		cce5ff	0.618	1	1.6	8,159	4,832	59.20%	3,309	40.60%	1,523	-18.70%	D	B1		cce5ff	0.618	1	1.6
4	1007	Bibb	AL	4	6	1007	Bibb	AL	6859	1,559	22.70%	5,299	77.30%	3,740	54.50%	R	R3		ff7878	0.618	1	1.6	8,656	1,971	22.80%	6,670	77.10%	4,699	54.30%	R	R3		ff7878	0.618	1	1.6	4,841	1,122	23.20%	3,713	76.70%	2,591	53.50%	R	R3		ff7878	0.618	1	1.6	8,272	2,481	30.00%	5,783	69.90%	3,302	39.90%	R	R2		ff9999	0.618	1	1.6	5,071	0	0.00%	4,989	98.40%	4,989	98.40%	R	R5		990000	0.618	1	1.6
5	1009	Blount	AL	5		1009	Blount	AL	19391	1,957	10.10%	17,420	89.80%	15,463	79.70%	R	R5		990000	0.618	1	1.6	24,804	2,390	9.60%	22,367	90.20%	19,977	80.50%	R	R5		990000	0.618	1	1.6	13,981	1,573	11.30%	12,390	88.60%	10,817	77.40%	R	R4		ff0000	0.618	1	1.6	23,311	4,449	19.10%	18,806	80.70%	14,357	61.60%	R	R4		ff0000	0.618	1	1.6	14,932	0	0.00%	14,799	99.10%	14,799	99.10%	R	R5		990000	0.618	1	1.6
6	1011	Bullock	AL	6	2	1011	Bullock	AL	3682	2,830	76.90%	850	23.10%	1,980	-53.80%	D	B3		6a5acd	0.618	1	1.6	4,486	3,517	78.40%	889	19.80%	2,628	-58.60%	D	B3		6a5acd	0.618	1	1.6	3,163	2,391	75.60%	772	24.40%	1,619	-51.20%	D	B3		6a5acd	0.618	1	1.6	5,060	3,817	75.40%	1,243	24.60%	2,574	-50.90%	D	B3		6a5acd	0.618	1	1.6	3,859	2,982	77.30%	877	22.70%	2,105	-54.50%	D	B3		6a5acd	0.618	1	1.6
7	1013	Butler	AL	7	2	1013	Butler	AL	8112	3,693	45.50%	4,414	54.40%	721	8.90%	R	R1		ffcccc	0.618	1	1.6	8,327	4,088	49.10%	3,918	47.10%	170	-2.00%	D	B1		cce5ff	0.618	1	1.6	5,852	2,454	41.90%	3,396	58.00%	942	16.10%	R	R1		ffcccc	0.618	1	1.6	9,317	4,327	46.40%	4,982	53.50%	655	7.00%	R	R1		ffcccc	0.618	1	1.6	7,040	3,878	55.10%	3,153	44.80%	725	-10.30%	D	B1		cce5ff	0.618	1	1.6
8	1015	Calhoun	AL	8	3	1015	Calhoun	AL	36908	12,178	33.00%	24,695	66.90%	12,517	33.90%	R	R2		ff9999	0.618	1	1.6	47,250	14,000	29.60%	33,175	70.20%	19,175	40.60%	R	R3		ff7878	0.618	1	1.6	26,610	8,263	31.10%	18,306	68.80%	10,043	37.70%	R	R2		ff9999	0.618	1	1.6	45,457	14,826	32.60%	30,548	67.20%	15,722	34.60%	R	R2		ff9999	0.618	1	1.6	33,853	10,296	30.40%	23,513	69.50%	13,217	39.00%	R	R2		ff9999	0.618	1	1.6
