Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Oregon;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;3,302,727;1,671,449;1,620,038;11,240;1,252,686;2,030,454;19,587
Age ;;;;;;;
    18 - 24;274,451;135,295;139,155;-;96,161;178,289;-
    25 - 39;930,568;572,115;355,824;2,629;414,139;513,800;2,629
    40 - 54;774,451;482,530;287,981;3,941;379,969;387,132;7,351
    55 - 64;541,808;262,653;279,155;-;219,797;321,710;301
    65 and above;781,449;218,856;557,924;4,670;142,619;629,524;9,306
Sex ;;;;;;;
    Male;1,614,146;797,163;812,272;4,711;617,750;987,495;8,901
    Female;1,688,581;874,286;807,766;6,529;634,936;1,042,960;10,686
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);378,921;201,622;175,189;2,110;154,762;222,049;2,110
    White alone, not Hispanic;2,563,559;1,281,525;1,273,192;8,843;933,399;1,618,051;12,110
    Black alone, not Hispanic;54,892;37,588;17,305;-;34,536;16,467;3,890
    Asian alone, not Hispanic;98,273;44,637;53,349;287;47,765;49,030;1,478
    Two or more races + Other races, not Hispanic;207,082;106,078;101,004;-;82,224;124,858;-
Education ;;;;;;;
    Less than high school;185,230;110,158;75,072;-;90,326;94,904;-
    High school or GED;904,960;421,722;477,422;5,816;310,327;584,927;9,706
    Some college/associate’s degree;1,167,615;623,435;542,435;1,745;428,405;733,718;5,492
    Bachelor’s degree or higher;1,044,922;516,134;525,110;3,679;423,627;616,906;4,390
Marital status ;;;;;;;
    Married;1,669,524;752,729;914,672;2,122;584,268;1,076,138;9,117
    Widowed;124,317;25,542;98,775;-;17,847;106,470;-
    Divorced/separated;568,843;322,337;246,507;-;246,717;321,826;301
    Never married;924,437;567,147;357,003;287;402,047;522,103;287
    Did not report;15,606;3,695;3,080;8,831;1,806;3,917;9,882
Presence of children under 18 years old ;;;;;;;
    Children in household;1,097,861;673,382;418,291;6,188;453,948;634,315;9,598
    No children;2,204,866;998,066;1,201,747;5,053;798,738;1,396,139;9,989
Health status ;;;;;;;
    Excellent;536,012;246,009;288,113;1,890;163,609;368,598;3,805
    Very good;1,033,566;556,574;476,992;-;453,699;579,867;-
    Good;909,049;473,445;435,604;-;333,847;575,202;-
    Fair;412,509;183,217;229,292;-;141,519;268,748;2,242
    Poor;79,559;25,628;53,931;-;24,392;54,867;301
    Did not report;332,032;186,576;136,106;9,350;135,620;183,172;13,239
Household income ;;;;;;;
    Less than $25,000;393,512;190,440;202,712;359;145,764;247,389;359
    $25,000 - $34,999;328,226;191,778;136,448;-;151,552;176,674;-
    $35,000 - $49,999;423,196;239,889;183,307;-;200,602;221,403;1,191
    $50,000 - $74,999;473,493;231,019;242,474;-;151,099;322,393;-
    $75,000 - $99,999;373,124;169,977;203,147;-;126,371;246,753;-
    $100,000 - $149,999;451,715;223,755;226,429;1,531;165,060;285,603;1,052
    $150,000 - $199,999;184,547;93,848;90,699;-;65,978;118,569;-
    $200,000 and above;163,941;48,341;115,600;-;32,508;127,987;3,446
    Did not report;510,975;282,403;219,222;9,350;213,751;283,684;13,540
