Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;;
Age ;;;;;;;
    18 - 24;603,266;371,969;231,298;-;351,743;251,524;-
    25 - 39;1,076,747;619,651;444,044;13,052;540,772;521,384;14,591
    40 - 54;1,046,232;634,235;409,580;2,417;585,432;459,646;1,153
    55 - 64;873,721;500,983;372,738;-;513,231;360,491;-
    65 and above;977,163;244,769;719,635;12,758;232,061;724,738;20,363
Sex ;;;;;;;
    Male;2,352,856;1,299,167;1,045,018;8,671;1,238,514;1,099,412;14,930
    Female;2,224,273;1,072,440;1,132,278;19,555;984,725;1,218,371;21,177
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);2,038,804;1,100,850;927,028;10,927;1,102,021;924,318;12,466
    White alone, not Hispanic;1,767,805;816,906;934,753;16,147;664,524;1,082,139;21,142
    Black alone, not Hispanic;370,125;231,156;138,970;-;243,036;125,743;1,346
    Asian alone, not Hispanic;281,686;140,191;140,343;1,153;143,622;136,911;1,153
    Two or more races + Other races, not Hispanic;118,708;82,505;36,203;-;70,036;48,672;-
Education ;;;;;;;
    Less than high school;1,215,262;531,973;672,362;10,927;646,982;557,353;10,927
    High school or GED;1,182,473;676,244;495,435;10,793;586,245;586,698;9,530
    Some college/associate’s degree;1,381,094;803,743;576,199;1,153;668,979;703,164;8,951
    Bachelor’s degree or higher;798,300;359,647;433,300;5,353;321,032;470,569;6,700
Marital status ;;;;;;;
    Married;2,368,118;1,306,903;1,057,710;3,505;1,203,261;1,153,554;11,303
    Widowed;324,358;37,503;275,929;10,927;31,482;281,950;10,927
    Divorced/separated;637,441;283,575;352,603;1,264;291,863;345,578;-
    Never married;1,216,503;729,328;487,175;-;682,335;532,821;1,346
    Did not report;30,709;14,298;3,879;12,532;14,298;3,879;12,532
Presence of children under 18 years old ;;;;;;;
    Children in household;2,323,247;1,375,017;943,089;5,141;1,297,875;1,019,955;5,417
    No children;2,253,882;996,591;1,234,206;23,085;925,363;1,297,828;30,690
Health status ;;;;;;;
    Excellent;655,652;283,637;372,014;-;210,089;445,562;-
    Very good;1,324,725;650,541;674,185;-;665,275;656,565;2,885
    Good;1,355,764;715,495;636,744;3,525;642,862;704,382;8,520
    Fair;726,859;527,077;199,783;-;527,030;199,829;-
    Poor;192,493;46,702;145,792;-;41,378;151,115;-
    Did not report;321,636;148,156;148,778;24,702;136,604;160,330;24,702
Household income ;;;;;;;
    Less than $25,000;587,713;351,938;235,774;-;334,226;253,487;-
    $25,000 - $34,999;591,831;355,851;234,716;1,264;361,509;230,322;-
    $35,000 - $49,999;826,024;367,914;458,110;-;311,785;514,239;-
    $50,000 - $74,999;605,359;358,716;246,643;-;343,099;260,720;1,539
    $75,000 - $99,999;650,621;343,956;306,664;-;395,455;248,907;6,259
    $100,000 - $149,999;551,617;266,808;284,809;-;193,409;356,862;1,346
    $150,000 - $199,999;141,428;60,672;78,494;2,261;62,999;76,168;2,261
    $200,000 and above;151,069;49,251;101,818;-;28,405;122,664;-
    Did not report;471,468;216,499;230,267;24,702;192,352;254,414;24,702
