Standard Error Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;195,733;180,331;109,150;16,554;129,905;152,165;14,598
Age ;;;;;;;
    18 - 24;74,229;67,206;26,880;-;48,396;51,498;-
    25 - 39;117,899;111,774;68,609;12,383;81,246;107,301;13,438
    40 - 54;78,874;57,280;41,290;11,931;57,840;42,409;5,029
    55 - 64;79,305;72,501;31,036;-;53,921;57,992;214
    65 and above;95,011;78,834;50,667;936;25,392;89,116;2,702
Sex ;;;;;;;
    Male;131,886;138,902;74,876;10,298;104,136;79,906;10,357
    Female;163,435;135,210;76,250;12,210;80,126;135,691;6,527
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);130,015;115,653;47,496;14,853;87,372;83,745;12,159
    White alone, not Hispanic;83,684;49,252;63,651;1,171;35,042;80,236;2,846
    Black alone, not Hispanic;63,541;60,883;15,645;2,309;60,984;16,614;2,309
    Asian alone, not Hispanic;79,672;66,987;45,473;932;57,208;55,270;932
    Two or more races + Other races, not Hispanic;108,988;108,917;23,682;-;38,447;102,262;-
Education ;;;;;;;
    Less than high school;98,407;93,706;15,840;4,391;52,732;84,325;4,391
    High school or GED;85,036;67,405;45,810;10,459;65,495;54,823;-
    Some college/associate’s degree;118,958;121,035;55,942;12,110;68,838;103,628;12,110
    Bachelor’s degree or higher;75,655;74,850;57,916;1,205;69,719;61,409;3,190
Marital status ;;;;;;;
    Married;81,911;61,455;63,291;-;58,994;65,758;2,715
    Widowed;7,294;4,463;6,231;-;3,647;6,498;-
    Divorced/separated;91,871;84,297;27,424;10,459;35,067;90,584;186
    Never married;150,969;135,526;77,727;-;101,848;112,081;1,048
    Did not report;13,477;376;2,540;13,183;376;2,540;13,183
Presence of children under 18 years old ;;;;;;;
    Children in household;103,474;91,933;41,955;10,426;81,830;51,371;920
    No children;177,602;170,298;96,514;13,195;106,926;146,301;14,580
Health status ;;;;;;;
    Excellent;64,080;47,729;44,352;-;38,996;53,849;-
    Very good;139,067;126,908;62,942;-;87,503;108,860;2,716
    Good;116,168;104,220;48,374;-;62,934;95,924;186
    Fair;42,243;41,860;14,044;-;33,521;25,391;-
    Poor;20,436;19,937;5,964;-;7,150;18,704;-
    Did not report;53,364;45,022;24,694;16,554;36,230;34,362;14,166
Household income ;;;;;;;
    Less than $25,000;85,772;83,087;19,286;-;47,104;75,530;214
    $25,000 - $34,999;26,950;24,811;9,966;-;18,435;19,249;-
    $35,000 - $49,999;34,648;29,027;19,598;-;26,188;28,694;-
    $50,000 - $74,999;48,294;27,091;39,290;-;24,951;40,751;2,417
    $75,000 - $99,999;107,747;106,173;22,953;-;40,929;99,252;-
    $100,000 - $149,999;72,367;64,367;41,532;-;42,573;60,409;953
    $150,000 - $199,999;86,932;64,123;57,697;-;62,581;58,394;-
    $200,000 and above;50,349;27,688;41,262;-;30,087;45,047;789
    Did not report;76,023;68,495;27,774;16,554;59,818;37,391;14,166
