Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;3,284,848;1,569,653;1,695,280;19,915;1,119,821;2,145,057;19,970
Age ;;;;;;;
    18 - 24;308,446;109,930;197,635;881;47,742;259,824;881
    25 - 39;1,176,876;673,457;499,648;3,771;478,614;694,491;3,771
    40 - 54;807,457;418,910;388,111;436;344,862;460,307;2,288
    55 - 64;495,533;261,065;229,955;4,513;168,097;322,922;4,513
    65 and above;496,535;106,291;379,931;10,314;80,505;407,513;8,517
Sex ;;;;;;;
    Male;1,777,449;889,888;872,849;14,713;665,103;1,095,951;16,395
    Female;1,507,399;679,765;822,432;5,202;454,718;1,049,106;3,576
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);369,894;211,180;154,564;4,150;143,530;223,474;2,891
    White alone, not Hispanic;2,109,528;926,377;1,169,146;14,004;644,835;1,451,056;13,637
    Black alone, not Hispanic;170,150;68,309;101,841;-;34,931;135,218;-
    Asian alone, not Hispanic;299,992;138,584;160,528;881;126,269;171,161;2,562
    Two or more races + Other races, not Hispanic;335,283;225,202;109,200;881;170,256;164,147;881
Education ;;;;;;;
    Less than high school;249,776;185,351;64,426;-;170,224;79,552;-
    High school or GED;789,987;409,365;371,223;9,399;289,173;491,415;9,399
    Some college/associate’s degree;984,385;541,013;439,069;4,303;362,385;618,234;3,765
    Bachelor’s degree or higher;1,260,699;433,923;820,563;6,213;298,037;955,856;6,806
Marital status ;;;;;;;
    Married;1,580,019;738,602;839,619;1,797;525,955;1,052,382;1,682
    Widowed;95,548;20,772;74,775;-;16,400;79,148;-
    Divorced/separated;415,773;192,710;223,063;-;128,383;287,391;-
    Never married;1,173,027;616,124;556,903;-;448,913;723,944;170
    Did not report;20,482;1,444;920;18,118;170;2,193;18,118
Presence of children under 18 years old ;;;;;;;
    Children in household;1,022,540;466,350;555,114;1,075;324,118;695,495;2,928
    No children;2,262,308;1,103,302;1,140,166;18,840;795,703;1,449,562;17,043
Health status ;;;;;;;
    Excellent;695,452;309,277;384,916;1,259;199,971;493,799;1,682
    Very good;1,128,654;491,741;636,913;-;331,880;796,603;170
    Good;797,393;401,031;395,481;881;270,282;526,230;881
    Fair;214,735;107,023;107,175;538;92,524;122,212;-
    Poor;180,216;146,308;33,909;-;153,994;26,222;-
    Did not report;268,397;114,273;136,887;17,238;71,169;179,990;17,238
Household income ;;;;;;;
    Less than $25,000;318,849;226,195;92,654;-;201,607;117,242;-
    $25,000 - $34,999;231,253;102,018;129,235;-;75,249;156,004;-
    $35,000 - $49,999;286,899;168,635;118,265;-;134,108;152,791;-
    $50,000 - $74,999;434,402;264,655;169,209;538;195,438;238,794;170
    $75,000 - $99,999;337,610;175,866;161,744;-;93,209;244,401;-
    $100,000 - $149,999;593,855;258,030;335,824;-;168,334;425,520;-
    $150,000 - $199,999;356,335;124,444;230,632;1,259;72,699;283,637;-
    $200,000 and above;336,358;87,883;248,475;-;68,367;266,309;1,682
    Did not report;389,285;161,926;209,241;18,118;110,808;260,359;18,118
