Standard Error Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not report
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not report;;
;;;;;;;;;
Total;355,323;132,563;204,746;91,060;101,355;37,526;61,976;317,114;69,240
Age ;;;;;;;;;
    18 - 24;188,261;69,856;98,612;22,874;-;-;360;147,794;-
    25 - 39;198,429;52,601;131,120;69,983;59,528;29,598;8,174;138,145;4,081
    40 - 54;174,523;69,554;91,191;28,231;54,168;11,544;1,783;158,239;5,425
    55 - 64;189,119;63,414;109,590;50,566;60,678;15,406;7,459;163,543;12,124
    65 and above;190,557;9,966;71,614;12,869;34,161;1,744;60,707;126,842;66,033
Sex ;;;;;;;;;
    Male;363,973;66,244;187,584;55,800;89,271;23,888;3,453;265,814;68,409
    Female;297,469;107,897;129,297;73,860;39,029;25,881;61,732;256,628;9,963
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);233,572;85,299;156,293;37,878;69,994;31,397;61,227;222,035;65,867
    White alone, not Hispanic;151,905;50,001;127,427;48,712;70,763;10,537;8,463;109,406;14,579
    Black alone, not Hispanic;118,462;60,253;32,869;19,814;5,635;-;-;89,813;2,200
    Asian alone, not Hispanic;179,489;42,860;76,614;50,530;25,764;14,422;360;165,931;4,203
    Two or more races + Other races, not Hispanic;85,923;3,336;30,645;10,903;24,697;-;-;71,207;-
Education ;;;;;;;;;
    Less than high school;230,282;15,969;110,324;12,660;62,054;12,801;60,641;242,217;68,409
    High school or GED;251,604;51,439;128,103;48,872;60,525;11,335;-;204,668;6,851
    Some college/associate’s degree;199,081;103,931;132,742;28,068;47,386;27,039;10,827;124,513;4,207
    Bachelor’s degree or higher;148,188;65,275;111,169;74,964;48,854;14,762;2,606;74,100;6,248
Marital status ;;;;;;;;;
    Married;249,582;64,779;111,405;72,953;90,228;26,801;60,758;171,842;68,409
    Widowed;113,492;15,996;13,015;7,580;1,698;-;-;112,348;-
    Divorced/separated;212,980;63,766;109,655;11,463;24,507;-;549;160,406;6,851
    Never married;339,646;89,687;172,717;68,726;32,503;24,488;10,164;258,067;2,200
    Did not report;11,111;-;1,043;-;-;-;-;7,940;6,855
Presence of children under 18 years old ;;;;;;;;;
    Children in household;277,674;74,358;133,863;74,484;75,689;26,641;60,626;221,874;2,200
    No children;334,975;112,665;194,932;57,865;71,189;24,380;11,736;256,149;69,064
Health status ;;;;;;;;;
    Excellent;205,990;44,834;147,004;59,896;30,786;4,829;6,156;88,742;11,682
    Very good;253,051;59,205;111,756;58,320;70,460;16,299;3,591;200,928;-
    Good;277,901;81,104;82,805;18,106;53,721;6,943;60,671;211,624;-
    Fair;190,017;1,921;48,767;15,376;24,234;12,801;-;163,076;-
    Poor;121,714;-;11,067;-;-;19,344;-;120,067;-
    Did not report;199,272;70,441;96,414;4,668;20,324;18,364;8,094;151,585;66,755
Household income ;;;;;;;;;
    Less than $25,000;167,556;22,401;36,220;44,858;14,383;24,396;360;151,755;-
    $25,000 - $34,999;168,606;7,443;106,186;14,870;48,639;-;61,053;129,446;11,682
    $35,000 - $49,999;159,008;46,465;89,841;45,055;40,504;-;-;111,491;-
    $50,000 - $74,999;185,236;21,866;58,622;31,528;56,877;2,339;2,831;163,670;-
    $75,000 - $99,999;115,763;65,661;64,998;25,603;32,823;7,367;-;83,658;-
    $100,000 - $149,999;145,081;37,558;101,890;15,147;35,152;3,970;1,621;111,672;-
    $150,000 - $199,999;65,801;14,558;49,136;21,635;7,579;14,458;1,653;27,419;-
    $200,000 and above;83,868;9,794;62,927;47,638;30,940;1,815;-;34,420;-
    Did not report;238,844;69,864;103,129;23,356;21,698;18,364;8,094;194,694;66,755
