Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Oregon;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not report
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not report;;
;;;;;;;;;
Total;3,302,727;276,783;1,021,096;141,207;232,875;58,572;13,212;1,550,039;8,943
Age ;;;;;;;;;
    18 - 24;181,188;1,140;65,154;-;20,156;9,230;-;85,508;-
    25 - 39;1,065,771;169,988;400,707;55,797;43,829;30,908;7,941;356,601;-
    40 - 54;762,841;53,445;319,592;54,671;58,569;9,029;2,582;261,321;3,632
    55 - 64;530,681;44,731;183,835;20,977;38,083;6,008;2,226;231,200;3,619
    65 and above;762,247;7,479;51,807;9,762;72,239;3,397;463;615,409;1,691
Sex ;;;;;;;;;
    Male;1,614,146;135,477;626,848;51,829;84,437;20,068;3,837;688,909;2,740
    Female;1,688,581;141,306;394,247;89,378;148,438;38,503;9,375;861,131;6,203
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);378,921;19,741;117,687;18,177;14,925;21,526;2,383;183,140;1,343
    White alone, not Hispanic;2,563,559;210,527;815,987;116,299;193,243;34,349;9,043;1,179,191;4,920
    Black alone, not Hispanic;51,930;2,664;12,018;868;2,072;-;1,786;29,842;2,680
    Asian alone, not Hispanic;153,354;24,364;47,681;4,704;15,404;-;-;61,202;-
    Two or more races + Other races, not Hispanic;154,963;19,488;27,723;1,160;7,232;2,696;-;96,664;-
Education ;;;;;;;;;
    Less than high school;178,090;2,677;73,917;1,545;10,959;27,906;-;61,086;-
    High school or GED;912,386;23,922;255,342;33,825;70,848;5,513;4,569;514,345;4,022
    Some college/associate’s degree;1,167,721;62,501;372,179;33,759;64,915;15,560;1,618;613,144;4,046
    Bachelor’s degree or higher;1,044,530;187,683;319,659;72,078;86,154;9,593;7,025;361,464;874
Marital status ;;;;;;;;;
    Married;1,784,606;122,317;600,786;85,333;142,420;20,847;10,978;800,696;1,228
    Widowed;104,457;1,516;24,273;1,736;1,125;1,143;-;74,664;-
    Divorced/separated;495,357;39,041;124,045;19,649;22,648;19,988;1,257;268,730;-
    Never married;900,562;113,910;270,163;33,894;62,053;16,593;188;403,761;-
    Did not report;17,744;-;1,829;595;4,630;-;788;2,188;7,714
Presence of children under 18 years old ;;;;;;;;;
    Children in household;1,161,488;104,743;445,815;48,525;76,631;19,577;8,303;455,215;2,680
    No children;2,141,239;172,040;575,281;92,682;156,244;38,994;4,910;1,094,824;6,263
Health status ;;;;;;;;;
    Excellent;521,461;36,781;216,918;22,127;31,705;8,762;3,401;201,767;-
    Very good;1,108,773;78,253;411,619;55,476;94,745;10,704;-;457,977;-
    Good;863,053;79,672;225,227;30,223;32,729;14,756;5,340;472,536;2,571
    Fair;302,904;26,679;56,382;8,835;18,941;21,710;1,962;168,395;-
    Poor;118,477;-;11,750;1,154;5,690;852;847;98,184;-
    Did not report;388,058;55,399;99,199;23,392;49,066;1,788;1,663;151,180;6,372
Household income ;;;;;;;;;
    Less than $25,000;432,920;8,485;74,147;2,720;18,805;6,334;2,194;320,234;-
    $25,000 - $34,999;386,690;22,948;93,783;6,702;28,119;7,065;2,105;225,967;-
    $35,000 - $49,999;320,247;8,725;97,796;9,633;18,856;1,433;257;183,547;-
    $50,000 - $74,999;466,389;47,298;122,427;22,886;40,038;26,849;727;206,165;-
    $75,000 - $99,999;442,707;61,895;186,734;23,542;14,871;-;1,786;153,263;614
    $100,000 - $149,999;407,003;51,694;153,695;35,001;25,218;4,217;2,844;134,336;-
    $150,000 - $199,999;202,183;9,998;58,472;9,850;12,301;1,274;1,636;108,652;-
    $200,000 and above;143,064;6,266;79,048;8,300;16,054;4,173;-;29,223;-
    Did not report;501,524;59,474;154,993;22,572;58,614;7,227;1,663;188,653;8,328
