Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not respond
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not respond;;
;;;;;;;;;
Age ;;;;;;;;;
    18 - 24;603,266;14,465;98,610;40,735;-;-;-;449,456;-
    25 - 39;1,076,747;67,710;411,968;27,477;30,985;15,516;7,003;503,036;13,052
    40 - 54;1,046,232;83,727;309,311;38,824;33,581;98,259;7,534;472,845;2,151
    55 - 64;873,721;71,981;268,469;26,296;20,840;4,207;2,165;479,764;-
    65 and above;977,163;122,344;95,691;-;17,787;4,273;-;722,159;14,909
Sex ;;;;;;;;;
    Male;2,352,856;195,763;688,238;47,023;36,495;97,076;-;1,279,590;8,671
    Female;2,224,273;164,465;495,811;86,309;66,699;25,179;16,702;1,347,669;21,441
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);2,038,804;201,112;540,709;71,602;41,075;62,891;11,330;1,099,159;10,927
    White alone, not Hispanic;1,767,805;87,121;392,292;36,909;49,059;58,181;2,165;1,124,045;18,033
    Black alone, not Hispanic;370,125;36,179;139,593;2,355;3,561;1,183;-;187,256;-
    Asian alone, not Hispanic;281,686;19,119;98,262;17,453;5,662;-;3,207;136,831;1,153
    Two or more races + Other races, not Hispanic;118,708;16,698;13,192;5,013;3,836;-;-;79,968;-
Education ;;;;;;;;;
    Less than high school;1,215,262;128,675;149,144;-;12,056;87,082;5,463;821,915;10,927
    High school or GED;1,182,473;17,404;368,006;52,724;11,052;5,455;4,327;713,976;9,530
    Some college/associate’s degree;1,381,094;106,831;392,370;39,450;43,408;22,586;4,746;768,399;3,304
    Bachelor’s degree or higher;798,300;107,318;274,529;41,158;36,678;7,132;2,165;322,969;6,352
Marital status ;;;;;;;;;
    Married;2,368,118;146,362;694,262;56,941;62,222;84,601;4,746;1,313,327;5,656
    Widowed;324,358;9,959;58,314;2,335;2,042;-;-;240,781;10,927
    Divorced/separated;637,441;159,678;160,197;21,826;19,431;15,341;5,269;254,702;999
    Never married;1,216,503;44,230;271,276;52,229;19,498;22,313;6,687;800,271;-
    Did not report;30,709;-;-;-;-;-;-;18,177;12,532
Presence of children under 18 years old ;;;;;;;;;
    Children in household;2,323,247;263,509;727,685;101,693;57,621;90,007;14,537;1,064,319;3,877
    No children;2,253,882;96,719;456,364;31,640;45,573;32,248;2,165;1,562,939;26,235
Health status ;;;;;;;;;
    Excellent;655,652;45,021;256,380;33,114;18,943;4,107;2,165;294,923;999
    Very good;1,324,725;88,764;331,241;32,964;34,603;38,511;1,539;797,103;-
    Good;1,355,764;175,896;323,802;44,562;24,515;77,753;9,790;697,183;2,261
    Fair;726,859;11,664;173,137;14,463;14,939;1,883;-;510,773;-
    Poor;192,493;2,806;16,766;4,639;-;-;3,207;165,075;-
    Did not report;321,636;36,077;82,722;3,590;10,193;-;-;162,201;26,852
Household income ;;;;;;;;;
    Less than $25,000;587,713;18,369;38,404;-;10,909;45,050;-;474,981;-
    $25,000 - $34,999;591,831;15,028;210,582;55,075;12,023;4,107;-;295,016;-
    $35,000 - $49,999;826,024;130,262;179,235;5,309;6,756;50,459;5,463;448,540;-
    $50,000 - $74,999;605,359;33,388;190,730;18,448;21,511;4,273;1,539;335,470;-
    $75,000 - $99,999;650,621;34,388;157,727;9,111;5,241;-;941;443,211;-
    $100,000 - $149,999;551,617;42,965;190,982;26,299;7,272;4,207;1,223;278,669;-
    $150,000 - $199,999;141,428;23,207;34,633;6,188;9,673;-;-;65,466;2,261
    $200,000 and above;151,069;13,771;60,670;4,119;13,636;-;3,207;55,666;-
    Did not report;471,468;48,851;121,085;8,785;16,171;14,158;4,327;230,240;27,851
