Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not report
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not report;;
;;;;;;;;;
Total;4,183,194;441,749;1,365,644;276,671;156,917;7,240;19,716;1,910,782;4,475
Age ;;;;;;;;;
    18 - 24;176,932;14,638;86,014;-;-;-;-;76,281;-
    25 - 39;1,509,496;159,841;666,019;193,136;69,290;-;589;417,434;3,187
    40 - 54;844,036;124,235;407,166;50,184;29,107;6,352;-;226,406;586
    55 - 64;743,213;90,187;166,541;23,673;34,119;888;19,127;407,977;702
    65 and above;909,517;52,847;39,905;9,679;24,401;-;-;782,684;-
Sex ;;;;;;;;;
    Male;2,117,722;225,860;880,387;138,634;91,233;3,229;19,127;756,066;3,187
    Female;2,065,472;215,889;485,257;138,037;65,684;4,012;589;1,154,716;1,288
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);856,512;35,925;366,947;30,723;6,447;-;-;416,470;-
    White alone, not Hispanic;1,704,122;176,407;562,164;96,685;80,917;7,240;589;776,348;3,773
    Black alone, not Hispanic;337,907;45,745;61,664;9,540;18,700;-;-;202,258;-
    Asian alone, not Hispanic;1,098,356;120,415;291,148;126,507;49,864;-;19,127;491,295;-
    Two or more races + Other races, not Hispanic;186,297;63,256;83,721;13,217;989;-;-;24,412;702
Education ;;;;;;;;;
    Less than high school;339,784;-;69,970;-;-;-;19,127;250,687;-
    High school or GED;967,197;38,147;248,410;-;-;-;-;680,640;-
    Some college/associate’s degree;954,093;126,376;255,193;105,029;39,456;-;-;428,039;-
    Bachelor’s degree or higher;1,922,121;277,226;792,072;171,642;117,461;7,240;589;551,416;4,475
Marital status ;;;;;;;;;
    Married;2,109,528;291,765;788,333;93,411;104,864;3,956;19,127;808,073;-
    Widowed;102,750;19,497;5,925;1,126;2,812;-;-;73,391;-
    Divorced/separated;451,540;49,286;87,955;33,706;32,792;416;-;247,384;-
    Never married;1,515,317;81,201;483,431;147,831;16,175;2,869;589;781,934;1,288
    Did not report;4,059;-;-;597;274;-;-;-;3,187
Presence of children under 18 years old ;;;;;;;;;
    Children in household;1,394,783;130,571;613,396;75,885;45,182;4,372;19,127;506,251;-
    No children;2,788,411;311,177;752,248;200,786;111,735;2,869;589;1,404,531;4,475
Health status ;;;;;;;;;
    Excellent;798,414;100,128;285,366;48,890;48,237;832;589;314,371;-
    Very good;1,520,239;211,824;585,194;64,508;79,222;5,992;19,127;554,372;-
    Good;1,072,128;53,150;308,516;147,579;25,166;-;-;537,716;-
    Fair;305,098;10,045;106,197;3,079;1,746;416;-;183,614;-
    Poor;216,217;-;-;-;-;-;-;215,514;702
    Did not report;271,099;66,601;80,372;12,614;2,545;-;-;105,195;3,773
Household income ;;;;;;;;;
    Less than $25,000;485,358;1,057;42,236;6,337;1,675;-;-;433,352;702
    $25,000 - $34,999;191,288;6,484;-;-;2,726;-;-;182,077;-
    $35,000 - $49,999;532,876;3,303;234,327;21,203;-;-;-;274,043;-
    $50,000 - $74,999;442,715;63,817;78,732;107,712;16,381;-;19,127;156,946;-
    $75,000 - $99,999;359,330;32,187;86,726;20,252;21,931;-;-;198,234;-
    $100,000 - $149,999;660,551;75,969;177,827;45,602;31,833;1,720;-;327,600;-
    $150,000 - $199,999;284,163;40,216;116,329;13,333;31,424;416;-;82,445;-
    $200,000 and above;856,931;152,115;498,441;49,617;48,402;5,104;589;102,662;-
    Did not report;369,983;66,601;131,027;12,614;2,545;-;-;153,423;3,773
