Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Total;5,502,694;320,421;823,623;1,227,288;1,413,605;425,135;921,592;371,029
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;186,829;-;84,385;-;83,919;3,738;10,977;3,809
    I did not work because I am/was sick with coronavirus symptoms;18,575;-;-;10,010;5,318;-;2,519;728
    I did not work because I am/was caring for someone with coronavirus symptoms;6,768;-;-;-;6,768;-;-;-
    I did not work because I am/was caring for children not in school or daycare;328,988;-;101,425;98,669;37,126;25,077;32,067;34,626
    I did not work because I am/was caring for an elderly person;49,668;-;24,628;5,398;1,932;3,091;13,326;1,293
    I am/was sick (not coronavirus related) or disabled;264,000;14,757;47,028;70,287;81,030;17,921;20,351;12,624
    I am retired;1,355,974;61,193;75,640;357,562;300,036;83,687;325,827;152,029
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);1,456,741;56,900;234,292;305,973;578,613;71,244;155,630;54,090
    I am/was laid off due to coronavirus pandemic;426,432;35,354;22,531;95,440;53,441;47,536;147,579;24,552
    My employment closed temporarily due to the coronavirus pandemic;728,641;72,614;92,314;125,138;143,811;108,533;136,665;49,565
    My employment went out of business due to the coronavirus pandemic;73,719;26,375;17,310;-;14,065;5,594;10,375;-
    Other reason;575,966;53,230;115,035;148,158;104,918;54,219;64,238;36,168
    Did not report reason;30,394;-;9,034;10,653;2,629;4,495;2,038;1,544
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;84,944;-;56,548;4,767;11,495;-;5,185;6,949
    Yes, I received full pay but do not have to take leave;127,360;2,046;-;11,818;18,818;11,669;22,301;60,708
    Yes, I received partial pay;370,806;51,183;91,523;126,894;37,208;16,570;32,121;15,306
    No, I received no pay;4,572,279;205,297;611,948;982,311;1,307,341;387,646;819,097;258,639
    Did not report;347,304;61,895;63,604;101,498;38,743;9,250;42,888;29,427
