Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Oregon;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;141,069;-;46,170;28,012;35,277;1,916;18,860;10,834
    I did not work because I am/was sick with coronavirus symptoms;18,234;3,395;-;13,802;641;227;104;65
    I did not work because I am/was caring for someone with coronavirus symptoms;779;-;-;674;-;-;-;105
    I did not work because I am/was caring for children not in school or daycare;36,471;-;-;3,236;14,842;506;13,189;4,698
    I did not work because I am/was caring for an elderly person;27,674;-;4,203;8,556;13,924;607;244;140
    I am/was sick (not coronavirus related) or disabled;75,437;-;3,360;20,405;32,086;16,668;2,356;562
    I am retired;567,373;1,932;28,059;133,065;162,149;66,321;93,912;81,936
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);181,024;4,523;10,794;70,060;42,446;15,079;30,606;7,517
    I am/was laid off due to coronavirus pandemic;157,907;-;6,576;45,202;59,099;11,563;20,471;14,997
    My employment closed temporarily due to the coronavirus pandemic;211,425;7,475;33,177;44,455;53,017;43,051;22,761;7,490
    My employment went out of business due to the coronavirus pandemic;16,739;-;-;927;14,710;128;973;-
    Other reason;203,507;4,246;57,547;68,878;29,472;10,345;27,287;5,733
    Did not report reason;953;-;-;872;-;-;-;82
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;2,016;-;-;1,292;488;112;96;27
    Yes, I received full pay but do not have to take leave;41,046;-;8,636;11,292;12,324;658;3,734;4,402
    Yes, I received partial pay;30,089;-;8,949;330;14,947;1,296;2,553;2,014
    No, I received no pay;1,510,270;19,639;170,555;411,224;410,158;163,467;212,070;123,156
    Did not report;55,172;1,932;1,746;14,004;19,746;876;12,309;4,557
