Standard Error Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Oregon;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Total;56,329;23,691;18,378;47,918;34,766;22,040;20,856;19,960
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;26,325;-;-;21,025;16,632;427;2,721;2,275
    I was sick with coronavirus symptoms;7,414;-;-;7,013;-;-;-;2,190
    I was caring for someone with coronavirus symptoms;797;-;-;-;-;-;-;797
    I was caring for children not in school or daycare;15,329;5,103;-;8,850;9,280;1,878;4,490;1,264
    I was caring for an elderly person;3,220;-;-;-;2,023;-;-;2,482
    I was concerned about getting or spreading the coronavirus;24,853;1,803;-;20,206;13,334;3,451;7,801;956
    I was sick (not coronavirus related) or disabled;13,375;6,859;5,782;4,852;7,410;5,393;2,326;820
    I am retired;39,825;15,213;3,565;21,968;24,917;18,304;11,656;12,845
    My employer experienced a reduction in business (including furlough) due to coronavirus pandemic;25,335;5,721;9,106;16,314;12,054;8,839;9,154;3,749
    I was laid off due to coronavirus pandemic;38,330;18,196;11,805;24,280;20,012;7,840;12,107;13,451
    My employer closed temporarily due to the coronavirus pandemic;17,712;-;4,781;8,268;6,504;9,511;9,570;7,578
    My employer went out of business due to the coronavirus pandemic;6,913;-;-;5,520;1,922;2,632;3,235;-
    Other reason;24,465;-;4,696;18,316;12,690;2,615;8,676;5,262
    Did not report reason;-;-;-;-;-;-;-;-
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;5,747;-;-;3,876;2,621;-;-;4,758
    Yes, I received full pay but do not have to take leave;10,810;-;-;6,132;7,567;3,529;773;2,278
    Yes, I received partial pay;8,919;-;-;7,265;-;3,021;3,917;2,380
    No, I received no pay;56,150;23,691;18,378;49,836;32,485;20,230;20,436;19,051
    Did not report;8,496;-;-;4,329;3,600;5,487;2,894;2,445
