Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Total;2,161,044;217,038;362,169;705,397;400,922;192,277;174,566;108,675
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;54,904;3,822;2,644;19,483;21,894;-;5,921;1,140
    I did not work because I am/was sick with coronavirus symptoms;15,500;12,036;-;1,523;741;-;1,201;-
    I did not work because I am/was caring for someone with coronavirus symptoms;357;-;-;-;357;-;-;-
    I did not work because I am/was caring for children not in school or daycare;111,942;16,279;21,285;21,709;22,407;22,466;5,473;2,323
    I did not work because I am/was caring for an elderly person;24,200;-;-;-;19,697;-;4,503;-
    I am/was sick (not coronavirus related) or disabled;123,482;10,078;43,998;26,154;25,655;6,462;7,494;3,640
    I am retired;556,498;25,420;77,289;171,116;116,069;55,851;47,111;63,642
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);349,013;36,213;33,229;131,518;67,589;47,846;28,542;4,075
    I am/was laid off due to coronavirus pandemic;218,880;3,328;51,018;70,039;35,779;15,600;31,139;11,977
    My employment closed temporarily due to the coronavirus pandemic;404,724;109,861;36,417;160,252;38,365;29,531;19,142;11,156
    My employment went out of business due to the coronavirus pandemic;46,636;-;-;38,179;6,000;1,009;1,448;-
    Other reason;237,694;-;84,379;65,425;43,774;11,333;22,061;10,722
    Did not report reason;17,216;-;11,908;-;2,596;2,180;533;-
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;60,604;18,850;-;31,650;5,441;1,245;1,654;1,763
    Yes, I received full pay but do not have to take leave;65,899;-;8,610;16,742;18,497;13,573;3,431;5,046
    Yes, I received partial pay;237,076;4,259;90,819;85,789;36,198;2,744;10,133;7,134
    No, I received no pay;1,684,339;193,928;246,092;503,159;328,020;166,762;153,990;92,387
    Did not report;113,126;-;16,648;68,056;12,766;7,953;5,358;2,345
