Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Total;1,765,850;53,253;149,263;534,996;460,845;89,979;272,154;205,362
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;59,488;-;2,537;15,758;26,101;-;7,564;7,528
    I did not work because I am/was sick with coronavirus symptoms;11,699;-;8,561;-;1,531;-;1,607;-
    I did not work because I am/was caring for someone with coronavirus symptoms;745;-;-;-;-;-;745;-
    I did not work because I am/was caring for children not in school or daycare;116,616;14,659;38,586;33,647;12,660;6,020;7,544;3,500
    I did not work because I am/was caring for an elderly person;34,838;-;-;16,697;16,293;-;131;1,718
    I am/was sick (not coronavirus related) or disabled;154,451;-;7,860;116,883;16,563;10,146;1,932;1,066
    I am retired;465,699;-;5,727;98,986;134,349;34,866;103,137;88,634
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);369,590;29,918;20,925;41,392;160,450;11,572;35,791;69,543
    I am/was laid off due to coronavirus pandemic;141,124;-;-;86,428;9,698;16,749;22,268;5,981
    My employment closed temporarily due to the coronavirus pandemic;249,138;8,675;55,668;90,115;41,059;5,145;34,068;14,408
    My employment went out of business due to the coronavirus pandemic;9,329;-;-;-;5,484;1,537;2,220;88
    Other reason;148,517;-;9,398;31,715;35,811;3,944;55,147;12,501
    Did not report reason;4,615;-;-;3,374;845;-;-;396
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;16,959;-;-;-;10,533;348;2,652;3,426
    Yes, I received full pay but do not have to take leave;76,312;-;7,860;16,506;3,695;3,500;41,623;3,128
    Yes, I received partial pay;82,325;-;2,831;28,273;5,333;8,131;21,949;15,808
    No, I received no pay;1,515,228;53,253;132,845;466,758;426,512;74,508;200,441;160,911
    Did not report;75,026;-;5,727;23,459;14,772;3,492;5,490;22,088
