Standard Error Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Total;130,282;76,175;29,237;61,283;59,171;27,341;30,758;21,564
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;19,956;9,991;-;16,024;7,259;-;3,848;2,816
    I was sick with coronavirus symptoms;3,054;-;-;-;3,054;-;-;-
    I was caring for someone with coronavirus symptoms;-;-;-;-;-;-;-;-
    I was caring for children not in school or daycare;14,581;-;-;-;13,115;3,008;9,364;3,226
    I was caring for an elderly person;5,769;-;-;3,395;1,854;1,047;2,768;4,565
    I was concerned about getting or spreading the coronavirus;12,333;-;-;6,962;5,093;5,678;7,346;870
    I was sick (not coronavirus related) or disabled;23,591;-;-;20,728;11,358;2,403;2,780;2,153
    I am retired;84,038;71,602;6,348;30,339;15,726;14,316;13,143;16,041
    My employer experienced a reduction in business (including furlough) due to coronavirus pandemic;32,743;-;7,657;20,750;15,549;6,287;9,757;4,898
    I was laid off due to coronavirus pandemic;25,197;3,777;-;8,071;22,567;3,306;6,179;2,958
    My employer closed temporarily due to the coronavirus pandemic;46,797;-;26,851;18,939;25,013;4,564;14,596;5,225
    My employer went out of business due to the coronavirus pandemic;23,592;-;-;8,467;22,075;891;1,521;-
    Other reason;43,106;24,920;6,352;9,317;13,873;21,227;19,497;5,879
    Did not report reason;1,978;-;-;1,285;-;1,182;909;-
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;11,332;-;-;5,387;4,081;4,015;7,108;2,205
    Yes, I received full pay but do not have to take leave;13,164;-;4,793;9,358;5,111;6,140;2,906;192
    Yes, I received partial pay;12,895;-;-;9,127;10,301;-;1,989;723
    No, I received no pay;121,251;76,175;28,752;52,209;56,538;23,238;28,244;21,469
    Did not report;15,889;-;-;7,341;4,381;11,166;3,482;2,520
