Standard Error Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Total;91,842;4,123;14,087;71,205;35,074;27,348;22,387;19,198
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;40,475;4,123;4,738;35,852;5,793;-;13,173;2,535
    I was sick with coronavirus symptoms;7,467;-;-;6,114;-;3,687;2,780;-
    I was caring for someone with coronavirus symptoms;-;-;-;-;-;-;-;-
    I was caring for children not in school or daycare;30,458;-;2,944;29,148;8,900;703;3,550;6,518
    I was caring for an elderly person;18,942;-;-;19,003;-;-;2,126;-
    I was concerned about getting or spreading the coronavirus;11,740;-;-;10,766;5,463;1,458;1,927;734
    I was sick (not coronavirus related) or disabled;15,347;-;3,262;7,515;12,785;2,827;819;1,385
    I am retired;40,094;-;10,552;38,808;15,236;10,677;13,979;12,256
    My employer experienced a reduction in business (including furlough) due to coronavirus pandemic;32,632;-;-;20,347;10,500;23,123;4,877;2,459
    I was laid off due to coronavirus pandemic;80,587;-;2,849;72,916;22,139;3,234;3,856;3,486
    My employer closed temporarily due to the coronavirus pandemic;22,439;-;-;13,361;9,768;8,536;5,971;9,390
    My employer went out of business due to the coronavirus pandemic;1,031;-;-;-;-;-;1,016;191
    Other reason;21,282;-;6,765;11,643;16,031;9,680;3,829;6,796
    Did not report reason;1,706;-;-;-;1,706;-;-;-
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;19,564;-;-;19,293;1,300;-;225;1,667
    Yes, I received full pay but do not have to take leave;17,941;-;5,059;17,962;2,284;3,750;8,196;1,544
    Yes, I received partial pay;13,916;-;-;6,970;9,685;6,309;2,897;246
    No, I received no pay;90,093;4,123;13,507;66,332;33,999;27,948;21,232;19,239
    Did not report;31,273;-;-;30,637;4,260;866;4,449;1,568
