Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Oregon;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;1,263,965;1,631,214;407,549;967,116;1,923,506;412,105
Age ;;;;;;
    18 - 29;189,920;271,953;128,452;162,677;299,196;128,452
    30 - 39;209,317;387,329;59,987;183,763;411,693;61,177
    40 - 49;252,095;237,829;53,243;169,943;319,981;53,243
    50 - 59;239,947;172,957;67,618;133,577;279,328;67,618
    60 - 69;236,866;288,314;68,189;196,428;325,736;71,205
    70 - 79;100,255;222,084;28,108;90,798;231,190;28,458
    80 and above;35,564;50,747;1,953;29,930;56,382;1,953
Sex ;;;;;;
    Male;510,338;864,893;238,916;362,343;1,010,206;241,597
    Female;753,627;766,321;168,633;604,773;913,300;170,508
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);122,260;232,701;23,960;108,381;246,580;23,960
    White alone, not Hispanic;1,017,234;1,241,535;304,790;748,607;1,505,606;309,347
    Black alone, not Hispanic;10,293;26,420;15,216;14,504;22,209;15,216
    Asian alone, not Hispanic;49,028;70,130;34,196;41,460;77,698;34,196
    Two or more races + Other races, not Hispanic;65,149;60,428;29,386;54,164;71,413;29,386
Education ;;;;;;
    Less than high school;88,474;78,345;11,271;38,358;128,460;11,271
    High school or GED;213,695;534,903;163,788;154,138;593,271;164,977
    Some college/associate’s degree;468,908;564,258;134,555;408,186;621,963;137,572
    Bachelor’s degree or higher;492,888;453,707;97,935;366,433;579,812;98,285
Marital status ;;;;;;
    Married;710,563;877,373;196,671;527,621;1,058,440;198,546
    Widowed;47,772;53,926;2,759;38,307;63,391;2,759
    Divorced/separated;226,368;206,605;62,384;158,926;274,047;62,384
    Never married;271,849;491,817;136,896;234,849;527,628;138,085
    Did not report;7,413;1,492;8,839;7,413;-;10,331
Presence of children under 18 years old ;;;;;;
    Children in household;409,225;590,736;161,527;306,548;693,413;161,527
    No children;854,739;1,040,478;246,022;660,568;1,230,093;250,578
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;659,777;741,884;161,076;521,086;877,861;163,790
    No;604,188;887,837;240,216;446,030;1,045,645;240,567
    Did not report;-;1,492;6,256;-;-;7,749
Respondent currently employed ;;;;;;
    Yes;728,172;777,737;237,837;498,404;1,005,980;239,361
    No;535,179;851,370;163,490;468,712;916,297;165,030
    Did not report;614;2,106;6,222;-;1,228;7,714
Household income ;;;;;;
    Less than $25,000;157,170;275,750;-;158,776;272,954;1,190
    $25,000 - $34,999;143,837;242,853;-;126,393;260,297;-
    $35,000 - $49,999;128,292;189,029;2,926;106,649;209,148;4,450
    $50,000 - $74,999;227,792;238,461;136;168,236;298,017;136
    $75,000 - $99,999;214,633;228,074;-;118,665;324,042;-
    $100,000 - $149,999;209,492;197,511;-;131,455;275,548;-
    $150,000 - $199,999;85,831;116,352;-;67,365;134,468;350
    $200,000 and above;59,605;83,459;-;54,374;88,690;-
    Did not report;37,313;59,724;404,487;35,204;60,341;405,979
