Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;
Age ;;;;;;
    18 - 29;96,674;508,918;154,736;80,715;524,876;154,736
    30 - 39;303,241;348,207;94,465;290,333;361,115;94,465
    40 - 49;234,762;261,691;104,579;246,797;250,293;103,942
    50 - 59;466,563;433,377;68,861;517,692;382,248;68,861
    60 - 69;347,963;318,070;29,929;322,347;343,686;29,929
    70 - 79;114,724;132,383;18,303;107,451;139,732;18,228
    80 and above;21,137;50,915;3,194;16,498;55,554;3,194
Sex ;;;;;;
    Male;744,202;1,103,247;279,777;761,701;1,085,824;279,702
    Female;840,861;950,314;194,289;820,133;971,680;193,651
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);568,767;1,110,874;293,458;669,079;1,010,746;293,274
    White alone, not Hispanic;771,294;507,534;78,739;639,759;639,598;78,210
    Black alone, not Hispanic;91,122;292,809;38,342;181,081;202,850;38,342
    Asian alone, not Hispanic;68,155;108,797;47,880;50,923;126,028;47,880
    Two or more races + Other races, not Hispanic;85,724;33,548;15,646;40,991;78,282;15,646
Education ;;;;;;
    Less than high school;260,656;311,732;153,709;188,306;384,081;153,709
    High school or GED;384,936;720,706;108,207;563,428;542,214;108,207
    Some college/associate’s degree;618,617;574,224;178,312;523,700;669,778;177,675
    Bachelor’s degree or higher;320,854;446,900;33,837;306,400;461,430;33,762
Marital status ;;;;;;
    Married;814,463;1,022,583;233,914;765,358;1,071,764;233,839
    Widowed;253,906;30,936;6,418;220,011;64,831;6,418
    Divorced/separated;232,723;347,213;63,291;313,818;266,119;63,291
    Never married;272,702;649,519;162,650;271,277;651,580;162,013
    Did not report;11,269;3,311;7,793;11,371;3,209;7,793
Presence of children under 18 years old ;;;;;;
    Children in household;699,782;1,016,351;288,170;811,456;905,130;287,716
    No children;885,280;1,037,211;185,897;770,378;1,152,373;185,637
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;831,624;1,355,421;299,528;934,593;1,253,089;298,890
    No;747,804;698,141;168,989;641,606;804,415;168,913
    Did not report;5,635;-;5,550;5,635;-;5,550
Respondent currently employed ;;;;;;
    Yes;843,338;939,361;238,236;755,927;1,027,226;237,783
    No;736,090;1,114,200;229,387;820,272;1,030,278;229,127
    Did not report;5,635;-;6,443;5,635;-;6,443
Household income ;;;;;;
    Less than $25,000;174,854;386,022;184;222,918;338,142;-
    $25,000 - $34,999;148,291;286,137;-;218,918;215,510;-
    $35,000 - $49,999;289,248;234,241;-;300,166;223,323;-
    $50,000 - $74,999;314,325;331,185;-;219,699;425,812;-
    $75,000 - $99,999;237,795;366,717;529;260,710;344,331;-
    $100,000 - $149,999;210,563;235,791;-;199,776;246,577;-
    $150,000 - $199,999;137,207;95,698;-;120,673;112,231;-
    $200,000 and above;47,953;58,883;-;31,947;74,889;-
    Did not report;24,828;58,887;473,353;7,026;76,689;473,353
