Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;
Age ;;;;;;
    18 - 29;312,085;288,890;99,054;173,137;427,839;99,054
    30 - 39;279,362;408,153;41,556;193,891;493,829;41,351
    40 - 49;202,217;271,542;42,731;161,556;312,202;42,731
    50 - 59;188,360;355,918;47,896;138,451;404,942;48,781
    60 - 69;219,710;266,605;47,986;222,328;265,157;46,815
    70 - 79;89,457;189,086;16,543;58,902;219,641;16,543
    80 and above;24,882;35,589;3,438;25,975;34,497;3,438
Sex ;;;;;;
    Male;648,080;977,439;153,332;448,513;1,178,380;151,957
    Female;667,993;838,345;145,871;525,727;979,726;146,756
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);175,615;294,035;86,049;149,526;320,124;86,049
    White alone, not Hispanic;718,702;771,030;80,986;495,510;993,337;81,871
    Black alone, not Hispanic;87,393;110,527;27,731;47,130;150,789;27,731
    Asian alone, not Hispanic;224,972;529,911;54,462;168,604;587,653;53,087
    Two or more races + Other races, not Hispanic;109,392;110,281;49,975;113,469;106,203;49,975
Education ;;;;;;
    Less than high school;23,043;69,793;33,292;12,593;80,243;33,292
    High school or GED;173,461;238,035;61,692;118,221;293,274;61,692
    Some college/associate’s degree;405,896;496,825;84,160;365,090;537,631;84,160
    Bachelor’s degree or higher;713,673;1,011,131;120,059;478,335;1,246,958;119,569
Marital status ;;;;;;
    Married;707,790;949,853;131,848;522,379;1,134,379;132,734
    Widowed;35,190;74,100;8,631;35,091;74,199;8,631
    Divorced/separated;115,330;154,131;30,244;104,597;166,035;29,073
    Never married;457,320;605,077;114,114;311,730;750,872;113,909
    Did not report;443;32,622;14,366;443;32,622;14,366
Presence of children under 18 years old ;;;;;;
    Children in household;498,844;547,702;105,435;372,877;673,668;105,435
    No children;817,229;1,268,081;193,768;601,363;1,484,438;193,278
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;619,761;862,856;98,185;449,900;1,032,717;98,185
    No;696,312;950,500;186,557;523,431;1,123,871;186,067
    Did not report;-;2,427;14,461;909;1,518;14,461
Respondent currently employed ;;;;;;
    Yes;803,178;1,134,917;140,980;590,845;1,346,569;141,661
    No;511,789;680,867;143,762;382,289;811,538;142,591
    Did not report;1,106;-;14,461;1,106;-;14,461
Household income ;;;;;;
    Less than $25,000;147,792;65,613;-;119,643;93,761;-
    $25,000 - $34,999;76,070;98,219;205;49,881;124,612;-
    $35,000 - $49,999;47,511;179,343;-;48,102;178,752;-
    $50,000 - $74,999;114,621;240,931;-;95,435;260,117;-
    $75,000 - $99,999;183,266;136,028;1,171;159,668;160,797;-
    $100,000 - $149,999;284,189;336,553;-;187,684;433,058;-
    $150,000 - $199,999;131,363;202,914;-;90,137;243,255;885
    $200,000 and above;303,155;487,168;-;200,655;589,668;-
    Did not report;28,106;69,015;297,828;23,035;74,086;297,828
