Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;1,309,589;1,649,629;325,630;1,012,712;1,952,269;319,867
Age ;;;;;;
    18 - 29;310,375;349,172;128,744;240,855;420,004;127,432
    30 - 39;300,943;350,916;45,171;217,397;434,462;45,171
    40 - 49;198,721;246,608;40,244;170,914;277,719;36,940
    50 - 59;217,402;354,240;58,983;175,643;395,849;59,133
    60 - 69;177,400;201,408;19,996;140,989;237,819;19,996
    70 - 79;96,030;104,444;27,134;60,566;139,908;27,134
    80 and above;8,718;42,841;5,357;6,347;46,508;4,060
Sex ;;;;;;
    Male;655,660;945,578;176,211;508,199;1,099,657;169,593
    Female;653,930;704,051;149,419;504,513;852,612;150,274
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);92,440;212,656;64,798;77,185;231,226;61,483
    White alone, not Hispanic;862,894;1,090,691;155,943;589,051;1,365,681;154,796
    Black alone, not Hispanic;73,295;59,779;37,075;87,077;45,997;37,075
    Asian alone, not Hispanic;86,438;187,522;26,032;77,686;197,576;24,730
    Two or more races + Other races, not Hispanic;194,521;98,981;41,782;181,713;111,788;41,782
Education ;;;;;;
    Less than high school;117,381;99,934;32,462;136,359;80,956;32,462
    High school or GED;183,283;466,142;140,563;154,214;498,515;137,259
    Some college/associate’s degree;487,955;417,282;79,148;377,727;531,121;75,537
    Bachelor’s degree or higher;520,971;666,271;73,458;344,413;841,676;74,609
Marital status ;;;;;;
    Married;670,607;813,745;95,666;487,131;1,000,536;92,352
    Widowed;46,831;32,426;16,290;41,494;39,060;14,993
    Divorced/separated;167,117;206,217;42,439;150,928;222,702;42,143
    Never married;424,730;595,270;153,027;331,974;688,881;152,172
    Did not report;305;1,971;18,207;1,185;1,090;18,207
Presence of children under 18 years old ;;;;;;
    Children in household;383,118;509,966;129,456;315,516;577,568;129,456
    No children;926,471;1,139,663;196,174;697,196;1,374,700;190,412
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;693,838;752,431;123,384;566,549;878,567;124,536
    No;613,955;896,318;185,008;443,486;1,073,701;178,093
    Did not report;1,797;881;17,238;2,677;-;17,238
Respondent currently employed ;;;;;;
    Yes;749,543;1,066,788;162,952;528,015;1,293,227;158,040
    No;551,584;581,274;145,440;483,816;649,892;144,590
    Did not report;8,463;1,567;17,238;881;9,149;17,238
Household income ;;;;;;
    Less than $25,000;184,781;134,068;-;171,103;147,746;-
    $25,000 - $34,999;112,066;117,890;1,297;91,224;140,030;-
    $35,000 - $49,999;99,553;187,346;-;91,412;193,485;2,003
    $50,000 - $74,999;188,062;242,741;3,600;170,473;263,929;-
    $75,000 - $99,999;158,650;178,960;-;97,896;239,714;-
    $100,000 - $149,999;211,088;379,452;3,315;152,896;440,512;446
    $150,000 - $199,999;186,777;169,558;-;125,219;231,116;-
    $200,000 and above;146,011;190,347;-;91,174;245,184;-
    Did not report;22,600;49,267;317,418;21,315;50,552;317,418
