Standard Error Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;93,473;93,413;48,973;74,825;94,117;47,669
Age ;;;;;;
    18 - 29;53,685;57,644;34,243;40,238;49,362;34,243
    30 - 39;44,138;59,059;11,310;34,859;67,116;11,196
    40 - 49;36,322;36,543;19,854;35,818;33,665;19,854
    50 - 59;38,423;39,582;6,613;33,099;42,044;6,557
    60 - 69;17,775;39,417;5,186;16,964;37,185;5,246
    70 - 79;26,514;15,995;8,169;25,141;16,939;8,169
    80 and above;2,546;31,612;6,909;2,827;31,504;6,909
Sex ;;;;;;
    Male;69,485;78,768;33,860;60,991;82,121;33,856
    Female;61,762;62,640;32,348;53,186;67,956;32,051
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);51,109;40,105;31,258;43,825;43,518;31,258
    White alone, not Hispanic;73,637;75,241;31,629;62,878;73,125;31,507
    Black alone, not Hispanic;8,823;30,280;8,175;10,848;29,113;8,175
    Asian alone, not Hispanic;41,490;39,061;10,179;18,729;45,332;10,179
    Two or more races + Other races, not Hispanic;31,040;24,926;3,747;29,205;24,321;3,791
Education ;;;;;;
    Less than high school;14,875;29,989;16,403;16,611;29,859;16,403
    High school or GED;58,115;78,201;34,246;50,860;74,123;34,246
    Some college/associate’s degree;52,478;49,039;11,331;47,640;62,335;11,423
    Bachelor’s degree or higher;47,348;57,763;14,975;35,704;44,407;14,286
Marital status ;;;;;;
    Married;59,750;76,418;23,257;54,616;74,586;22,907
    Widowed;31,474;10,032;8,508;21,928;22,833;8,508
    Divorced/separated;19,641;30,226;3,891;19,268;27,899;3,989
    Never married;59,589;73,205;35,694;46,871;74,450;35,787
    Did not report;-;5,953;1,629;5,953;-;1,629
Presence of children under 18 years old ;;;;;;
    Children in household;59,151;56,319;26,851;50,970;58,055;26,527
    No children;70,607;93,569;35,757;62,802;96,500;35,829
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;86,978;81,458;32,162;76,822;85,653;32,250
    No;53,502;75,220;26,707;37,687;83,908;26,381
    Did not report;164;5,028;1,271;164;5,028;1,271
Respondent currently employed ;;;;;;
    Yes;74,393;85,425;22,546;61,328;77,730;22,545
    No;61,116;73,837;38,301;50,495;75,735;36,696
    Did not report;-;-;1,814;-;-;1,814
Household income ;;;;;;
    Less than $25,000;17,475;36,232;-;16,562;41,118;-
    $25,000 - $34,999;22,088;75,345;-;21,937;74,913;978
    $35,000 - $49,999;42,979;33,240;-;38,577;34,973;-
    $50,000 - $74,999;43,572;40,186;634;28,144;56,055;-
    $75,000 - $99,999;42,599;48,565;2,086;31,137;55,594;-
    $100,000 - $149,999;41,345;50,788;-;37,412;53,050;-
    $150,000 - $199,999;23,042;62,419;-;11,687;65,601;-
    $200,000 and above;26,749;25,696;-;16,460;32,664;743
    Did not report;15,048;11,499;47,715;15,746;9,504;47,715
