Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;3,123,649;3,320,501;1,257,665;1,711,669;1,604,423;3,902,263;3,120,430;1,113,404;1,274,977;1,606,833
Age ;;;;;;;;;;
    18 - 29;404,669;667,324;255,235;517,276;570,544;675,676;593,266;152,101;423,461;570,544
    30 - 39;431,084;772,816;276,582;348,992;237,649;655,053;597,482;366,021;207,138;241,429
    40 - 49;556,154;645,218;172,977;245,614;152,052;625,413;615,555;149,861;229,134;152,052
    50 - 59;651,409;583,285;155,192;298,465;277,452;704,595;624,282;114,203;245,271;277,452
    60 - 69;612,281;408,650;85,462;220,121;184,409;702,407;323,599;150,761;149,746;184,409
    70 - 79;377,000;210,318;288,299;72,803;165,159;460,260;326,319;147,110;16,101;163,789
    80 and above;91,052;32,891;23,917;8,398;17,159;78,860;39,926;33,346;4,126;17,159
Sex ;;;;;;;;;;
    Male;1,823,947;1,859,837;580,482;618,914;912,657;2,296,141;1,497,573;591,190;498,057;912,876
    Female;1,299,702;1,460,664;677,182;1,092,755;691,767;1,606,122;1,622,857;522,214;776,920;693,957
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);1,289,806;1,409,208;445,085;493,210;710,269;1,464,101;1,325,174;506,446;341,588;710,269
    White alone, not Hispanic;1,032,144;1,025,001;368,415;764,801;457,693;1,419,868;795,277;357,384;618,983;456,542
    Black alone, not Hispanic;160,189;207,202;29,886;128,799;56,679;238,608;182,175;40,350;64,942;56,679
    Asian alone, not Hispanic;540,844;566,200;382,881;200,583;246,244;644,900;748,614;156,783;136,649;249,804
    Two or more races + Other races, not Hispanic;100,666;112,890;31,398;124,276;133,539;134,786;69,190;52,440;112,815;133,539
Education ;;;;;;;;;;
    Less than high school;700,047;441,214;359,200;197,902;293,710;675,456;712,020;225,839;85,048;293,710
    High school or GED;465,692;637,693;121,881;275,421;520,263;568,304;492,173;212,595;227,615;520,263
    Some college/associate’s degree;919,593;993,342;447,428;523,107;547,023;1,086,254;1,019,372;307,325;470,520;547,023
    Bachelor’s degree or higher;1,038,317;1,248,251;329,155;715,239;243,427;1,572,249;896,865;367,644;491,794;245,837
Marital status ;;;;;;;;;;
    Married;1,757,347;1,633,321;437,873;611,847;583,116;2,154,914;1,342,532;460,574;483,517;581,966
    Widowed;117,383;99,408;16,073;95,128;64,264;95,841;154,908;39,730;37,513;64,264
    Divorced/separated;400,936;463,894;159,825;162,765;234,559;485,023;391,063;162,797;148,537;234,559
    Never married;846,043;1,121,760;643,894;836,980;692,651;1,164,546;1,231,926;450,302;598,342;696,212
    Did not report;1,939;2,119;-;4,949;29,833;1,939;-;-;7,068;29,833
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;1,037,273;1,418,918;471,334;502,013;793,977;1,215,622;1,479,330;301,341;433,025;794,197
    No children;2,086,376;1,901,583;786,331;1,209,656;810,446;2,686,641;1,641,100;812,063;841,951;812,637
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;1,417,477;2,029,315;601,999;1,098,766;878,357;1,631,772;2,112,080;587,872;813,423;880,767
    No;1,706,172;1,290,512;654,460;612,903;706,649;2,270,492;1,007,676;524,326;461,554;706,649
    Did not report;-;674;1,205;-;19,417;-;674;1,205;-;19,417
Respondent currently employed ;;;;;;;;;;
    Yes;1,688,941;1,752,753;386,289;680,328;562,874;2,356,406;1,249,288;420,710;478,346;566,435
    No;1,434,708;1,567,748;871,376;1,031,341;1,020,117;1,545,858;1,871,141;692,694;796,631;1,018,967
    Did not report;-;-;-;-;21,432;-;-;-;-;21,432
Household income ;;;;;;;;;;
    Less than $25,000;446,103;339,501;147,745;310,196;-;382,397;477,748;169,862;213,539;-
    $25,000 - $34,999;250,770;443,532;161,713;145,162;-;231,339;424,241;216,306;129,291;-
    $35,000 - $49,999;230,315;420,414;135,728;151,045;-;400,627;228,314;209,328;95,672;3,561
    $50,000 - $74,999;560,818;400,817;125,265;291,698;674;627,296;399,611;85,235;266,456;674
    $75,000 - $99,999;538,161;366,765;190,650;238,277;1,370;635,047;351,413;180,974;167,570;219
    $100,000 - $149,999;265,429;489,498;186,572;267,588;3,137;464,989;445,670;164,911;133,516;3,137
    $150,000 - $199,999;262,199;253,294;64,383;75,755;-;336,055;199,541;36,515;83,521;-
    $200,000 and above;365,276;302,495;64,197;177,734;-;510,456;226,931;42,953;129,363;-
    Did not report;204,579;304,184;181,411;54,213;1,599,243;314,057;366,960;7,322;56,049;1,599,243
