Standard Error Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;213,282;274,353;145,378;182,633;204,249;272,416;244,746;131,991;125,973;203,847
Age ;;;;;;;;;;
    18 - 29;129,449;124,157;53,452;120,296;130,307;143,327;114,605;104,395;61,640;130,307
    30 - 39;97,309;99,759;61,327;56,716;51,509;109,576;106,540;54,386;51,416;51,509
    40 - 49;65,296;140,673;122,402;51,047;27,230;146,214;123,994;67,505;47,222;27,230
    50 - 59;107,651;110,961;51,901;72,722;107,974;99,152;109,285;37,547;65,829;107,782
    60 - 69;72,126;139,185;43,432;81,085;72,246;130,057;63,845;39,196;78,439;72,246
    70 - 79;103,260;51,201;20,691;31,949;18,646;59,289;92,428;13,282;34,260;18,725
    80 and above;13,034;9,255;-;1,329;50,120;12,785;9,570;-;1,329;50,120
Sex ;;;;;;;;;;
    Male;206,420;214,254;98,429;76,095;175,101;242,944;164,198;78,728;68,782;175,059
    Female;166,061;172,409;129,772;179,430;98,492;158,245;209,239;115,822;111,537;98,891
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);146,400;189,316;121,472;153,240;164,382;189,376;165,686;120,119;106,088;164,382
    White alone, not Hispanic;103,499;107,322;59,347;80,856;69,880;106,292;99,745;54,651;63,185;69,672
    Black alone, not Hispanic;40,249;124,511;16,783;38,318;13,000;115,348;40,697;11,413;37,863;13,000
    Asian alone, not Hispanic;103,464;98,494;42,807;56,933;22,793;107,689;146,696;44,582;53,428;22,824
    Two or more races + Other races, not Hispanic;38,105;26,149;34,462;33,483;71,746;26,143;39,110;29,194;33,296;71,746
Education ;;;;;;;;;;
    Less than high school;110,144;158,842;109,366;86,490;99,081;198,562;124,955;43,338;84,521;99,081
    High school or GED;146,783;124,331;41,876;135,862;122,348;127,187;157,578;104,191;54,357;122,348
    Some college/associate’s degree;79,714;134,524;83,452;87,313;79,754;82,569;113,716;68,258;82,481;79,758
    Bachelor’s degree or higher;87,497;109,108;69,696;62,357;46,925;101,095;98,608;53,829;53,810;47,321
Marital status ;;;;;;;;;;
    Married;147,658;141,155;125,220;88,715;99,179;124,755;196,878;64,539;80,872;99,385
    Widowed;16,928;103,431;18,807;27,655;7,481;105,522;14,103;14,778;27,308;7,481
    Divorced/separated;117,893;150,682;44,662;66,851;26,076;160,484;89,345;48,648;65,639;25,989
    Never married;161,533;150,346;82,467;138,665;196,953;177,016;138,948;114,997;88,279;196,953
    Did not report;3,562;6,950;-;-;7,414;7,808;1,043;-;-;7,414
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;138,545;171,975;126,909;86,317;122,635;203,224;185,983;65,211;79,840;122,635
    No children;199,502;208,145;98,973;155,620;153,481;195,990;180,899;118,419;111,190;153,492
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;150,814;239,769;123,429;125,750;147,908;241,459;201,555;76,187;121,941;147,908
    No;173,842;108,941;73,053;121,251;143,368;165,852;125,842;111,849;49,529;142,491
    Did not report;-;2,261;5,828;10,408;14,495;5,828;10,545;-;-;14,495
Respondent currently employed ;;;;;;;;;;
    Yes;178,807;181,255;92,604;109,168;114,504;175,470;150,686;68,270;94,758;114,532
    No;145,504;219,248;116,765;145,414;154,855;218,371;213,657;122,273;106,799;154,614
    Did not report;-;-;-;-;69,240;-;-;-;-;69,240
Household income ;;;;;;;;;;
    Less than $25,000;83,632;48,744;105,352;123,537;8,332;73,322;99,664;109,688;75,962;8,332
    $25,000 - $34,999;121,521;118,734;35,016;77,851;11,682;156,640;78,845;14,821;76,628;11,682
    $35,000 - $49,999;44,426;117,518;64,283;61,055;-;92,091;102,347;41,797;60,463;-
    $50,000 - $74,999;62,467;145,670;34,360;39,085;-;138,612;78,560;49,586;24,782;2,461
    $75,000 - $99,999;79,045;66,400;63,820;40,248;-;85,589;83,931;43,511;42,576;-
    $100,000 - $149,999;97,907;92,773;42,249;50,467;-;59,664;120,952;22,126;53,969;-
    $150,000 - $199,999;49,199;32,181;15,391;27,463;-;47,586;30,266;17,384;24,348;-
    $200,000 and above;43,090;61,152;26,922;28,475;-;55,461;52,366;29,340;15,408;-
    Did not report;94,956;32,185;6,048;25,109;200,735;101,657;34,984;15,141;31,723;200,482
