Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Oregon;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;975,813;950,973;443,965;596,689;335,288;1,221,095;936,778;379,016;429,963;335,874
Age ;;;;;;;;;;
    18 - 29;153,700;110,375;101,170;132,493;125,554;191,900;106,998;99,258;95,767;129,370
    30 - 39;110,247;193,971;90,582;156,558;30,368;141,667;212,005;104,860;92,826;30,368
    40 - 49;93,098;208,503;92,717;113,791;20,248;152,200;199,671;68,366;91,887;16,232
    50 - 59;139,609;166,131;68,132;69,148;67,044;200,423;142,212;51,777;47,821;67,831
    60 - 69;227,063;169,372;40,060;73,623;59,945;260,429;165,357;23,708;60,623;59,945
    70 - 79;226,372;91,668;22,710;49,976;29,544;243,582;87,952;18,154;41,038;29,544
    80 and above;25,725;10,952;28,593;1,100;2,584;30,894;22,584;12,893;-;2,584
Sex ;;;;;;;;;;
    Male;556,237;425,020;211,675;238,743;182,470;685,358;419,595;183,273;143,449;182,470
    Female;419,576;525,952;232,290;357,946;152,817;535,737;517,183;195,743;286,514;153,404
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);170,517;101,951;30,585;51,928;23,941;164,051;116,127;40,021;33,654;25,068
    White alone, not Hispanic;731,698;760,533;339,857;483,342;248,130;958,964;724,849;302,543;329,613;247,590
    Black alone, not Hispanic;11,717;7,150;11,656;13,177;11,192;18,288;9,954;2,084;13,374;11,192
    Asian alone, not Hispanic;25,813;22,630;32,609;8,597;8,624;30,207;22,041;21,656;15,744;8,624
    Two or more races + Other races, not Hispanic;36,069;58,710;29,258;39,645;43,400;49,585;63,806;12,712;37,578;43,400
Education ;;;;;;;;;;
    Less than high school;82,647;24,253;42,931;8,867;26,532;96,745;21,342;35,509;5,102;26,532
    High school or GED;299,225;242,006;88,984;169,109;105,635;324,222;273,122;67,893;130,270;109,451
    Some college/associate’s degree;321,357;342,751;158,000;230,210;115,297;389,705;342,189;156,888;164,076;114,757
    Bachelor’s degree or higher;272,585;341,962;154,049;188,503;87,823;410,423;300,124;118,726;130,515;85,134
Marital status ;;;;;;;;;;
    Married;585,746;564,252;188,053;233,121;98,352;723,029;523,655;144,631;183,088;95,122
    Widowed;58,046;33,140;19,286;8,508;5,336;60,361;45,719;1,210;11,691;5,336
    Divorced/separated;169,208;123,844;73,963;153,789;48,039;183,508;170,474;77,847;88,975;48,039
    Never married;162,320;228,171;162,662;198,907;172,377;252,140;196,930;154,437;144,737;176,194
    Did not report;493;1,564;-;2,365;11,183;2,057;-;892;1,473;11,183
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;329,746;281,708;130,003;169,623;186,781;378,215;309,630;116,217;104,529;189,270
    No children;646,067;669,265;313,961;427,066;148,507;842,880;627,148;262,800;325,434;146,604
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;333,300;497,808;249,741;402,107;188,492;441,560;529,394;209,767;304,924;185,803
    No;640,982;453,164;194,223;194,582;137,086;778,004;407,384;169,249;125,039;140,362
    Did not report;1,531;-;-;-;9,709;1,531;-;-;-;9,709
Respondent currently employed ;;;;;;;;;;
    Yes;492,045;533,883;242,527;311,242;161,050;606,220;565,665;206,086;204,957;157,820
    No;483,768;417,089;200,247;284,451;164,529;614,876;371,113;172,930;222,821;168,345
    Did not report;-;-;1,191;995;9,709;-;-;-;2,186;9,709
Household income ;;;;;;;;;;
    Less than $25,000;115,860;66,448;110,305;100,540;359;129,463;110,405;88,142;65,143;359
    $25,000 - $34,999;88,193;85,460;65,896;88,677;-;90,651;95,030;79,209;63,336;-
    $35,000 - $49,999;144,543;101,688;66,647;110,319;-;179,423;99,993;50,795;92,986;-
    $50,000 - $74,999;145,123;175,366;55,927;94,387;2,689;201,994;150,833;53,206;66,672;787
    $75,000 - $99,999;98,443;172,506;29,962;72,212;-;147,483;136,513;26,268;62,860;-
    $100,000 - $149,999;151,342;186,990;43,663;68,393;1,327;196,131;177,400;47,118;31,065;-
    $150,000 - $199,999;83,245;63,705;29,936;7,661;-;100,792;66,737;9,540;7,477;-
    $200,000 and above;62,015;55,165;29,954;16,807;-;91,708;47,652;16,113;8,467;-
    Did not report;87,049;43,646;11,674;37,694;330,912;83,450;52,214;8,625;31,958;334,728
