Standard Error Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Oregon;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;57,979;57,339;45,204;43,761;34,329;62,375;60,293;36,085;35,503;39,083
Age ;;;;;;;;;;
    18 - 29;29,921;39,131;21,976;26,386;19,933;35,959;33,463;23,877;15,282;19,933
    30 - 39;17,760;25,307;16,222;24,427;17,847;18,739;22,666;18,332;20,066;17,847
    40 - 49;25,025;21,608;21,916;19,790;7,258;26,809;31,145;17,431;20,465;7,337
    50 - 59;22,995;21,812;10,589;15,452;11,592;24,872;18,563;12,040;17,184;10,951
    60 - 69;37,986;31,718;16,705;13,831;6,430;38,248;27,626;15,012;11,772;15,977
    70 - 79;27,529;22,070;12,075;7,675;11,680;32,326;26,293;4,092;7,474;11,677
    80 and above;43,270;13,711;-;2,583;1,441;44,251;13,784;-;1,200;946
Sex ;;;;;;;;;;
    Male;46,992;46,873;32,697;38,539;25,813;52,750;46,221;28,008;28,034;25,576
    Female;45,521;36,590;26,772;28,268;18,996;45,691;44,500;26,423;23,498;26,535
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);21,056;25,329;12,888;24,487;15,075;21,930;23,113;20,454;12,273;14,821
    White alone, not Hispanic;49,464;48,702;42,039;39,622;28,184;54,494;44,401;27,654;37,030;33,581
    Black alone, not Hispanic;14,371;5,534;20,014;4,706;-;14,398;20,067;3,632;4,791;1,351
    Asian alone, not Hispanic;9,103;10,214;6,347;12,697;3,551;7,060;11,321;7,351;12,290;3,551
    Two or more races + Other races, not Hispanic;15,393;23,782;9,491;8,872;10,383;22,792;19,145;8,760;7,345;10,384
Education ;;;;;;;;;;
    Less than high school;33,886;25,069;12,900;12,914;11,383;39,090;20,576;10,811;14,761;10,999
    High school or GED;49,693;39,009;22,284;29,235;21,721;48,704;34,573;20,266;25,628;21,721
    Some college/associate’s degree;24,756;33,961;22,460;30,640;21,616;38,663;32,567;16,637;25,505;27,079
    Bachelor’s degree or higher;22,507;26,995;20,629;22,868;11,716;23,262;23,492;19,218;18,610;11,690
Marital status ;;;;;;;;;;
    Married;47,635;54,707;22,137;25,477;19,412;51,075;41,852;20,816;24,557;24,887
    Widowed;36,807;7,252;3,823;6,098;4,907;33,679;14,049;5,735;3,970;4,907
    Divorced/separated;27,481;14,203;19,383;20,992;11,524;26,567;18,886;14,313;18,950;11,524
    Never married;32,410;38,362;32,019;33,645;23,934;39,636;40,232;22,921;24,732;23,934
    Did not report;9,053;-;-;442;4,140;-;364;442;9,053;4,147
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;47,870;40,564;24,952;29,093;27,577;45,321;41,863;28,237;19,983;27,276
    No children;46,271;48,385;37,956;40,866;22,909;52,362;52,323;25,175;37,588;30,108
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;45,285;47,537;37,405;31,726;25,781;51,997;52,204;28,559;28,266;31,439
    No;45,944;46,455;27,241;31,784;21,456;51,483;45,410;24,131;24,299;21,439
    Did not report;-;-;-;528;3,776;-;-;528;-;3,776
Respondent currently employed ;;;;;;;;;;
    Yes;45,215;51,755;36,686;34,275;21,906;60,311;48,421;24,665;29,395;21,918
    No;46,327;43,973;30,771;37,802;25,604;53,679;44,949;28,946;31,444;29,471
    Did not report;6,536;704;-;-;4,705;6,566;2,664;-;-;3,783
Household income ;;;;;;;;;;
    Less than $25,000;55,070;31,560;13,210;28,171;1,318;62,961;25,422;21,316;23,737;1,629
    $25,000 - $34,999;21,114;28,916;19,412;11,092;2,664;25,650;32,281;16,692;5,750;-
    $35,000 - $49,999;27,504;32,577;15,886;19,190;-;38,399;23,140;10,487;16,947;-
    $50,000 - $74,999;23,879;24,124;19,425;17,581;-;21,392;30,756;12,678;16,053;374
    $75,000 - $99,999;24,056;25,879;31,033;17,941;-;31,018;31,054;10,584;16,999;-
    $100,000 - $149,999;23,333;28,318;10,012;10,654;368;24,193;19,685;11,037;10,884;15,521
    $150,000 - $199,999;14,494;27,417;12,686;9,207;-;17,601;19,934;5,714;9,431;-
    $200,000 and above;11,907;13,240;6,488;14,143;-;20,525;8,209;14,130;2,379;-
    Did not report;31,335;5,873;4,178;5,110;33,894;31,389;6,177;4,857;2,946;33,898
