Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;88,951;305,769;195,243;33,419;136,945;115,024;310,226;157,872;40,261;136,945
    30 - 39;124,017;209,178;160,551;160,946;91,221;154,928;220,388;184,632;94,744;91,221
    40 - 49;138,665;198,853;69,545;115,185;78,783;154,021;188,442;101,001;78,785;78,783
    50 - 59;322,720;248,106;140,296;180,419;77,260;327,856;245,791;155,179;176,246;63,730
    60 - 69;166,881;310,683;142,905;45,826;29,666;209,804;293,505;118,599;44,387;29,666
    70 - 79;128,216;91,022;26,189;4,187;15,797;140,753;79,243;25,751;3,866;15,797
    80 and above;17,098;54,819;135;269;2,924;19,212;48,238;3,989;883;2,924
Sex ;;;;;;;;;;
    Male;674,779;553,443;384,522;275,289;239,193;722,108;558,754;351,221;255,951;239,193
    Female;311,770;864,986;350,342;264,962;193,404;399,489;827,077;395,802;183,222;179,874
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);318,357;634,797;531,214;219,111;269,620;359,461;666,486;548,419;129,113;269,620
    White alone, not Hispanic;436,228;548,745;120,570;175,590;76,435;551,719;482,447;101,507;145,460;76,435
    Black alone, not Hispanic;121,224;131,892;47,270;98,596;23,292;109,619;140,427;53,017;95,918;23,292
    Asian alone, not Hispanic;80,132;84,940;20,543;5,143;34,073;68,985;77,694;13,782;30,298;34,073
    Two or more races + Other races, not Hispanic;30,608;18,056;15,266;41,812;29,177;31,814;18,778;30,298;38,383;15,646
Education ;;;;;;;;;;
    Less than high school;200,333;128,991;199,110;59,004;138,659;186,645;128,061;192,095;80,637;138,659
    High school or GED;132,045;496,643;283,211;211,806;90,144;157,173;509,786;308,026;148,720;90,144
    Some college/associate’s degree;413,437;452,064;151,327;196,695;157,630;456,782;469,104;138,487;149,150;157,630
    Bachelor’s degree or higher;240,733;340,731;101,216;72,747;46,164;320,998;278,880;108,415;60,665;32,634
Marital status ;;;;;;;;;;
    Married;610,571;820,620;219,577;207,223;212,970;666,765;796,934;217,522;190,299;199,440
    Widowed;47,419;128,087;84,224;25,246;6,284;53,365;114,281;92,280;25,051;6,284
    Divorced/separated;168,910;122,776;127,681;160,891;62,969;204,242;126,767;114,753;134,495;62,969
    Never married;159,649;332,366;303,382;146,076;143,397;196,593;333,901;322,468;88,512;143,397
    Did not report;-;14,580;-;815;6,978;632;13,948;-;815;6,978
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;459,624;555,900;378,472;359,820;250,486;490,802;582,385;387,395;293,234;250,486
    No children;526,925;862,529;356,392;180,431;182,110;630,795;803,446;359,628;145,938;168,580
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;390,340;942,443;504,041;381,278;268,471;445,882;959,632;537,013;289,105;254,941
    No;596,209;470,352;230,822;158,974;158,576;675,716;420,564;210,011;150,067;158,576
    Did not report;-;5,635;-;-;5,550;-;5,635;-;-;5,550
Respondent currently employed ;;;;;;;;;;
    Yes;620,334;707,727;225,679;232,553;234,643;678,523;713,219;223,223;184,858;221,113
    No;366,214;705,068;509,185;307,699;191,510;443,074;666,978;523,800;254,315;191,510
    Did not report;-;5,635;-;-;6,443;-;5,635;-;-;6,443
Household income ;;;;;;;;;;
    Less than $25,000;54,643;295,715;58,595;152,107;-;78,201;284,853;60,585;137,421;-
    $25,000 - $34,999;67,906;181,326;89,943;95,253;-;79,678;172,201;132,017;50,533;-
    $35,000 - $49,999;166,362;184,460;120,113;52,554;-;173,016;216,570;95,825;38,078;-
    $50,000 - $74,999;205,481;235,837;126,559;64,103;13,530;221,096;242,820;122,045;59,548;-
    $75,000 - $99,999;139,047;204,901;173,301;87,792;-;168,074;197,111;159,533;80,323;-
    $100,000 - $149,999;154,593;170,905;73,494;47,360;-;198,576;147,858;78,867;21,053;-
    $150,000 - $199,999;94,013;56,253;69,546;13,091;-;98,615;53,077;71,477;9,735;-
    $200,000 and above;38,534;37,152;8,343;22,808;-;51,599;26,411;10,904;17,922;-
    Did not report;65,968;51,881;14,969;5,184;419,067;52,742;44,929;15,770;24,560;419,067
