Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,469,895;1,580,625;441,806;416,572;274,296;1,822,329;1,408,464;329,314;347,284;275,803
Age ;;;;;;;;;;
    18 - 29;268,575;352,262;46,702;85,336;64,725;314,564;298,396;59,602;80,312;64,725
    30 - 39;236,870;345,638;81,414;151,609;53,298;417,343;214,225;102,914;77,584;56,763
    40 - 49;151,771;216,145;68,912;55,119;66,864;168,534;225,435;34,583;63,394;66,864
    50 - 59;200,108;345,617;179,173;81,981;15,766;269,914;375,044;61,754;100,167;15,766
    60 - 69;327,456;132,240;51,159;21,249;13,555;348,214;110,135;55,519;20,193;11,598
    70 - 79;239,310;163,088;11,475;20,776;56,700;270,190;147,104;11,970;5,385;56,700
    80 and above;45,805;25,637;2,971;502;3,388;33,570;38,125;2,971;249;3,388
Sex ;;;;;;;;;;
    Male;905,348;605,598;277,795;180,576;148,406;1,061,539;558,177;173,206;174,648;150,152
    Female;564,547;975,027;164,012;235,997;125,890;760,790;850,287;156,108;172,636;125,651
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);223,509;308,982;206,684;58,815;58,522;254,507;307,770;82,988;152,724;58,522
    White alone, not Hispanic;619,677;586,804;120,122;253,321;124,199;843,201;469,377;166,739;102,563;122,242
    Black alone, not Hispanic;48,278;250,596;5,960;12,798;20,275;107,359;192,558;7,133;10,582;20,275
    Asian alone, not Hispanic;541,545;388,464;62,736;68,275;37,337;574,603;355,305;56,562;71,086;40,802
    Two or more races + Other races, not Hispanic;36,886;45,780;46,304;23,364;33,963;42,659;83,454;15,893;10,328;33,963
Education ;;;;;;;;;;
    Less than high school;4,332;246,878;-;58,060;30,513;64,451;167,633;58,761;18,426;30,513
    High school or GED;401,981;329,656;146,688;19,330;69,542;352,921;404,558;39,081;101,094;69,542
    Some college/associate’s degree;365,567;312,993;98,156;126,884;50,492;428,173;311,797;43,812;123,522;46,789
    Bachelor’s degree or higher;698,014;691,097;196,962;212,298;123,749;976,785;524,476;187,660;104,241;128,959
Marital status ;;;;;;;;;;
    Married;731,938;812,650;278,114;193,319;93,507;990,847;638,732;177,516;207,418;95,014
    Widowed;51,554;31,578;13,035;3,196;3,388;56,747;27,467;13,902;1,246;3,388
    Divorced/separated;216,504;88,168;25,608;51,559;69,700;228,155;105,921;19,626;28,138;69,700
    Never married;469,301;647,955;125,049;168,498;104,514;545,708;636,344;118,270;110,482;104,514
    Did not report;597;274;-;-;3,187;872;-;-;-;3,187
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;422,769;643,950;103,026;95,343;129,694;540,521;565,181;80,595;78,792;129,694
    No children;1,047,125;936,675;338,780;321,229;144,602;1,281,808;843,284;248,719;268,492;146,109
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;654,531;730,307;227,538;295,158;117,789;797,697;599,331;237,246;275,219;115,831
    No;815,364;849,615;214,268;121,414;152,735;1,024,633;808,431;92,068;72,065;156,199
    Did not report;-;702;-;-;3,773;-;702;-;-;3,773
Respondent currently employed ;;;;;;;;;;
    Yes;815,699;776,021;295,624;218,461;162,132;1,139,562;615,578;220,782;124,673;167,342
    No;654,196;803,901;146,182;198,111;108,392;682,768;792,183;108,532;222,611;104,688
    Did not report;-;702;-;-;3,773;-;702;-;-;3,773
Household income ;;;;;;;;;;
    Less than $25,000;70,290;327,696;35,701;51,672;-;51,573;326,112;12,019;95,655;-
    $25,000 - $34,999;18,875;124,446;22,370;25,596;-;42,096;105,477;25,288;18,426;-
    $35,000 - $49,999;252,777;164,854;90,988;24,257;-;315,449;167,459;43,673;6,295;-
    $50,000 - $74,999;264,269;105,037;36,198;33,507;3,704;279,844;90,077;48,970;23,824;-
    $75,000 - $99,999;127,183;149,998;12,013;70,137;-;140,552;143,273;45,256;30,250;-
    $100,000 - $149,999;204,812;252,850;110,380;92,508;-;295,035;200,308;47,348;116,115;1,746
    $150,000 - $199,999;53,815;127,090;35,368;67,890;-;107,354;112,699;43,692;20,419;-
    $200,000 and above;423,315;295,294;93,002;45,319;-;532,005;245,370;45,878;30,213;3,465
    Did not report;54,559;33,361;5,786;5,685;270,593;58,422;17,689;17,191;6,088;270,593
