Standard Error Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;84,104;87,185;86,842;121,264;54,220;84,725;119,463;46,684;114,783;53,536
Age ;;;;;;;;;;
    18 - 29;34,622;59,494;34,994;108,506;44,048;41,828;67,729;20,422;107,074;43,862
    30 - 39;26,192;33,110;22,725;35,885;8,959;31,302;30,816;19,884;30,467;8,959
    40 - 49;19,320;39,762;18,332;23,578;15,843;21,315;42,071;10,407;22,694;15,536
    50 - 59;42,079;27,318;11,754;37,014;8,659;45,942;27,259;34,088;10,532;8,592
    60 - 69;41,243;28,661;72,648;17,589;11,605;40,347;82,009;13,140;17,314;11,605
    70 - 79;27,794;12,233;5,167;4,610;6,021;24,916;15,388;4,479;2,670;6,021
    80 and above;13,418;22,205;162;1,521;2,827;14,920;21,435;162;1,521;2,827
Sex ;;;;;;;;;;
    Male;61,068;72,099;34,327;81,396;32,460;71,053;76,520;37,351;76,630;32,817
    Female;48,571;58,325;78,473;102,233;48,144;47,818;95,664;28,792;97,788;48,302
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);43,659;50,892;70,655;76,106;39,846;33,147;91,462;16,145;73,849;39,846
    White alone, not Hispanic;47,887;44,666;26,618;27,570;19,417;55,177;46,932;14,691;20,268;18,085
    Black alone, not Hispanic;35,858;47,785;4,075;11,341;7,553;37,072;45,970;5,361;9,080;7,553
    Asian alone, not Hispanic;40,907;45,494;33,445;17,202;31,589;43,819;45,281;27,050;16,329;31,589
    Two or more races + Other races, not Hispanic;11,501;32,672;7,870;102,821;12,229;32,657;12,035;36,266;97,486;11,206
Education ;;;;;;;;;;
    Less than high school;45,693;33,670;71,430;37,273;27,265;50,785;74,428;34,927;-;27,265
    High school or GED;41,991;51,651;16,230;20,347;38,045;41,477;52,807;14,195;21,607;37,852
    Some college/associate’s degree;41,136;51,241;38,706;101,384;19,362;31,916;64,407;17,819;98,384;19,362
    Bachelor’s degree or higher;41,459;40,238;28,790;70,649;20,309;47,374;35,533;26,494;68,914;19,326
Marital status ;;;;;;;;;;
    Married;47,804;51,973;23,856;32,508;16,400;52,903;55,318;19,984;30,559;16,400
    Widowed;4,563;4,805;-;2,033;4,119;4,509;4,931;1,437;1,380;4,119
    Divorced/separated;38,511;31,542;70,769;36,649;13,217;39,510;77,474;35,523;9,162;12,682
    Never married;37,479;75,604;39,155;115,714;43,959;49,546;80,066;24,039;111,137;43,967
    Did not report;-;2,431;-;376;13,236;-;980;-;2,268;13,236
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;46,949;56,571;17,892;29,201;43,231;40,266;65,764;12,072;25,376;43,231
    No children;66,070;76,589;86,807;117,691;32,564;66,735;101,501;45,771;111,728;30,336
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;63,940;88,513;72,705;112,791;45,256;70,614;113,646;41,230;110,188;45,022
    No;56,039;49,051;35,327;39,099;26,249;58,117;50,294;28,807;36,351;25,476
    Did not report;-;-;-;-;16,554;-;-;-;-;16,554
Respondent currently employed ;;;;;;;;;;
    Yes;49,452;71,099;35,343;122,412;39,331;66,370;60,819;43,512;114,442;39,329
    No;66,994;52,347;72,394;28,369;35,249;56,253;97,032;14,336;20,220;35,378
    Did not report;2,487;2,411;-;-;13,378;-;2,411;-;2,487;13,378
Household income ;;;;;;;;;;
    Less than $25,000;35,100;31,580;73,181;7,688;3,395;28,273;83,064;12,370;8,062;-
    $25,000 - $34,999;12,711;10,665;5,805;18,112;909;12,817;21,334;3,839;8,534;909
    $35,000 - $49,999;24,904;11,148;3,478;25,885;-;20,330;25,302;3,460;20,523;-
    $50,000 - $74,999;16,298;37,360;22,746;15,863;1,734;16,824;39,409;7,969;15,423;-
    $75,000 - $99,999;20,070;38,768;20,570;96,917;-;21,787;36,354;16,411;97,864;-
    $100,000 - $149,999;50,201;32,135;25,477;39,136;-;50,502;33,680;40,085;13,816;-
    $150,000 - $199,999;13,207;26,125;17,296;75,052;-;18,134;22,709;16,216;75,598;-
    $200,000 and above;31,386;38,595;17,104;10,119;2,458;39,595;25,481;16,456;8,127;2,436
    Did not report;16,233;46,317;8,787;3,702;53,418;37,901;41,797;5,583;3,081;53,418
