Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;106,794;125,947;87,257;144,364;102,819;170,465;109,938;59,100;124,860;102,819
    30 - 39;153,808;349,040;71,292;130,688;25,097;270,799;280,635;83,638;70,462;24,391
    40 - 49;156,731;147,335;57,680;59,649;30,118;238,932;83,122;53,508;45,834;30,118
    50 - 59;204,720;164,000;34,407;59,919;28,539;259,040;122,218;54,763;25,810;29,755
    60 - 69;193,328;178,524;70,450;25,733;17,635;250,882;143,812;32,833;40,537;17,605
    70 - 79;179,709;87,994;15,600;6,432;18,407;197,353;47,561;40,448;4,404;18,376
    80 and above;30,021;29,202;-;1,308;3,756;54,363;6,084;-;83;3,756
Sex ;;;;;;;;;;
    Male;626,474;535,552;140,371;217,249;117,395;838,677;356,838;169,475;154,305;117,746
    Female;398,637;546,490;196,316;210,843;108,976;603,157;436,532;154,815;157,684;109,074
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);101,412;97,423;43,813;59,973;41,650;129,989;68,624;73,794;29,127;42,736
    White alone, not Hispanic;672,734;661,459;231,235;271,505;135,744;993,645;458,943;192,466;192,517;135,107
    Black alone, not Hispanic;58,639;90,341;10,087;20,904;10,405;64,694;81,761;27,797;5,718;10,405
    Asian alone, not Hispanic;149,367;154,330;33,840;24,630;24,671;164,623;143,313;13,168;41,064;24,671
    Two or more races + Other races, not Hispanic;42,959;78,490;17,711;51,079;13,902;88,882;40,729;17,065;43,563;13,902
Education ;;;;;;;;;;
    Less than high school;86,280;22,213;6,419;65,127;30,407;88,448;20,977;31,397;39,217;30,407
    High school or GED;180,711;183,265;90,989;85,156;74,532;256,050;144,431;61,338;77,923;74,914
    Some college/associate’s degree;330,164;324,258;150,216;137,087;87,490;435,538;218,441;165,220;122,215;87,801
    Bachelor’s degree or higher;427,955;552,306;89,062;140,721;33,942;661,797;409,521;66,335;72,634;33,699
Marital status ;;;;;;;;;;
    Married;615,269;681,260;177,800;137,165;77,290;891,670;489,631;160,888;68,859;77,736
    Widowed;40,905;18,715;10,768;1,921;6,269;44,688;15,025;10,650;1,946;6,269
    Divorced/separated;134,986;117,986;43,349;67,436;24,302;171,337;87,294;71,487;34,720;23,219
    Never married;227,390;258,882;104,733;221,405;109,865;328,464;196,454;81,029;206,463;109,865
    Did not report;6,560;5,200;37;165;8,645;5,675;4,965;235;-;9,732
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;275,592;316,118;102,757;128,139;97,942;390,212;227,576;120,986;83,889;97,885
    No children;749,519;765,924;233,929;299,953;128,429;1,051,622;565,793;203,304;228,100;128,936
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;329,842;484,053;231,750;224,506;108,784;495,298;396,827;193,256;183,795;109,759
    No;695,187;597,990;104,740;203,586;115,426;946,454;396,491;130,890;128,194;114,900
    Did not report;81;-;195;-;2,161;81;52;143;-;2,161
Respondent currently employed ;;;;;;;;;;
    Yes;565,864;653,791;181,116;230,729;138,513;858,621;436,384;171,297;165,718;137,994
    No;458,160;428,043;155,361;197,362;85,209;583,212;356,778;152,784;146,271;85,090
    Did not report;1,087;208;209;-;2,649;-;208;209;-;3,736
Household income ;;;;;;;;;;
    Less than $25,000;66,904;35,571;18,884;51,676;-;72,717;35,925;21,479;42,914;-
    $25,000 - $34,999;20,487;83,803;42,572;65,227;-;42,061;67,213;52,733;50,082;-
    $35,000 - $49,999;27,990;92,037;64,556;34,661;377;36,011;121,438;25,330;36,841;-
    $50,000 - $74,999;230,779;205,807;19,771;50,496;76;319,711;98,700;69,723;18,719;76
    $75,000 - $99,999;147,637;111,989;27,477;96,457;706;171,081;81,781;68,087;63,236;81
    $100,000 - $149,999;198,863;242,464;99,148;33,861;205;327,594;156,779;41,640;48,322;205
    $150,000 - $199,999;87,503;120,636;13,681;17,391;2,264;160,891;51,419;12,457;14,209;2,499
    $200,000 and above;219,958;166,114;35,442;70,395;361;279,003;156,586;24,614;31,575;491
    Did not report;24,990;23,623;15,156;7,928;222,383;32,763;23,529;8,226;6,091;223,469
