Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Oregon;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,453,506;1,117,839;341,327;192,307;197,748;1,603,817;1,005,452;279,337;220,578;193,543
Age ;;;;;;;;;;
    18 - 29;84,781;118,900;120,280;44,739;79,232;155,386;101,953;67,255;47,728;75,612
    30 - 39;248,937;383,272;81,166;43,652;19,164;267,813;367,779;76,755;44,680;19,164
    40 - 49;206,584;250,846;46,369;45,337;12,276;247,553;189,310;33,919;78,938;11,692
    50 - 59;231,318;146,366;43,724;26,752;53,703;235,736;143,890;43,749;24,785;53,703
    60 - 69;258,952;148,613;34,167;13,009;25,034;277,758;112,711;46,713;17,558;25,034
    70 - 79;291,853;62,519;15,620;18,417;8,339;287,801;83,174;10,546;6,888;8,339
    80 and above;131,080;7,324;-;401;-;131,770;6,634;401;-;-
Sex ;;;;;;;;;;
    Male;715,427;560,937;155,960;91,469;90,353;806,732;484,193;112,803;120,065;90,353
    Female;738,079;556,903;185,367;100,838;107,394;797,085;521,259;166,535;100,513;103,190
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);114,403;209,481;85,984;16,429;3,866;187,440;154,262;38,072;46,523;3,866
    White alone, not Hispanic;1,252,458;769,942;237,734;151,829;151,597;1,316,410;743,992;202,432;153,332;147,393
    Black alone, not Hispanic;15,695;8,365;-;-;3,327;15,695;8,365;-;-;3,327
    Asian alone, not Hispanic;35,936;40,274;9,589;10,874;2,787;32,500;45,400;7,899;10,874;2,787
    Two or more races + Other races, not Hispanic;35,014;89,778;8,019;13,176;36,171;51,771;53,433;30,934;9,849;36,171
Education ;;;;;;;;;;
    Less than high school;29,826;39,608;-;2,326;17,074;32,368;37,066;-;2,326;17,074
    High school or GED;471,803;278,458;149,940;21,210;80,595;532,730;244,513;95,358;48,809;80,595
    Some college/associate’s degree;437,506;427,792;116,988;108,406;76,927;527,762;336,769;131,601;98,183;73,306
    Bachelor’s degree or higher;514,370;371,981;74,398;60,366;23,152;510,957;387,105;52,378;71,260;22,568
Marital status ;;;;;;;;;;
    Married;976,118;537,627;125,230;80,987;105,687;985,832;537,886;123,819;76,629;101,482
    Widowed;64,449;13,131;3,012;5,786;5,693;66,969;10,367;4,563;4,479;5,693
    Divorced/separated;255,344;161,557;32,240;39,569;26,249;294,220;126,666;33,885;33,939;26,249
    Never married;152,242;405,525;177,403;65,203;59,316;251,443;327,092;117,070;104,769;59,316
    Did not report;5,353;-;3,442;761;802;5,353;3,442;-;761;802
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;381,421;443,761;91,506;40,068;93,041;470,071;329,391;120,050;41,449;88,837
    No children;1,072,085;674,078;249,821;152,239;104,706;1,133,746;676,061;159,287;179,129;104,706
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;571,149;669,451;221,063;135,597;110,149;719,901;551,701;156,369;172,908;106,528
    No;882,357;448,389;120,264;56,710;86,797;883,916;453,751;122,968;47,669;86,214
    Did not report;-;-;-;-;802;-;-;-;-;802
Respondent currently employed ;;;;;;;;;;
    Yes;674,724;622,570;190,929;70,206;70,623;798,954;548,036;133,535;78,487;70,039
    No;778,782;495,269;150,398;122,102;126,323;804,863;457,416;145,802;142,091;122,702
    Did not report;-;-;-;-;802;-;-;-;-;802
Household income ;;;;;;;;;;
    Less than $25,000;101,275;195,929;106,340;37,077;820;154,984;170,935;73,163;41,539;820
    $25,000 - $34,999;142,193;65,608;60,124;33,631;-;156,339;56,746;54,840;33,631;-
    $35,000 - $49,999;216,490;136,384;40,074;15,105;-;250,211;112,361;31,778;13,703;-
    $50,000 - $74,999;255,220;193,399;49,695;51,762;3,621;249,402;224,063;26,112;54,119;-
    $75,000 - $99,999;306,225;184,748;38,153;17,801;-;321,349;141,879;44,043;39,656;-
    $100,000 - $149,999;232,051;176,051;23,565;26,607;584;242,248;160,788;36,736;19,086;-
    $150,000 - $199,999;91,927;63,499;8,224;7,509;-;118,098;39,902;3,141;10,018;-
    $200,000 and above;81,232;88,559;14,507;2,814;-;83,886;85,522;8,880;8,826;-
    Did not report;26,892;13,663;645;-;192,723;27,299;13,255;645;-;192,723
