Standard Error Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Oregon;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;62,518;51,471;42,342;35,804;36,400;61,641;50,134;40,729;41,700;33,904
Age ;;;;;;;;;;
    18 - 29;39,084;27,956;24,153;13,706;19,933;33,012;36,238;27,612;14,912;19,933
    30 - 39;22,275;20,584;14,788;20,619;17,847;25,490;22,435;13,431;21,570;17,847
    40 - 49;31,872;28,388;19,792;12,432;7,234;28,829;19,858;23,733;21,269;7,280
    50 - 59;27,005;21,394;9,813;15,110;11,075;26,251;19,692;11,861;14,242;10,951
    60 - 69;29,948;28,185;15,045;11,318;14,988;38,672;27,588;13,366;9,548;6,430
    70 - 79;33,400;14,907;12,806;4,091;11,680;36,737;16,081;2,635;10,019;11,680
    80 and above;44,271;13,545;1,835;1,200;946;44,547;13,311;-;1,200;946
Sex ;;;;;;;;;;
    Male;50,706;38,984;33,655;20,491;25,625;50,693;42,047;28,810;33,138;25,605
    Female;41,876;33,507;23,178;28,230;20,489;39,149;33,798;24,672;25,490;18,596
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);23,296;23,421;12,096;11,930;14,821;20,677;29,257;13,669;12,379;14,821
    White alone, not Hispanic;56,242;41,213;39,623;30,072;28,307;56,087;41,904;40,253;38,581;28,235
    Black alone, not Hispanic;14,644;20,152;3,603;3,636;-;14,362;6,096;19,894;5,255;-
    Asian alone, not Hispanic;13,555;8,624;4,392;12,293;3,551;9,065;12,119;4,879;12,338;3,551
    Two or more races + Other races, not Hispanic;23,084;17,148;6,528;6,135;17,744;18,835;23,738;5,191;6,967;10,384
Education ;;;;;;;;;;
    Less than high school;42,234;14,362;13,350;13,740;10,999;35,632;24,021;11,576;16,807;10,999
    High school or GED;42,379;32,913;25,222;10,550;25,737;49,411;37,967;23,734;21,671;21,721
    Some college/associate’s degree;31,080;31,277;24,916;25,775;21,388;31,811;35,654;24,258;26,440;21,343
    Bachelor’s degree or higher;26,418;25,738;15,564;18,567;11,697;26,961;31,005;14,089;20,277;11,732
Marital status ;;;;;;;;;;
    Married;55,937;50,231;30,441;15,241;19,406;53,723;41,046;19,919;22,986;18,963
    Widowed;36,696;10,583;3,567;3,953;14,940;39,166;9,784;6,867;3,345;4,907
    Divorced/separated;25,396;21,632;15,939;17,738;11,524;28,977;22,733;10,397;19,726;11,524
    Never married;43,338;41,205;28,933;24,341;23,934;38,700;37,333;32,456;25,915;23,936
    Did not report;9,053;442;364;-;4,147;9,053;-;442;-;4,140
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;45,831;36,205;17,963;17,442;29,541;46,977;39,803;20,134;17,713;27,396
    No children;46,848;44,098;39,345;34,251;22,775;46,893;44,717;37,522;40,879;22,775
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;56,167;44,466;32,807;33,282;27,627;52,522;39,534;32,357;28,700;25,346
    No;56,516;43,839;25,915;13,817;21,742;47,850;50,649;22,788;25,362;21,480
    Did not report;-;-;528;-;3,776;-;-;-;528;3,776
Respondent currently employed ;;;;;;;;;;
    Yes;62,613;43,982;28,950;22,606;26,714;53,370;43,100;29,004;27,799;21,964
    No;57,349;41,141;31,022;29,273;25,500;55,263;43,835;28,773;37,587;25,518
    Did not report;6,566;-;-;2,664;3,783;6,536;2,725;-;-;3,783
Household income ;;;;;;;;;;
    Less than $25,000;63,316;25,194;17,305;19,175;842;56,699;36,367;9,870;25,012;842
    $25,000 - $34,999;23,304;31,123;15,545;12,026;-;21,376;29,002;19,677;10,342;-
    $35,000 - $49,999;39,447;14,413;22,838;13,287;-;33,959;20,527;19,710;17,121;-
    $50,000 - $74,999;23,243;21,924;17,261;19,368;14,736;28,616;24,166;15,779;16,492;-
    $75,000 - $99,999;37,546;22,885;21,008;7,324;-;34,824;21,844;25,883;17,820;-
    $100,000 - $149,999;23,943;24,505;13,214;8,836;-;24,438;25,263;10,405;10,131;246
    $150,000 - $199,999;21,303;19,074;3,735;7,155;-;15,837;28,341;4,268;9,144;-
    $200,000 and above;13,353;15,087;2,639;8,381;-;17,679;15,658;2,564;3,861;-
    Did not report;31,464;4,804;3,755;1,858;34,042;31,520;4,201;4,590;2,986;33,894
