Standard Error Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;203,954;119,997;147,068;104,555;96,979;192,706;109,709;125,679;119,757;97,157
Age ;;;;;;;;;;
    18 - 29;126,069;24,784;110,638;36,243;73,215;126,394;33,041;103,907;36,045;73,215
    30 - 39;74,960;48,505;74,758;36,273;43,643;84,662;31,150;23,155;73,276;43,643
    40 - 49;89,544;58,327;31,952;27,302;21,407;99,714;49,417;41,175;27,727;21,515
    50 - 59;43,985;88,347;49,687;38,614;23,819;51,279;70,024;47,249;41,886;23,819
    60 - 69;79,518;47,714;21,614;40,244;15,888;78,102;41,967;12,547;37,840;15,866
    70 - 79;15,875;21,804;17,615;13,658;15,268;21,564;23,580;11,160;3,334;15,844
    80 and above;18,776;20,056;6,261;67,359;1,893;18,385;18,121;8,097;67,359;1,893
Sex ;;;;;;;;;;
    Male;186,014;84,816;137,574;39,453;87,760;190,880;62,633;124,905;70,288;87,779
    Female;80,053;77,696;52,459;99,693;35,905;88,838;87,371;28,699;103,348;36,041
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);181,866;109,291;66,656;63,429;84,685;174,818;101,850;70,444;64,109;84,249
    White alone, not Hispanic;94,777;47,534;109,340;71,382;40,081;92,410;53,518;111,524;72,635;40,533
    Black alone, not Hispanic;20,434;10,936;53,748;38,608;14,647;20,542;12,380;6,232;63,911;14,544
    Asian alone, not Hispanic;36,949;19,058;9,610;15,308;27,588;39,838;12,948;7,628;19,035;27,588
    Two or more races + Other races, not Hispanic;48,312;22,922;2,764;3,801;23,266;50,755;18,831;1,899;3,933;23,266
Education ;;;;;;;;;;
    Less than high school;93,384;61,282;56,600;47,904;57,000;107,124;39,028;59,333;48,351;57,000
    High school or GED;180,516;82,128;112,406;80,767;64,606;178,090;80,630;112,071;89,867;64,485
    Some college/associate’s degree;46,760;38,718;24,611;32,728;40,126;49,014;42,357;18,973;33,216;39,977
    Bachelor’s degree or higher;27,324;38,288;60,698;12,067;10,673;31,786;31,792;25,124;54,480;10,432
Marital status ;;;;;;;;;;
    Married;130,567;85,389;82,410;33,397;44,428;139,244;76,996;62,569;72,236;43,824
    Widowed;13,558;17,208;30,688;64,973;4,512;12,049;33,448;10,114;63,488;1,699
    Divorced/separated;32,489;70,559;12,171;53,234;14,547;51,648;69,395;8,569;53,348;14,106
    Never married;143,749;40,237;105,104;52,238;81,287;148,542;36,482;104,935;48,545;81,287
    Did not report;2,893;14,679;-;-;8,778;14,008;6,328;-;-;8,778
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;158,150;87,399;61,431;68,398;72,987;146,066;58,718;63,536;76,973;73,010
    No children;109,712;105,056;129,343;88,807;66,374;112,272;91,450;110,410;97,112;66,429
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;157,570;106,475;123,563;94,927;71,774;158,451;106,993;116,892;102,753;71,744
    No;128,001;62,045;71,030;57,306;55,117;133,341;36,681;53,878;73,470;54,926
    Did not report;1,611;-;-;-;7,202;1,611;-;-;-;7,202
Respondent currently employed ;;;;;;;;;;
    Yes;147,852;72,721;136,620;41,733;46,169;154,607;59,149;108,862;66,019;46,881
    No;154,924;80,379;54,815;97,255;81,810;165,175;90,111;53,520;103,955;81,311
    Did not report;1,611;-;-;-;8,122;1,611;-;-;-;8,122
Household income ;;;;;;;;;;
    Less than $25,000;44,827;47,302;37,542;36,669;-;54,462;48,615;12,848;41,387;-
    $25,000 - $34,999;119,942;41,201;48,881;23,329;-;116,056;32,521;49,335;35,978;-
    $35,000 - $49,999;26,056;33,068;104,275;36,819;-;31,200;22,826;103,455;36,565;-
    $50,000 - $74,999;91,787;79,565;23,639;44,214;2,211;93,627;76,447;35,423;36,014;-
    $75,000 - $99,999;23,032;55,482;29,562;33,537;3,519;49,850;38,356;24,125;33,245;-
    $100,000 - $149,999;29,921;17,610;18,542;21,074;4,236;28,866;22,981;12,302;23,129;-
    $150,000 - $199,999;21,207;25,561;15,499;2,429;-;16,222;27,766;15,320;-;-
    $200,000 and above;15,352;5,635;53,151;4,434;1,141;15,567;6,125;531;52,567;-
    Did not report;104,664;21,773;11,169;63,367;97,280;104,419;23,140;11,353;63,497;97,157
