Standard Error Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;139,028;132,928;94,785;32,147;53,507;143,478;152,439;44,760;42,773;53,526
Age ;;;;;;;;;;
    18 - 29;104,097;69,361;76,970;12,802;43,862;102,613;82,141;41,013;9,878;43,862
    30 - 39;28,134;31,572;34,107;9,985;8,959;32,880;31,922;18,083;33,335;8,959
    40 - 49;24,729;37,708;8,991;21,587;15,536;21,771;44,558;12,410;17,779;15,554
    50 - 59;44,906;26,056;35,413;12,037;8,592;43,422;43,786;10,617;9,552;8,592
    60 - 69;36,717;89,222;12,957;7,469;11,605;32,011;88,213;15,944;7,167;11,605
    70 - 79;17,548;24,585;3,971;1,823;6,021;17,798;23,047;3,777;2,836;6,021
    80 and above;25,047;7,554;-;3,809;1,515;25,005;7,307;-;3,809;1,515
Sex ;;;;;;;;;;
    Male;78,324;75,823;92,026;22,600;32,317;71,018;111,463;46,653;37,054;32,317
    Female;118,049;99,512;22,792;19,062;48,302;120,197;96,688;22,644;15,320;48,346
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);49,112;86,511;77,494;5,997;39,846;42,484;111,069;27,884;34,214;39,846
    White alone, not Hispanic;60,299;45,093;13,802;23,621;17,556;62,212;46,758;14,416;17,471;17,556
    Black alone, not Hispanic;37,214;45,833;8,726;5,849;7,553;37,950;46,999;6,178;7,572;7,553
    Asian alone, not Hispanic;33,277;52,988;38,054;9,566;31,589;33,544;52,478;37,160;6,986;31,638
    Two or more races + Other races, not Hispanic;103,935;20,576;37,105;15,323;11,206;104,527;35,962;9,344;18,072;11,206
Education ;;;;;;;;;;
    Less than high school;34,301;83,798;35,025;-;27,265;31,967;89,929;-;-;27,265
    High school or GED;58,515;41,281;19,099;15,552;37,852;59,329;44,557;18,075;13,831;37,852
    Some college/associate’s degree;102,061;57,954;45,240;18,918;19,362;103,669;57,656;39,709;37,390;19,362
    Bachelor’s degree or higher;45,879;45,433;64,144;15,479;19,485;56,021;75,722;17,840;16,091;19,487
Marital status ;;;;;;;;;;
    Married;60,882;54,150;17,495;20,177;16,011;60,352;56,121;19,489;19,984;16,032
    Widowed;4,721;4,903;1,136;1,366;4,119;4,093;5,273;1,056;1,380;4,119
    Divorced/separated;35,312;79,351;35,789;9,134;12,682;38,165;85,410;9,081;7,978;12,682
    Never married;107,568;87,813;88,359;18,267;43,967;107,904;99,871;43,407;37,952;43,967
    Did not report;980;-;2,268;-;13,236;2,461;-;-;-;13,236
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;63,758;57,904;20,379;17,570;43,231;63,163;67,032;15,875;16,948;43,242
    No children;127,440;110,925;94,222;23,365;30,012;126,298;130,327;46,642;39,356;30,012
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;110,596;117,586;91,645;24,172;45,022;108,745;139,942;43,859;26,435;45,064
    No;64,225;57,709;35,674;20,761;25,007;71,277;50,837;21,715;33,489;25,007
    Did not report;-;-;-;-;16,554;-;-;-;-;16,554
Respondent currently employed ;;;;;;;;;;
    Yes;123,382;78,177;91,921;28,792;39,461;119,913;112,069;38,924;40,350;39,461
    No;68,317;92,377;22,022;16,106;35,378;68,050;88,776;24,901;14,983;35,420
    Did not report;2,411;2,487;-;-;13,378;-;3,459;-;-;13,378
Household income ;;;;;;;;;;
    Less than $25,000;32,305;79,615;14,162;3,847;-;27,183;81,014;24,856;7,128;-
    $25,000 - $34,999;13,458;19,359;7,899;5,442;909;13,697;21,444;3,798;8,381;909
    $35,000 - $49,999;26,641;17,598;6,363;14,229;-;26,617;19,030;4,370;14,324;-
    $50,000 - $74,999;28,478;35,526;11,729;3,985;-;40,286;29,777;3,651;7,916;-
    $75,000 - $99,999;101,904;15,389;37,692;17,128;-;96,805;22,737;38,975;9,436;-
    $100,000 - $149,999;43,716;48,497;37,049;10,691;-;39,851;60,020;16,020;10,010;-
    $150,000 - $199,999;20,756;29,439;74,713;10,486;-;13,232;69,253;10,168;34,441;-
    $200,000 and above;43,398;28,651;7,583;9,304;-;43,812;31,734;7,521;9,955;-
    Did not report;35,871;46,111;6,858;1,635;53,418;36,079;46,796;8,521;1,377;53,436
