Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,288,389;974,431;341,911;406,504;273,613;1,363,626;884,829;283,435;478,949;274,009
Age ;;;;;;;;;;
    18 - 29;177,926;249,675;76,631;191,817;92,242;249,546;198,223;66,125;176,941;97,457
    30 - 39;215,209;253,633;89,828;97,684;40,676;189,105;246,513;107,754;112,982;40,676
    40 - 49;214,720;139,912;68,282;36,005;26,653;230,474;145,597;32,245;49,627;27,629
    50 - 59;266,802;177,416;63,164;61,325;61,919;277,874;169,165;37,742;86,683;59,161
    60 - 69;230,689;101,888;24,962;17,872;23,391;233,602;75,033;23,818;46,354;19,996
    70 - 79;135,826;44,628;18,220;1,800;27,134;135,809;42,347;15,599;6,362;27,492
    80 and above;47,217;7,279;823;-;1,597;47,217;7,949;152;-;1,597
Sex ;;;;;;;;;;
    Male;758,515;464,737;164,253;258,720;131,224;864,258;394,472;124,143;261,489;133,088
    Female;529,874;509,694;177,658;147,784;142,389;499,368;490,357;159,293;217,460;140,921
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);117,852;112,450;33,891;44,218;61,483;120,631;111,084;20,997;55,699;61,483
    White alone, not Hispanic;907,523;613,460;245,174;194,602;148,768;946,245;592,801;196,954;218,722;154,805
    Black alone, not Hispanic;73,554;58,212;6,654;20,585;11,144;74,304;41,346;19,548;23,809;11,144
    Asian alone, not Hispanic;101,176;114,944;38,370;25,266;20,237;126,138;102,190;28,934;28,135;14,595
    Two or more races + Other races, not Hispanic;88,284;75,364;17,822;121,832;31,981;96,308;37,408;17,002;152,584;31,981
Education ;;;;;;;;;;
    Less than high school;70,833;12,943;39,659;118,326;8,016;55,732;32,622;25,187;130,933;5,302
    High school or GED;309,091;223,148;53,366;81,646;122,736;313,831;156,699;59,154;132,352;127,951
    Some college/associate’s degree;355,694;297,463;127,573;126,890;76,765;411,226;285,926;78,754;130,737;77,741
    Bachelor’s degree or higher;552,771;440,878;121,313;79,642;66,095;582,836;409,581;120,341;84,927;63,014
Marital status ;;;;;;;;;;
    Married;777,333;453,787;130,299;125,334;93,266;782,151;432,352;136,962;134,300;94,253
    Widowed;58,527;9,889;3,126;9,013;14,993;54,766;9,411;7,146;9,232;14,993
    Divorced/separated;164,359;118,448;62,940;27,875;42,151;162,011;108,820;18,971;84,752;41,220
    Never married;287,525;390,507;145,546;244,282;105,166;364,224;332,446;120,356;250,665;105,336
    Did not report;644;1,800;-;-;18,037;475;1,800;-;-;18,207
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;431,617;307,224;98,454;82,661;102,583;428,315;269,131;103,696;124,205;97,192
    No children;856,772;667,207;243,457;323,843;171,030;935,310;615,698;179,740;354,744;176,816
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;510,150;442,922;179,922;319,482;117,176;535,578;422,995;131,187;360,046;119,847
    No;776,810;530,628;161,989;86,484;139,369;826,789;460,953;152,249;118,365;136,924
    Did not report;1,429;881;-;538;17,068;1,259;881;-;538;17,238
Respondent currently employed ;;;;;;;;;;
    Yes;819,030;653,898;189,278;202,662;114,415;892,090;609,216;151,280;207,873;118,823
    No;460,040;319,653;152,633;203,842;142,130;462,386;274,732;132,155;271,077;137,948
    Did not report;9,319;881;-;-;17,068;9,149;881;-;-;17,238
Household income ;;;;;;;;;;
    Less than $25,000;58,188;65,863;44,908;146,245;3,645;67,888;60,316;35,833;154,812;-
    $25,000 - $34,999;77,134;89,431;37,333;27,356;-;67,050;74,449;28,946;60,808;-
    $35,000 - $49,999;79,462;111,110;30,717;65,611;-;110,796;64,269;30,814;81,021;-
    $50,000 - $74,999;216,208;90,707;76,786;50,701;-;226,560;93,571;52,008;62,093;170
    $75,000 - $99,999;180,017;105,694;29,050;19,625;3,224;164,198;119,665;34,305;17,857;1,586
    $100,000 - $149,999;283,771;218,426;55,473;36,184;-;307,152;202,138;38,306;40,068;6,190
    $150,000 - $199,999;141,869;139,582;38,428;35,604;851;173,214;119,500;32,260;31,361;-
    $200,000 and above;182,140;111,722;27,022;15,474;-;168,445;121,295;21,495;25,123;-
    Did not report;69,600;41,897;2,193;9,703;265,892;78,323;29,625;9,469;5,807;266,062
