Standard Error Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;106,498;87,122;47,324;50,993;46,554;86,314;101,240;36,360;59,508;46,735
Age ;;;;;;;;;;
    18 - 29;71,900;29,946;44,884;22,352;34,170;39,456;65,294;29,122;31,191;34,170
    30 - 39;41,325;43,074;40,647;30,586;8,106;45,604;48,814;18,698;38,443;8,108
    40 - 49;36,465;34,468;11,396;18,051;19,627;32,326;37,102;12,979;17,593;19,663
    50 - 59;41,716;26,963;12,032;13,368;6,519;38,269;34,299;6,030;19,473;6,808
    60 - 69;28,093;31,894;6,785;7,590;4,898;28,633;30,584;8,183;5,989;5,094
    70 - 79;24,661;16,851;7,821;3,844;8,116;24,668;16,252;7,674;2,730;8,116
    80 and above;31,479;1,504;1,480;-;6,909;31,479;1,504;1,480;-;6,909
Sex ;;;;;;;;;;
    Male;82,717;63,580;39,605;41,288;32,905;85,248;69,165;31,494;51,850;32,958
    Female;53,284;58,134;22,293;25,583;31,521;41,617;60,984;21,228;25,624;31,593
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);37,760;31,685;31,196;8,221;31,258;35,204;32,305;5,520;39,692;31,258
    White alone, not Hispanic;109,532;67,951;31,483;39,868;30,727;79,787;84,383;21,448;36,659;30,784
    Black alone, not Hispanic;26,862;12,555;7,202;2,422;4,740;23,474;8,581;7,870;15,738;4,740
    Asian alone, not Hispanic;25,249;28,583;32,140;19,565;10,105;20,759;36,465;26,894;28,330;10,132
    Two or more races + Other races, not Hispanic;23,924;25,067;7,926;10,984;3,747;10,197;34,206;12,177;9,709;3,747
Education ;;;;;;;;;;
    Less than high school;28,243;12,008;4,265;14,515;16,403;28,581;16,731;4,123;9,207;16,403
    High school or GED;75,219;64,265;12,455;35,950;33,361;57,060;90,509;17,358;35,052;33,361
    Some college/associate’s degree;39,915;36,854;42,224;23,493;9,149;41,012;39,594;18,120;44,815;9,177
    Bachelor’s degree or higher;48,602;39,821;30,410;14,509;14,241;44,309;45,834;33,920;17,670;14,174
Marital status ;;;;;;;;;;
    Married;72,451;53,938;25,312;33,260;22,144;69,687;61,191;14,570;39,144;22,173
    Widowed;31,271;8,874;4,854;1,970;8,508;22,461;22,383;3,707;1,970;8,508
    Divorced/separated;29,380;15,759;7,299;16,932;3,903;26,286;19,853;5,795;11,542;3,903
    Never married;77,277;66,920;45,789;23,971;34,941;59,705;78,122;31,128;35,001;34,955
    Did not report;5,953;-;-;-;1,629;5,953;-;-;-;1,629
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;49,050;41,002;24,764;38,260;25,324;36,674;59,552;21,070;34,960;25,359
    No children;107,856;72,061;46,301;25,226;35,643;80,615;89,154;32,838;46,533;35,816
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;86,167;70,939;43,155;47,875;31,032;55,596;89,600;33,405;59,726;31,100
    No;77,716;43,981;25,536;18,142;26,425;79,816;45,166;22,666;22,083;26,190
    Did not report;5,028;-;164;-;1,271;5,028;-;164;-;1,271
Respondent currently employed ;;;;;;;;;;
    Yes;74,166;57,602;45,795;28,379;21,960;66,844;70,312;32,917;42,178;21,882
    No;84,733;55,608;25,629;42,631;36,098;59,492;81,872;18,144;50,082;36,305
    Did not report;-;-;-;-;1,814;-;-;-;-;1,814
Household income ;;;;;;;;;;
    Less than $25,000;19,619;28,834;8,641;14,019;-;26,776;22,311;4,369;16,031;-
    $25,000 - $34,999;76,772;15,924;10,887;7,008;1,958;16,523;75,792;8,670;8,513;-
    $35,000 - $49,999;36,313;27,402;33,739;10,233;-;21,977;34,960;13,246;30,672;-
    $50,000 - $74,999;44,387;21,298;33,237;13,762;-;44,474;22,016;24,754;30,682;254
    $75,000 - $99,999;34,248;43,731;7,682;32,147;-;34,836;43,956;10,759;29,650;445
    $100,000 - $149,999;46,786;43,164;22,549;8,830;814;45,539;37,516;13,407;19,633;-
    $150,000 - $199,999;50,407;27,112;18,276;10,075;-;58,033;25,268;11,809;13,720;-
    $200,000 and above;29,908;20,948;8,376;8,841;-;24,679;26,335;6,881;9,470;1,203
    Did not report;11,192;9,179;1,514;12,461;46,817;9,276;15,012;6,113;8,241;46,824
